Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
750;+0.0000000000000000e+00;+1.4062848991837146e-06;+0.0000000000000000e+00;+4.1922834005813843e-07;+1.4062848991837146e-06;+3.8678158006593542e-15;+1.3863576395312446e-06
800;+0.0000000000000000e+00;+1.1495209172641461e-06;+0.0000000000000000e+00;+3.9347320325946203e-07;+1.1495209172641461e-06;+3.4461405532052183e-15;+1.5097699529688375e-06
850;+0.0000000000000000e+00;+1.4769507536514723e-06;+0.0000000000000000e+00;+4.3355635757698078e-07;+1.4769507536514723e-06;+3.8564024895816147e-15;+1.4978278202048301e-06
900;+0.0000000000000000e+00;+1.4990787896156752e-06;+0.0000000000000000e+00;+4.5836594934560232e-07;+1.4990787896156752e-06;+4.6237837885993014e-15;+1.7815795527534406e-06
950;+0.0000000000000000e+00;+1.8472791268668927e-06;+0.0000000000000000e+00;+5.2343475188745886e-07;+1.8472791268668927e-06;+4.5415741411927642e-15;+1.8401990911137421e-06
1000;+0.0000000000000000e+00;+1.8686884906036391e-06;+0.0000000000000000e+00;+5.0608442906013750e-07;+1.8686884906036391e-06;+4.4601316335937023e-15;+1.8114535598935297e-06
1050;+0.0000000000000000e+00;+2.1090158429720386e-06;+0.0000000000000000e+00;+5.4064426459621295e-07;+2.1090158429720386e-06;+5.1051726275232059e-15;+2.1414859378693483e-06
1100;+0.0000000000000000e+00;+2.2591651674575992e-06;+0.0000000000000000e+00;+5.3282332905257135e-07;+2.2591651674575992e-06;+6.3275125099478418e-15;+2.3403190216402855e-06
1150;+0.0000000000000000e+00;+2.2786367504787106e-06;+0.0000000000000000e+00;+6.0413236206881819e-07;+2.2786367504787106e-06;+6.1685314816451747e-15;+2.4545922567658123e-06
1200;+0.0000000000000000e+00;+2.3889247933144226e-06;+0.0000000000000000e+00;+5.9947761988858019e-07;+2.3889247933144226e-06;+6.3393016405288721e-15;+2.3658317626250066e-06
1250;+0.0000000000000000e+00;+2.5309454237990887e-06;+0.0000000000000000e+00;+6.2932538705795519e-07;+2.5309454237990887e-06;+6.4405137881744097e-15;+2.4513369318212357e-06
1300;+0.0000000000000000e+00;+2.5690632155750411e-06;+0.0000000000000000e+00;+7.1226430943807735e-07;+2.5690632155750411e-06;+6.4901405987100815e-15;+3.0314303214358578e-06
1350;+0.0000000000000000e+00;+2.6982508402436194e-06;+0.0000000000000000e+00;+6.5744885940359208e-07;+2.6982508402436194e-06;+7.3014945397116432e-15;+2.9862677311978254e-06
1400;+0.0000000000000000e+00;+2.6399851377303625e-06;+0.0000000000000000e+00;+6.6672980270035375e-07;+2.6399851377303625e-06;+7.3274255577371920e-15;+2.7690907293529468e-06
1450;+0.0000000000000000e+00;+2.7201768901347126e-06;+0.0000000000000000e+00;+6.9838806568628501e-07;+2.7201768901347126e-06;+7.6914524049782207e-15;+3.1042491348023676e-06
1500;+0.0000000000000000e+00;+2.8237724851360276e-06;+0.0000000000000000e+00;+7.0660621503624754e-07;+2.8237724851360276e-06;+8.4916938111356140e-15;+3.3146448741823568e-06
1550;+0.0000000000000000e+00;+3.1321467383201263e-06;+0.0000000000000000e+00;+7.1581847980262449e-07;+3.1321467383201263e-06;+7.3759274545835441e-15;+3.2372364843335068e-06
1600;+0.0000000000000000e+00;+2.9462563189811689e-06;+0.0000000000000000e+00;+7.1168952650931976e-07;+2.9462563189811689e-06;+8.1600264776477399e-15;+3.3441610181267089e-06
1650;+0.0000000000000000e+00;+3.4977312360292373e-06;+0.0000000000000000e+00;+7.4177622668204087e-07;+3.4977312360292373e-06;+9.0901532111507633e-15;+3.6860153482158601e-06
