Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
8000;+0.0000000000000000e+00;+2.7290274071875331e-08;+0.0000000000000000e+00;+1.5288436471153320e-08;+2.7290274071875331e-08;+5.5548547922583790e-17;+4.0779997323585056e-08
8100;+0.0000000000000000e+00;+2.9843853447436382e-08;+0.0000000000000000e+00;+1.6026899915414277e-08;+2.9843853447436382e-08;+5.7975293971928973e-17;+4.0629478683747302e-08
8200;+0.0000000000000000e+00;+3.9420997711552934e-08;+0.0000000000000000e+00;+2.2435579872422725e-08;+3.9420997711552934e-08;+6.3521052596528943e-17;+4.5845097303123398e-08
8300;+0.0000000000000000e+00;+4.8636357528537433e-08;+0.0000000000000000e+00;+2.8678846834456310e-08;+4.8636357528537433e-08;+7.0824886341749065e-17;+5.0884753588621770e-08
8400;+0.0000000000000000e+00;+4.9616829416192327e-08;+0.0000000000000000e+00;+2.9037736767397716e-08;+4.9616829416192327e-08;+7.0520506921905539e-17;+5.1052851472064818e-08
8500;+0.0000000000000000e+00;+5.0293868081441753e-08;+0.0000000000000000e+00;+2.8835117747615397e-08;+5.0293868081441753e-08;+7.1053496847636464e-17;+5.0357841693591889e-08
8600;+0.0000000000000000e+00;+4.9051775906485395e-08;+0.0000000000000000e+00;+2.8619736980796509e-08;+4.9051775906485395e-08;+7.0926090271980593e-17;+4.9523967991668310e-08
8700;+0.0000000000000000e+00;+4.9360119548817516e-08;+0.0000000000000000e+00;+2.8384860123900725e-08;+4.9360119548817516e-08;+7.0893082514134777e-17;+4.9740138041068596e-08
8800;+0.0000000000000000e+00;+4.8515796368053825e-08;+0.0000000000000000e+00;+2.8176933299757330e-08;+4.8515796368053825e-08;+6.9759629598191483e-17;+4.9302918484195315e-08
8900;+0.0000000000000000e+00;+4.8387387435435553e-08;+0.0000000000000000e+00;+2.7873598892459307e-08;+4.8387387435435553e-08;+6.8993862567983202e-17;+4.9181998380419301e-08
9000;+0.0000000000000000e+00;+4.6904436096895243e-08;+0.0000000000000000e+00;+2.7220654115088621e-08;+4.6904436096895243e-08;+6.7845280546080846e-17;+4.8893454247938500e-08
9100;+0.0000000000000000e+00;+4.6289445674881049e-08;+0.0000000000000000e+00;+2.6913168648365894e-08;+4.6289445674881049e-08;+6.6908116136179284e-17;+4.8148765636425171e-08
9200;+0.0000000000000000e+00;+4.5900196484522232e-08;+0.0000000000000000e+00;+2.6633618624315387e-08;+4.5900196484522232e-08;+6.7247031892232667e-17;+4.9732811215532221e-08
9300;+0.0000000000000000e+00;+4.6488007896079356e-08;+0.0000000000000000e+00;+2.6564935101120705e-08;+4.6488007896079356e-08;+6.5862552999512268e-17;+5.2030164560256327e-08
9400;+0.0000000000000000e+00;+4.5477440897021171e-08;+0.0000000000000000e+00;+2.6115930597495246e-08;+4.5477440897021171e-08;+6.4796664678599538e-17;+5.2703782401360504e-08
9500;+0.0000000000000000e+00;+4.4797658664743660e-08;+0.0000000000000000e+00;+2.5812913203453707e-08;+4.4797658664743660e-08;+6.6745838765856175e-17;+5.2618310494246307e-08
9600;+0.0000000000000000e+00;+4.4330422725244846e-08;+0.0000000000000000e+00;+2.5816078501779892e-08;+4.4330422725244846e-08;+6.4706633935903550e-17;+5.2561109939229587e-08
9700;+0.0000000000000000e+00;+4.3987264772354109e-08;+0.0000000000000000e+00;+2.5216879592866154e-08;+4.3987264772354109e-08;+6.4848870058786607e-17;+5.1756356433533728e-08
9800;+0.0000000000000000e+00;+4.3419452367774981e-08;+0.0000000000000000e+00;+2.4707003726630878e-08;+4.3419452367774981e-08;+6.2706050714790338e-17;+5.1263802713053522e-08
9900;+0.0000000000000000e+00;+4.3140514634182011e-08;+0.0000000000000000e+00;+2.4787887250094631e-08;+4.3140514634182011e-08;+6.2580404511894212e-17;+5.0938851027342057e-08
10000;+0.0000000000000000e+00;+4.2932197878188523e-08;+0.0000000000000000e+00;+2.4447817189908664e-08;+4.2932197878188523e-08;+6.1740114504195507e-17;+5.0705993851432640e-08
10100;+0.0000000000000000e+00;+4.2277080391057272e-08;+0.0000000000000000e+00;+2.4349903772700077e-08;+4.2277080391057272e-08;+6.0845782890073747e-17;+5.1144235783363145e-08
10200;+0.0000000000000000e+00;+4.1201473548143265e-08;+0.0000000000000000e+00;+2.4101220732032143e-08;+4.1201473548143265e-08;+5.9353539151949120e-17;+5.0008153512345275e-08
10300;+0.0000000000000000e+00;+4.1571477551983842e-08;+0.0000000000000000e+00;+2.3833219997150392e-08;+4.1571477551983842e-08;+5.9243456738794607e-17;+4.9180900804865361e-08
10400;+0.0000000000000000e+00;+4.1077137429372812e-08;+0.0000000000000000e+00;+2.3645252519534708e-08;+4.1077137429372812e-08;+5.9386097391106567e-17;+4.9520797592406064e-08
10500;+0.0000000000000000e+00;+4.1032629284178374e-08;+0.0000000000000000e+00;+2.3289211826269667e-08;+4.1032629284178374e-08;+5.9982365021090661e-17;+4.9850101628174022e-08
10600;+0.0000000000000000e+00;+4.0300727109952454e-08;+0.0000000000000000e+00;+2.3096448265581348e-08;+4.0300727109952454e-08;+5.9773284909788981e-17;+5.1044479283202489e-08
10700;+0.0000000000000000e+00;+3.9892362438453192e-08;+0.0000000000000000e+00;+2.2964155937873323e-08;+3.9892362438453192e-08;+5.7973359053980359e-17;+5.1851435189426493e-08
10800;+0.0000000000000000e+00;+3.9843637631261954e-08;+0.0000000000000000e+00;+2.2802037001420133e-08;+3.9843637631261954e-08;+5.9349152831645467e-17;+5.1526329954978419e-08
10900;+0.0000000000000000e+00;+3.9005797172060777e-08;+0.0000000000000000e+00;+2.2499901532364179e-08;+3.9005797172060777e-08;+6.0796719980820285e-17;+5.9441168307544815e-08
11000;+0.0000000000000000e+00;+3.9114022863173202e-08;+0.0000000000000000e+00;+2.2456489302197585e-08;+3.9114022863173202e-08;+6.9221908023611783e-17;+6.0337920441952154e-08
11100;+0.0000000000000000e+00;+3.8217116364536525e-08;+0.0000000000000000e+00;+2.1961903253518285e-08;+3.8217116364536525e-08;+6.9756758140317512e-17;+6.0497604939946568e-08
11200;+0.0000000000000000e+00;+3.7833093085046507e-08;+0.0000000000000000e+00;+2.1414795375590209e-08;+3.7833093085046507e-08;+6.6656875100088764e-17;+5.9654269928304365e-08
11300;+0.0000000000000000e+00;+3.7800159960029930e-08;+0.0000000000000000e+00;+2.1756553094336499e-08;+3.7800159960029930e-08;+7.0545604941112283e-17;+6.0058454304787839e-08
11400;+0.0000000000000000e+00;+3.7743550864266024e-08;+0.0000000000000000e+00;+2.1577530204111394e-08;+3.7743550864266024e-08;+6.6533036177395327e-17;+5.9213162337159136e-08
11500;+0.0000000000000000e+00;+3.7177460196965392e-08;+0.0000000000000000e+00;+2.1378576020505602e-08;+3.7177460196965392e-08;+6.7045245553101645e-17;+5.8263576126286844e-08
11600;+0.0000000000000000e+00;+3.6906955473512193e-08;+0.0000000000000000e+00;+2.1138970057589703e-08;+3.6906955473512193e-08;+6.6973637013093015e-17;+5.8385130454598558e-08
11700;+0.0000000000000000e+00;+3.6935700224295745e-08;+0.0000000000000000e+00;+2.1096481375140639e-08;+3.6935700224295745e-08;+6.7832614402207204e-17;+5.8099138185906004e-08
11800;+0.0000000000000000e+00;+3.6352559511900937e-08;+0.0000000000000000e+00;+2.0694246664332826e-08;+3.6352559511900937e-08;+6.5982096775534630e-17;+5.8312102276740287e-08
11900;+0.0000000000000000e+00;+3.5726545821052094e-08;+0.0000000000000000e+00;+2.0436247322286019e-08;+3.5726545821052094e-08;+6.5278139859227118e-17;+5.8354055455191603e-08
12000;+0.0000000000000000e+00;+3.5248976585482387e-08;+0.0000000000000000e+00;+2.0340083376783160e-08;+3.5248976585482387e-08;+7.5032529758903939e-17;+5.8647797419018062e-08
12100;+0.0000000000000000e+00;+3.4722491443798948e-08;+0.0000000000000000e+00;+2.0087901099742033e-08;+3.4722491443798948e-08;+7.5502132792303748e-17;+5.9090347146473798e-08
12200;+0.0000000000000000e+00;+3.4598142110932029e-08;+0.0000000000000000e+00;+1.9900305821179567e-08;+3.4598142110932029e-08;+7.6196115891609170e-17;+5.8240849080633447e-08
12300;+0.0000000000000000e+00;+3.4603700036548982e-08;+0.0000000000000000e+00;+1.9853861516666903e-08;+3.4603700036548982e-08;+7.5439759699944188e-17;+5.7938402225695199e-08
12400;+0.0000000000000000e+00;+3.3787038103632855e-08;+0.0000000000000000e+00;+1.9540385251300003e-08;+3.3787038103632855e-08;+7.4198701871775915e-17;+5.7494398998401606e-08
