Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
14848;0.0000000000000000e+00;1.3205812868633102e-07;0.0000000000000000e+00;3.9861104881965673e-08;3.8727985954447881e-16;1.7745890671951871e-07
15360;0.0000000000000000e+00;1.3427972186939634e-07;0.0000000000000000e+00;4.0246049962197586e-08;3.9725688874638952e-16;1.8286937340816567e-07
15872;0.0000000000000000e+00;1.3713047394046723e-07;0.0000000000000000e+00;4.0380896248677441e-08;3.9952817166434741e-16;1.8445825836559975e-07
16384;0.0000000000000000e+00;1.3705328982515641e-07;0.0000000000000000e+00;3.9871587877029460e-08;4.0346055475624489e-16;1.8233936345179649e-07
16896;0.0000000000000000e+00;1.3997346437920680e-07;0.0000000000000000e+00;4.0049161047944307e-08;4.1156729722096747e-16;1.8672103060831508e-07
17408;0.0000000000000000e+00;1.3701001086349399e-07;0.0000000000000000e+00;3.9587121663658154e-08;4.1153522641992276e-16;1.8281819261767654e-07
17920;0.0000000000000000e+00;1.4029039762174328e-07;0.0000000000000000e+00;4.0491088882345966e-08;4.1923111215076300e-16;1.9079752460562150e-07
18432;0.0000000000000000e+00;1.4115490923264232e-07;0.0000000000000000e+00;4.0023606477498851e-08;4.2102500594486290e-16;1.9058811510841408e-07
18944;0.0000000000000000e+00;1.4128165474875327e-07;0.0000000000000000e+00;3.9656530152062192e-08;4.2539138765953533e-16;1.9297894921699893e-07
19456;0.0000000000000000e+00;1.4263226033172711e-07;0.0000000000000000e+00;3.9241515109119677e-08;4.2137390666465741e-16;1.9159744145563909e-07
19968;0.0000000000000000e+00;1.4469417961230299e-07;0.0000000000000000e+00;3.9847225090629000e-08;4.2879147098949791e-16;1.9409268987724336e-07
20480;0.0000000000000000e+00;1.4493715315743242e-07;0.0000000000000000e+00;3.9763330356574463e-08;4.3481044374016811e-16;1.9706655275547040e-07
20992;0.0000000000000000e+00;1.4656339804414656e-07;0.0000000000000000e+00;4.0195088442587809e-08;4.4455340461577837e-16;1.9963626910521113e-07
21504;0.0000000000000000e+00;1.4909350405635855e-07;0.0000000000000000e+00;4.0559942443803431e-08;4.4868047262025528e-16;2.0289670406290425e-07
22016;0.0000000000000000e+00;1.4975618980863356e-07;0.0000000000000000e+00;3.9782403189343447e-08;4.4829606338046957e-16;2.0084114922587793e-07
22528;0.0000000000000000e+00;1.5020374134397373e-07;0.0000000000000000e+00;3.9873508928058278e-08;4.5002445343341133e-16;2.0382464913212529e-07
23040;0.0000000000000000e+00;1.5224507442836203e-07;0.0000000000000000e+00;4.0109835449036501e-08;4.5243881908085815e-16;2.0471042610784579e-07
23552;0.0000000000000000e+00;1.5019027638817222e-07;0.0000000000000000e+00;3.9576292615058956e-08;4.5670363452110349e-16;2.0618446084544660e-07
24064;0.0000000000000000e+00;1.5381863284467623e-07;0.0000000000000000e+00;3.9936198646454352e-08;4.6301793427803899e-16;2.0896835355838559e-07
24576;0.0000000000000000e+00;1.5389832683752432e-07;0.0000000000000000e+00;3.9814065528353688e-08;4.6683506776390120e-16;2.0939688121900754e-07
