Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
10200;+9.4876801967620850e-01;+4.8163199424743652e-01;+9.4851201772689819e-01;+4.8198398947715759e-01;+4.8163199424743652e-01;+9.9247997999191284e-01;+5.2921599149703979e-01
10300;+9.6275198459625244e-01;+4.8780798912048340e-01;+9.6278399229049683e-01;+4.8876801133155823e-01;+4.8803201317787170e-01;+1.0114560127258301e+00;+5.4124802350997925e-01
10400;+9.8070400953292847e-01;+4.9651199579238892e-01;+9.8054397106170654e-01;+4.9731200933456421e-01;+4.9660798907279968e-01;+1.0314240455627441e+00;+5.4627197980880737e-01
10500;+9.9945598840713501e-01;+5.0524801015853882e-01;+9.9961602687835693e-01;+5.0716799497604370e-01;+5.0576001405715942e-01;+1.0506559610366821e+00;+5.6070399284362793e-01
10600;+1.0191359519958496e+00;+5.1484799385070801e-01;+1.0186879634857178e+00;+5.1603198051452637e-01;+5.1494401693344116e-01;+1.0696959495544434e+00;+5.7017600536346436e-01
10700;+1.0380159616470337e+00;+5.2486401796340942e-01;+1.0384000539779663e+00;+5.2604800462722778e-01;+5.2457600831985474e-01;+1.0900479555130005e+00;+5.8016002178192139e-01
10800;+1.0574719905853271e+00;+5.3494399785995483e-01;+1.0584319829940796e+00;+5.3654402494430542e-01;+5.3465598821640015e-01;+1.1089600324630737e+00;+5.9020799398422241e-01
10900;+1.0774079561233521e+00;+5.4425597190856934e-01;+1.0775359869003296e+00;+5.4592001438140869e-01;+5.4419201612472534e-01;+1.1283520460128784e+00;+5.7855999469757080e-01
11000;+1.0967359542846680e+00;+5.5446398258209229e-01;+1.0960639715194702e+00;+5.5529600381851196e-01;+5.5401599407196045e-01;+1.1482239961624146e+00;+5.8828800916671753e-01
11100;+1.1162240505218506e+00;+5.6480002403259277e-01;+1.1156799793243408e+00;+5.6591999530792236e-01;+5.6432002782821655e-01;+1.1679999828338623e+00;+6.0073602199554443e-01
11200;+1.1354559659957886e+00;+5.7468801736831665e-01;+1.1360000371932983e+00;+5.7612800598144531e-01;+5.7488000392913818e-01;+1.1884800195693970e+00;+6.0934400558471680e-01
11300;+1.1558719873428345e+00;+5.8515197038650513e-01;+1.1554239988327026e+00;+5.8691197633743286e-01;+5.8515197038650513e-01;+1.2094080448150635e+00;+6.2118399143218994e-01
11400;+1.1755520105361938e+00;+5.9516799449920654e-01;+1.1757119894027710e+00;+5.9699201583862305e-01;+5.9542399644851685e-01;+1.2301759719848633e+00;+6.2841600179672241e-01
11500;+1.1963520050048828e+00;+6.0556799173355103e-01;+1.1955840587615967e+00;+6.0736000537872314e-01;+6.0553598403930664e-01;+1.2510080337524414e+00;+6.5475201606750488e-01
11600;+1.2170879840850830e+00;+6.1596798896789551e-01;+1.2171200513839722e+00;+6.1833602190017700e-01;+6.1587202548980713e-01;+1.2730879783630371e+00;+6.6393601894378662e-01
11700;+1.2386560440063477e+00;+6.2694400548934937e-01;+1.2379839420318604e+00;+6.2956798076629639e-01;+6.2716799974441528e-01;+1.2948479652404785e+00;+6.7401599884033203e-01
11800;+1.2655040025711060e+00;+6.3894397020339966e-01;+1.2643519639968872e+00;+6.4095997810363770e-01;+6.3855999708175659e-01;+1.3153920173645020e+00;+6.8281602859497070e-01
11900;+1.2877119779586792e+00;+6.5135997533798218e-01;+1.2875519990921021e+00;+6.5302401781082153e-01;+6.5107202529907227e-01;+1.3355519771575928e+00;+6.8713599443435669e-01
12000;+1.3027520179748535e+00;+6.6000002622604370e-01;+1.3024959564208984e+00;+6.6108798980712891e-01;+6.5990400314331055e-01;+1.3456319570541382e+00;+7.0175999402999878e-01
12100;+1.3316800594329834e+00;+6.7119997739791870e-01;+1.3308479785919189e+00;+6.7308801412582397e-01;+6.7142397165298462e-01;+1.3701440095901489e+00;+7.1004801988601685e-01
12200;+1.3540159463882446e+00;+6.8281602859497070e-01;+1.3528640270233154e+00;+6.8396800756454468e-01;+6.8262398242950439e-01;+1.3881280422210693e+00;+7.2217601537704468e-01
12300;+1.3678719997406006e+00;+6.9171202182769775e-01;+1.3677120208740234e+00;+6.9235199689865112e-01;+6.9148802757263184e-01;+1.4148479700088501e+00;+7.3180800676345825e-01
