Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
29000000;0.0000000000000000e+00;1.0042500187901886e-06;1.0713743489493352e-15;4.7562344245828843e-08;8.3541532788397045e-07;1.6380969269003871e-15;3.0824139408137582e-07
31000000;0.0000000000000000e+00;4.9102064833695202e-07;1.7400517581931338e-15;5.2097191176655423e-08;5.7567296421187399e-07;2.7458046375344520e-15;4.4734884745139571e-07
33000000;0.0000000000000000e+00;3.9592185482601273e-07;3.6266048051857347e-16;4.8492933431540858e-08;5.8130064690118086e-07;1.4927653086658525e-15;4.1950162724165595e-07
35000000;0.0000000000000000e+00;6.1228780910074735e-07;9.1630831590683782e-16;3.6409726365322993e-08;6.3667949950069435e-07;1.2732740178686287e-15;3.4346343887905086e-07
37000000;0.0000000000000000e+00;1.0802469272782752e-06;1.3430122172738583e-15;4.8837105777746763e-08;9.3015888783045243e-07;1.7105427515223460e-15;4.3962378462610270e-07
39000000;0.0000000000000000e+00;8.5324927492134585e-07;1.4567758326296739e-15;5.5183847161182350e-08;9.2674030673729353e-07;1.1787465487279739e-15;3.8811021347799523e-07
41000000;0.0000000000000000e+00;7.8796951840282619e-07;9.0083258380608250e-16;4.9498735615885005e-08;7.4981269545610172e-07;1.0586087597062429e-15;4.1858889249547446e-07
43000000;0.0000000000000000e+00;1.0062445471513821e-06;1.3050128427848393e-15;2.6533183670208704e-08;5.6150271354209954e-07;2.3814052910930964e-15;4.3251006468906678e-07
45000000;0.0000000000000000e+00;7.4488565561331497e-07;4.2165293580355977e-16;4.0068143245266729e-08;1.1121973406587017e-06;1.1214745547839350e-15;4.6642374328091338e-07
47000000;0.0000000000000000e+00;8.1058384377990142e-07;1.6786578486321270e-15;2.4849414472129209e-08;4.7492322520575136e-07;1.1268481478856095e-15;4.5724310590133255e-07
49000000;0.0000000000000000e+00;9.3634063271229398e-07;7.3878586512656107e-16;4.1606251607968995e-08;7.1977523214446149e-07;9.0072855424145345e-16;2.7110787948943928e-07
51000000;0.0000000000000000e+00;7.7771338583314578e-07;1.1066757992640303e-15;2.4053438984378811e-08;7.8114285457029801e-07;2.4127365717148050e-15;6.1419597199299925e-07
53000000;0.0000000000000000e+00;1.5254916308713017e-06;1.4663884622546887e-15;3.9367997580566700e-08;1.8369392439648318e-06;1.0422834809875263e-15;5.1175690341892732e-07
55000000;0.0000000000000000e+00;8.7353599532140115e-07;2.8675799435274459e-15;3.4268046510832853e-08;7.9553804589712064e-07;3.8023742795481755e-15;8.1471836604601351e-07
57000000;0.0000000000000000e+00;2.4247625923002510e-06;1.2444126164634411e-15;1.7505937162700194e-08;9.0879107045933166e-07;2.3174178073753802e-15;4.3858261347124662e-07
59000000;0.0000000000000000e+00;1.8525334141795027e-06;3.6203772651036220e-15;3.8689851408483425e-08;2.2409851317471167e-06;3.4392291454433247e-15;4.1977233012202064e-07
61000000;0.0000000000000000e+00;1.3352651634869081e-06;1.3214054665909257e-15;2.0269983494274999e-08;2.1479687788734693e-06;1.0412803967631412e-15;6.9529883406729692e-07
63000000;0.0000000000000000e+00;1.9387998139054655e-06;3.6832174971964581e-15;4.5215510234302027e-08;1.9732836826543924e-06;5.5357003985999805e-15;7.7439567479750728e-07
65000000;0.0000000000000000e+00;1.3953447504178790e-06;1.6280670316877888e-15;2.3099811162647099e-08;1.3745517934384985e-06;1.5050097000363334e-15;5.8174346605833790e-07
67000000;0.0000000000000000e+00;1.8323435927788194e-06;2.2156080289017890e-15;1.4442083981130167e-08;1.9424661463669396e-06;4.2754411090779657e-15;4.9725826342475610e-07
69000000;0.0000000000000000e+00;2.5000740013838347e-06;1.5976164067442769e-15;2.8990242489354973e-08;1.8941550844605887e-06;3.6204716045543401e-15;5.5592178984881182e-07
71000000;0.0000000000000000e+00;1.7295585080602509e-06;3.2869212516119173e-15;3.3135613726877756e-08;2.4762616267804390e-06;2.1096340432165417e-15;5.7029244287548433e-07
73000000;0.0000000000000000e+00;1.3110756838421231e-06;1.8973087762230419e-15;2.5173343460499974e-08;1.5909797557546496e-06;2.7725264587786626e-15;5.5574121978306878e-07
75000000;0.0000000000000000e+00;1.1159888337081670e-06;1.3790982665402089e-15;6.9068268923328510e-09;4.1542141694544467e-07;3.6517889607747185e-15;4.0659339764611258e-07
