Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
1400;0.0000000000000000e+00;9.7320962407129545e-08;0.0000000000000000e+00;3.9927370197319379e-08;2.5770213544026193e-16;1.1582883406177361e-07
1500;0.0000000000000000e+00;9.5792043231553515e-08;0.0000000000000000e+00;4.0124106510691083e-08;2.6685083341177893e-16;1.1924516067383687e-07
1600;0.0000000000000000e+00;9.6862689438000388e-08;0.0000000000000000e+00;4.0384508419298471e-08;2.7417578746608082e-16;1.2701348678856220e-07
1700;0.0000000000000000e+00;9.9339174722115820e-08;0.0000000000000000e+00;4.0055747480762858e-08;2.6440013595369156e-16;1.2078824288801517e-07
1800;0.0000000000000000e+00;9.7049053311966885e-08;0.0000000000000000e+00;3.9610323492583384e-08;2.6463003133407075e-16;1.2445652976918032e-07
1900;0.0000000000000000e+00;9.9084605487827516e-08;0.0000000000000000e+00;4.0748728669317318e-08;2.6272032207541726e-16;1.2758567913324767e-07
2000;0.0000000000000000e+00;9.9026280220774730e-08;0.0000000000000000e+00;4.0383161353541117e-08;2.7246195616121793e-16;1.2620557874525325e-07
2100;0.0000000000000000e+00;1.0325156940441079e-07;0.0000000000000000e+00;3.9782824792863347e-08;2.6814154913565824e-16;1.2609798965198578e-07
2200;0.0000000000000000e+00;9.9495267647731185e-08;0.0000000000000000e+00;4.0868418388124254e-08;2.6856087245607269e-16;1.2762809242675942e-07
2300;0.0000000000000000e+00;1.0161463806886362e-07;0.0000000000000000e+00;3.9995837496320604e-08;2.6841029396160711e-16;1.2745615282186643e-07
2400;0.0000000000000000e+00;1.0272381192476909e-07;0.0000000000000000e+00;4.0424640796047663e-08;2.7421449319880455e-16;1.3172692375803576e-07
2500;0.0000000000000000e+00;1.0248660102124653e-07;0.0000000000000000e+00;4.1258684362440644e-08;2.7039640504931403e-16;1.2947130627050932e-07
2600;0.0000000000000000e+00;1.0291921287991130e-07;0.0000000000000000e+00;4.1066575420904628e-08;2.7774124274024377e-16;1.3189812402298713e-07
2700;0.0000000000000000e+00;1.0141456640565443e-07;0.0000000000000000e+00;3.9861570029412371e-08;2.7977628523640042e-16;1.3154118654433716e-07
2800;0.0000000000000000e+00;1.0072997334649160e-07;0.0000000000000000e+00;4.0254822110646824e-08;2.8251328092015066e-16;1.2876714431153885e-07
2900;0.0000000000000000e+00;1.0590630428138399e-07;0.0000000000000000e+00;4.0786601769606362e-08;2.8249379734927061e-16;1.3298582881494359e-07
3000;0.0000000000000000e+00;1.0187565825618563e-07;0.0000000000000000e+00;4.0434180946268629e-08;2.8468992248525472e-16;1.3298612382801920e-07
3100;0.0000000000000000e+00;1.0231007108373768e-07;0.0000000000000000e+00;4.0318882221113624e-08;2.9242503558117484e-16;1.3385044051207160e-07
3200;0.0000000000000000e+00;1.0557196923293859e-07;0.0000000000000000e+00;4.0029501838229858e-08;2.8395850664354156e-16;1.3480100068924632e-07
3300;0.0000000000000000e+00;1.0661987619699003e-07;0.0000000000000000e+00;4.0398990641052931e-08;2.9781774755571901e-16;1.3329989114329713e-07
3400;0.0000000000000000e+00;1.0628651101059513e-07;0.0000000000000000e+00;4.0959146101050299e-08;2.9325965430919729e-16;1.3806014417454633e-07
3500;0.0000000000000000e+00;1.0795621787274504e-07;0.0000000000000000e+00;4.0084611917446766e-08;2.9143677204858711e-16;1.3557361049731240e-07
3600;0.0000000000000000e+00;1.0285842948353767e-07;0.0000000000000000e+00;4.0539129534329176e-08;2.9383422020607370e-16;1.3825290004080200e-07
3700;0.0000000000000000e+00;1.0522332210507117e-07;0.0000000000000000e+00;4.0600157082464752e-08;2.9595637258881163e-16;1.3596510422625393e-07
3800;0.0000000000000000e+00;1.0703981682794526e-07;0.0000000000000000e+00;3.9852553050932567e-08;2.9569476948655386e-16;1.3464256719686847e-07
3900;0.0000000000000000e+00;1.0577056629671085e-07;0.0000000000000000e+00;4.0655309336676047e-08;2.9130579954379396e-16;1.3601734314871267e-07
4000;0.0000000000000000e+00;1.0452113619964521e-07;0.0000000000000000e+00;4.0135763024663313e-08;2.9910114959415839e-16;1.3632596430996660e-07
4100;0.0000000000000000e+00;1.0490685610614599e-07;0.0000000000000000e+00;4.0090294083535181e-08;2.9624196975192375e-16;1.3655844251835135e-07
4200;0.0000000000000000e+00;1.0944164829463741e-07;0.0000000000000000e+00;3.9852049217064995e-08;3.0156949733933436e-16;1.3703015365888840e-07
4300;0.0000000000000000e+00;1.0707134768786253e-07;0.0000000000000000e+00;3.9857510535032121e-08;2.9491843538381406e-16;1.3672714240263951e-07
4400;0.0000000000000000e+00;1.0493633806972663e-07;0.0000000000000000e+00;4.0026518893945943e-08;3.0590773811522891e-16;1.3683234295148763e-07
4500;0.0000000000000000e+00;1.0758847379634264e-07;0.0000000000000000e+00;4.0035153772749263e-08;2.9433301952987409e-16;1.3506154725032589e-07
4600;0.0000000000000000e+00;1.0737511286037768e-07;0.0000000000000000e+00;3.9130467194652149e-08;2.9564829557060660e-16;1.3652475384613911e-07
4700;0.0000000000000000e+00;1.0690537327291693e-07;0.0000000000000000e+00;4.0226478747300356e-08;2.9714308339052735e-16;1.3812294627882611e-07
4800;0.0000000000000000e+00;1.0545777611948034e-07;0.0000000000000000e+00;3.9498732280824670e-08;2.8950015735243572e-16;1.3632423909861683e-07
4900;0.0000000000000000e+00;1.0764882681097493e-07;0.0000000000000000e+00;3.9400672065526533e-08;3.0005225589365644e-16;1.3972849319448264e-07
5000;0.0000000000000000e+00;1.0903328042038166e-07;0.0000000000000000e+00;3.9949170987837561e-08;3.0996999908182447e-16;1.4076730656573778e-07
5100;0.0000000000000000e+00;1.1003091090007265e-07;0.0000000000000000e+00;3.9819297000709919e-08;3.0690270862331207e-16;1.3899029665212158e-07
5200;0.0000000000000000e+00;1.0837382541220378e-07;0.0000000000000000e+00;3.9731946750934522e-08;3.0604232837063355e-16;1.4008492392827790e-07
5300;0.0000000000000000e+00;1.0760883024594963e-07;0.0000000000000000e+00;3.9330160125922506e-08;3.0850493841013888e-16;1.3971536677689619e-07
5400;0.0000000000000000e+00;1.0916139271712511e-07;0.0000000000000000e+00;3.9755253537314257e-08;3.0908334907618962e-16;1.4337332896806826e-07
5500;0.0000000000000000e+00;1.1002107818823850e-07;0.0000000000000000e+00;3.9758108876093151e-08;3.0898374160214624e-16;1.4229097234681766e-07
5600;0.0000000000000000e+00;1.1014493509136153e-07;0.0000000000000000e+00;4.0139670163859544e-08;3.0258249714640594e-16;1.4310493598887784e-07
5700;0.0000000000000000e+00;1.0979516104651733e-07;0.0000000000000000e+00;4.0367102059450807e-08;3.1773734964974087e-16;1.4440768854779591e-07
5800;0.0000000000000000e+00;1.1118499586875969e-07;0.0000000000000000e+00;3.9691313461721754e-08;3.1457324053371485e-16;1.4353964419429181e-07
5900;0.0000000000000000e+00;1.1172383158474502e-07;0.0000000000000000e+00;4.0078808292848290e-08;3.1260642989237868e-16;1.4534273714124479e-07
6000;0.0000000000000000e+00;1.1221954485058156e-07;0.0000000000000000e+00;4.0063876662384729e-08;3.1180382335943330e-16;1.4388655349952126e-07
6100;0.0000000000000000e+00;1.1160748782897301e-07;0.0000000000000000e+00;3.9756608633033889e-08;3.1312500237569439e-16;1.4351398287471333e-07
6200;0.0000000000000000e+00;1.1370509740801961e-07;0.0000000000000000e+00;4.0326329839793002e-08;3.2306461512972549e-16;1.4617672387425730e-07
6300;0.0000000000000000e+00;1.1180969326889214e-07;0.0000000000000000e+00;4.0236936599560120e-08;3.1272829880675466e-16;1.4361706026857960e-07
6400;0.0000000000000000e+00;1.1312894836167888e-07;0.0000000000000000e+00;4.0700611697701992e-08;3.1654569643384864e-16;1.4356331000000102e-07
6500;0.0000000000000000e+00;1.1268876425403439e-07;0.0000000000000000e+00;3.9762478947048496e-08;3.2040452669219826e-16;1.4769728204873287e-07
6600;0.0000000000000000e+00;1.1287023522385589e-07;0.0000000000000000e+00;4.0393746831512236e-08;3.2038929490344066e-16;1.4540485509467295e-07
6700;0.0000000000000000e+00;1.1642857443628616e-07;0.0000000000000000e+00;4.0413625262061059e-08;3.2352377808847277e-16;1.4852809961668385e-07
6800;0.0000000000000000e+00;1.1278628106263872e-07;0.0000000000000000e+00;4.0386830739020241e-08;3.2746181261500992e-16;1.4583461992131485e-07
6900;0.0000000000000000e+00;1.1343757764132769e-07;0.0000000000000000e+00;3.9994049476009130e-08;3.3067188958752787e-16;1.4519814259648398e-07
7000;0.0000000000000000e+00;1.1255813592428652e-07;0.0000000000000000e+00;4.0067127057327602e-08;3.2131644544658275e-16;1.4846779834584055e-07
7100;0.0000000000000000e+00;1.1357193501945277e-07;0.0000000000000000e+00;4.0181272264616158e-08;3.2602391394065817e-16;1.4638264306580186e-07
7200;0.0000000000000000e+00;1.1690490128818409e-07;0.0000000000000000e+00;4.0552624660098975e-08;3.2608267673656219e-16;1.5071657123769313e-07
