Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
87000000;7.0911997556686401e-01;3.6182400584220886e-01;7.0895999670028687e-01;3.6451199650764465e-01;3.6204800009727478e-01;7.2627198696136475e-01;3.6947199702262878e-01;0.0000000000000000e+00;1.4136234994564088e-06;1.2048695912584517e-15;9.4672604035741018e-09;1.5429953867164072e-06;3.3736348555236647e-15;1.8459057048642356e-07
89000000;7.2396802902221680e-01;3.6931198835372925e-01;7.2496002912521362e-01;3.7376001477241516e-01;3.6979201436042786e-01;7.4559998512268066e-01;3.7750399112701416e-01;0.0000000000000000e+00;2.6928869291719739e-06;1.4920360769401864e-15;5.3504280075272195e-08;2.3495880280160679e-06;2.1314801099145521e-16;1.6793724712724079e-07
91000000;7.4092799425125122e-01;3.7750399112701416e-01;7.4128001928329468e-01;3.8105601072311401e-01;3.7846401333808899e-01;7.6323199272155762e-01;3.8668799400329590e-01;0.0000000000000000e+00;3.9296757908582764e-07;4.9306472124873828e-15;6.7401301908669618e-08;2.7787535883720334e-07;5.7881510755286676e-15;5.2777018290316687e-07
93000000;7.5705599784851074e-01;3.8492798805236816e-01;7.5753599405288696e-01;3.8944000005722046e-01;3.8607999682426453e-01;7.7699202299118042e-01;3.9520001411437988e-01;0.0000000000000000e+00;2.8287336113137369e-06;6.5084760304316682e-15;4.8852298723430831e-08;9.7885695486127197e-07;0.0000000000000000e+00;4.6500232806892055e-07
95000000;7.7382397651672363e-01;3.9379200339317322e-01;7.7353602647781372e-01;3.9734399318695068e-01;3.9497599005699158e-01;7.9411202669143677e-01;4.0454399585723877e-01;0.0000000000000000e+00;1.4135772370419730e-06;2.2956783813476057e-16;3.7781511487157096e-09;1.8865059308663164e-07;8.4940100109861402e-15;4.8921502735239344e-07
97000000;7.8937602043151855e-01;4.0262401103973389e-01;7.8982400894165039e-01;4.0623998641967773e-01;4.0272000432014465e-01;8.1321597099304199e-01;4.1193601489067078e-01;0.0000000000000000e+00;1.2131515373192429e-07;4.3164490313859146e-15;3.2185310344167644e-08;1.2800031177727607e-06;3.8183972200721551e-15;2.9957484050743754e-07
99000000;8.0694401264190674e-01;4.1001600027084351e-01;8.0614399909973145e-01;4.1356799006462097e-01;4.1011199355125427e-01;8.2838398218154907e-01;4.2144000530242920e-01;0.0000000000000000e+00;2.1766150179082491e-06;2.0547505882936651e-15;2.9656626631263823e-08;2.9645691766723607e-06;8.9528418489938271e-15;2.6604287426049737e-07
101000000;8.2185602188110352e-01;4.1820800304412842e-01;8.2143998146057129e-01;4.2192000150680542e-01;4.1865599155426025e-01;8.4438401460647583e-01;4.2867198586463928e-01;0.0000000000000000e+00;2.4405440743428393e-06;3.8255343407560834e-15;4.4422945532295865e-08;1.6670921464752352e-06;4.4631233975487638e-15;3.8672596393380204e-07
103000000;8.3824002742767334e-01;4.2640000581741333e-01;8.3840000629425049e-01;4.2847999930381775e-01;4.2691200971603394e-01;8.5948801040649414e-01;4.3708801269531250e-01;0.0000000000000000e+00;6.2998124071071774e-07;2.1267720587311312e-16;5.9080213317167803e-08;6.2998124071071774e-07;3.1901580880966969e-15;4.0162082975329780e-07
105000000;8.5334402322769165e-01;4.3411201238632202e-01;8.5292798280715942e-01;4.3808001279830933e-01;4.3446400761604309e-01;8.7654399871826172e-01;4.4543999433517456e-01;0.0000000000000000e+00;1.1172446445900423e-06;6.3932605903113908e-16;1.7290603634484961e-09;3.3482758130432296e-06;1.4384836328200630e-15;1.6988872182525823e-07
107000000;8.6921602487564087e-01;4.4233599305152893e-01;8.6851197481155396e-01;4.4448000192642212e-01;4.4275200366973877e-01;8.9113599061965942e-01;4.5427200198173523e-01;0.0000000000000000e+00;4.1297864457224231e-06;1.5534844247713369e-16;4.0316553801491965e-08;7.7160750253129906e-06;1.5534844247713369e-16;2.9329168616042124e-07
109000000;8.8537597656250000e-01;4.5081600546836853e-01;8.8495999574661255e-01;4.5276799798011780e-01;4.5116800069808960e-01;9.0777599811553955e-01;4.6070399880409241e-01;0.0000000000000000e+00;2.5191763099261724e-06;5.6498224250104894e-16;8.5114550350219193e-09;5.2490790960842627e-06;3.2015660408392774e-15;9.2596055563425860e-08
111000000;9.0115201473236084e-01;4.5878401398658752e-01;9.0144002437591553e-01;4.6188798546791077e-01;4.5888000726699829e-01;9.2128002643585205e-01;4.6969598531723022e-01;0.0000000000000000e+00;6.3276147080317178e-06;1.2116940673781812e-14;6.3491387586801976e-08;4.6157112895624708e-06;1.8494277870509080e-14;1.0777775580593622e-06
113000000;9.1859197616577148e-01;4.6694400906562805e-01;9.1846400499343872e-01;4.6921598911285400e-01;4.6764799952507019e-01;9.4572800397872925e-01;4.7782400250434875e-01;0.0000000000000000e+00;6.0240106366531728e-06;9.7961652354743847e-15;5.1360104602214285e-08;8.4722943682038504e-06;9.4583664342511294e-15;5.8338012209610975e-07
115000000;9.3366402387619019e-01;4.7430399060249329e-01;9.3372797966003418e-01;4.7743999958038330e-01;4.7577598690986633e-01;9.5894402265548706e-01;4.8566401004791260e-01;0.0000000000000000e+00;3.5387274842293630e-07;1.2756095534270121e-14;4.2582901011903245e-08;1.8251561834542950e-06;1.7394675728550165e-15;6.1180381458441099e-08
117000000;9.4976001977920532e-01;4.8361599445343018e-01;9.5110398530960083e-01;4.8579201102256775e-01;4.8243200778961182e-01;9.7286397218704224e-01;4.9446401000022888e-01;0.0000000000000000e+00;3.3386132003716680e-06;2.0463012914968161e-14;1.0797390737005275e-07;2.1543850025916996e-06;9.2284175891032890e-15;1.6153196465008077e-06
119000000;9.6611201763153076e-01;4.9155199527740479e-01;9.6563202142715454e-01;4.9366399645805359e-01;4.9116799235343933e-01;9.8908799886703491e-01;5.0060802698135376e-01;0.0000000000000000e+00;1.2280277491114423e-06;5.4665907563512827e-15;6.9532920864172731e-08;2.1548236117092578e-06;4.0280142415219972e-15;1.3052607376612602e-06
121000000;9.8230397701263428e-01;4.9884799122810364e-01;9.8204797506332397e-01;5.0284802913665771e-01;4.9942401051521301e-01;1.0086719989776611e+00;5.1100802421569824e-01;0.0000000000000000e+00;7.7235656331425345e-07;4.8298010611946970e-15;6.5180281359117663e-08;6.4199600059601817e-07;7.0251651799195589e-15;8.5093170575371300e-07
123000000;9.9743998050689697e-01;5.0617599487304688e-01;9.9843198060989380e-01;5.0963199138641357e-01;5.0707197189331055e-01;1.0205440521240234e+00;5.2140802145004272e-01;0.0000000000000000e+00;1.8016396715316114e-07;5.5912296887241484e-15;7.2957946360775089e-08;9.3060611269986349e-07;2.7956148443620742e-15;1.8016396715316114e-07
