Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
25000000;0.0000000000000000e+00;6.0815691988046138e-07;8.6425645104747496e-16;4.7678257937003624e-12;6.0815321967130239e-07;1.1473978460861132e-15;2.6754158236118216e-08
27000000;0.0000000000000000e+00;6.2549017884316585e-07;5.3810035489932522e-16;4.6450989030308498e-12;6.0326664208291894e-07;9.7966335487209746e-16;3.2455119960382476e-08
29000000;0.0000000000000000e+00;6.7097250301315115e-07;4.2390775426738811e-16;4.9791063648830654e-12;6.9855539359358327e-07;5.9089425736230477e-16;2.8554157912672971e-08
31000000;0.0000000000000000e+00;4.7081971916177246e-07;4.3262147471937052e-16;4.9998406068975560e-12;4.6436756923726355e-07;5.8884307316354528e-16;3.6459801389566126e-08
33000000;0.0000000000000000e+00;5.0249926547110992e-07;2.7093488888032372e-16;5.5251061182417735e-12;4.9037781285420391e-07;7.2247953672866812e-16;3.2354539584217400e-08
35000000;0.0000000000000000e+00;6.4995818268065477e-07;5.3218485762085538e-16;6.0710609027873385e-12;6.4995509605153801e-07;8.9405199906994683e-16;3.8776425679321293e-08
37000000;0.0000000000000000e+00;4.9366415630713259e-07;5.0341688533646355e-16;5.4945868920006919e-12;5.3237143248675394e-07;1.1679187305934150e-15;3.5880204756209641e-08
39000000;0.0000000000000000e+00;5.0203938332698463e-07;4.3939996995561475e-16;5.9062042730611299e-12;5.5625131218590400e-07;1.5283532998904652e-15;3.8425554348286210e-08
41000000;0.0000000000000000e+00;6.4845848810282651e-07;4.3612848885923813e-16;5.5925219431446845e-12;5.9968060897626213e-07;9.9944292833474006e-16;4.4019408500445418e-08
43000000;0.0000000000000000e+00;4.5208997562001460e-07;3.9852344167917789e-16;5.7174512076986785e-12;4.6445147712078453e-07;9.7032949191782935e-16;2.8817885508891982e-08
45000000;0.0000000000000000e+00;8.1842804312965517e-07;2.8147523112437381e-16;5.3087598141489433e-12;8.0064666243733801e-07;1.1424878999164191e-15;4.3719824929931374e-08
47000000;0.0000000000000000e+00;5.7981911736328093e-07;3.0120928134963382e-16;5.6056364305057621e-12;5.4806281858385568e-07;1.1572728981938111e-15;4.0667568628852578e-08
49000000;0.0000000000000000e+00;8.6839829066573726e-07;2.4328904869809264e-16;5.3690997429165023e-12;9.4254847895713915e-07;1.1404462960330916e-15;3.0097405182761773e-08
51000000;0.0000000000000000e+00;4.3604496922778876e-07;2.0453026567614658e-16;5.3241956152911939e-12;4.6812424744061520e-07;1.0372923151427214e-15;2.5550595846624176e-08
53000000;0.0000000000000000e+00;6.6812039060763302e-07;2.1087958360377700e-16;5.4929081752066445e-12;7.0585768516519569e-07;1.1668380174751586e-15;2.7130046096010096e-08
55000000;0.0000000000000000e+00;6.3422174298185041e-07;2.3030377873151687e-16;5.3896991973332928e-12;6.4084599084828807e-07;1.4088932820364954e-15;2.1543943986831185e-08
57000000;0.0000000000000000e+00;6.8425901780884991e-07;3.2680115908267008e-16;5.4944872792570527e-12;6.5618290591905922e-07;7.1895166876143372e-16;1.8819514766929154e-08
59000000;0.0000000000000000e+00;6.6147925504041201e-07;3.1572445010896513e-16;5.4199196936436691e-12;6.6826347118641011e-07;7.1985496012657298e-16;2.8663404087263306e-08
61000000;0.0000000000000000e+00;5.5707170203375795e-07;2.5651148294751510e-16;5.4372109715344931e-12;6.0953709531163458e-07;6.3517271205211321e-16;3.7348870538645831e-08
63000000;0.0000000000000000e+00;7.3397857338131049e-07;2.6019677334474821e-16;5.1605489067375832e-12;7.3397639355285364e-07;1.2773550454223408e-15;3.4672859745429367e-08
65000000;0.0000000000000000e+00;7.0234865568217464e-07;2.0633965270148358e-16;5.0955650184026637e-12;6.8004913297167933e-07;9.8583797129832585e-16;3.9706723416586170e-08
67000000;0.0000000000000000e+00;6.6316417971043823e-07;2.5578520584450610e-16;4.8756984806544857e-12;6.9308320126145443e-07;9.7866158607651422e-16;2.5353131871578209e-08
69000000;0.0000000000000000e+00;5.2959460750141788e-07;3.8875398869531836e-16;4.9465833337251851e-12;4.9481177413015439e-07;1.0798721448478344e-15;4.9493831335505636e-08
71000000;0.0000000000000000e+00;3.0613983069060759e-07;3.3582539116970670e-16;4.6283806929846684e-12;3.4260428729587088e-07;7.3461520113730932e-16;3.8559161228869470e-08
73000000;0.0000000000000000e+00;4.0172461625992502e-07;3.6745174274082254e-16;4.4252765356219191e-12;4.6292062464110945e-07;1.3677402870101010e-15;3.0547792689893052e-08
75000000;0.0000000000000000e+00;6.0056489496986992e-07;5.3648044966768101e-16;4.3321048076461939e-12;6.2189935241364654e-07;1.3113845961685742e-15;4.3979978846475871e-08
77000000;0.0000000000000000e+00;6.3798479164918338e-07;4.0642467170573155e-16;4.2581805325597626e-12;7.6047674131023649e-07;1.4515199224005252e-15;4.4732940740189834e-08
79000000;0.0000000000000000e+00;4.5804039548935544e-07;4.1499285598278125e-16;4.2057006021972200e-12;4.5613426803076336e-07;9.6203555905155545e-16;5.0366172736120962e-08
81000000;0.0000000000000000e+00;4.8670738095827677e-07;4.5994044680328007e-16;3.9945242767392933e-12;4.1183688625664441e-07;6.9911325655426576e-16;5.0959441254754024e-08
83000000;0.0000000000000000e+00;5.3281308398015490e-07;4.1294652298794584e-16;3.9832813118865534e-12;6.0992691530425041e-07;9.5157246096985552e-16;4.1051644243353368e-08
85000000;0.0000000000000000e+00;4.9088078116258891e-07;2.2791355046878872e-16;3.8111933486192400e-12;5.4050261486581750e-07;9.6424733408086101e-16;4.9728806636870553e-08
87000000;0.0000000000000000e+00;6.0645752081294675e-07;3.5970448329808938e-16;3.7315892282880205e-12;5.8806666762816718e-07;1.5929661380732244e-15;4.0209118790939624e-08
89000000;0.0000000000000000e+00;6.4279301121541558e-07;3.0138772756282239e-16;3.5266622490916280e-12;6.8773998501737475e-07;8.3718583313844393e-16;2.1894673580213489e-08
91000000;0.0000000000000000e+00;6.5841482548450476e-07;2.7838751481456146e-16;3.2967125479011547e-12;7.4633185896213848e-07;1.1954222000476476e-15;5.1638696769931991e-08
93000000;0.0000000000000000e+00;5.8134525956051940e-07;4.4866051987789654e-16;3.2221305978492764e-12;6.8457765163355789e-07;1.0415283086601056e-15;3.7049151119164024e-08
