Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
5300;+8.1407999992370605e-01;+5.1097601652145386e-01;+6.1952000856399536e-01;+5.7344001531600952e-01;+5.0790399312973022e-01;+7.0246398448944092e-01;+5.4681599140167236e-01
5350;+8.1100797653198242e-01;+5.1097601652145386e-01;+6.1849600076675415e-01;+5.7651197910308838e-01;+5.0892800092697144e-01;+7.1065598726272583e-01;+5.5603200197219849e-01
5400;+8.2841598987579346e-01;+5.1814401149749756e-01;+6.3283199071884155e-01;+5.8572798967361450e-01;+5.1916801929473877e-01;+7.2499197721481323e-01;+5.5398398637771606e-01
5450;+8.3763200044631958e-01;+5.2019202709197998e-01;+6.4102399349212646e-01;+5.8572798967361450e-01;+5.1814401149749756e-01;+7.3113602399826050e-01;+5.6627202033996582e-01
5500;+8.4479999542236328e-01;+5.3043198585510254e-01;+6.4512002468109131e-01;+5.9801602363586426e-01;+5.2838397026062012e-01;+7.3830401897430420e-01;+5.7139199972152710e-01
5550;+8.5094398260116577e-01;+5.2838397026062012e-01;+6.5228801965713501e-01;+5.9801602363586426e-01;+5.2736002206802368e-01;+7.5161600112915039e-01;+5.7958400249481201e-01
5600;+8.4787201881408691e-01;+5.3145599365234375e-01;+6.4614397287368774e-01;+6.0211199522018433e-01;+5.2940797805786133e-01;+7.6185601949691772e-01;+5.8060801029205322e-01
5650;+8.6937600374221802e-01;+5.4169601202011108e-01;+6.6662400960922241e-01;+6.1440002918243408e-01;+5.4272001981735229e-01;+7.6185601949691772e-01;+5.8880001306533813e-01
5700;+8.6732798814773560e-01;+5.4476797580718994e-01;+6.6355198621749878e-01;+6.1644798517227173e-01;+5.4374402761459351e-01;+7.8131198883056641e-01;+5.9699201583862305e-01
5750;+8.8371199369430542e-01;+5.5603200197219849e-01;+6.7686402797698975e-01;+6.2771201133728027e-01;+5.5295997858047485e-01;+7.8847998380661011e-01;+6.0518401861190796e-01
5800;+8.8985598087310791e-01;+5.5398398637771606e-01;+6.8403202295303345e-01;+6.2259197235107422e-01;+5.5398398637771606e-01;+8.0076801776885986e-01;+6.1440002918243408e-01
5850;+9.0214401483535767e-01;+5.6627202033996582e-01;+6.9222402572631836e-01;+6.3795202970504761e-01;+5.6524801254272461e-01;+8.0998402833938599e-01;+6.1440002918243408e-01
5900;+9.0419197082519531e-01;+5.6217598915100098e-01;+6.9939202070236206e-01;+6.3692802190780640e-01;+5.6115198135375977e-01;+8.1919997930526733e-01;+6.2566399574279785e-01
5950;+9.2057597637176514e-01;+5.7344001531600952e-01;+7.0451200008392334e-01;+6.4819198846817017e-01;+5.7241600751876831e-01;+8.3148801326751709e-01;+6.3283199071884155e-01
6000;+9.2364799976348877e-01;+5.7753598690032959e-01;+7.1270400285720825e-01;+6.5433597564697266e-01;+5.7753598690032959e-01;+8.3968001604080200e-01;+6.3897597789764404e-01
6050;+9.2672002315521240e-01;+5.8163201808929443e-01;+7.1270400285720825e-01;+6.5433597564697266e-01;+5.7958400249481201e-01;+8.4582400321960449e-01;+6.4512002468109131e-01
6100;+9.4003200531005859e-01;+5.9187197685241699e-01;+7.2601598501205444e-01;+6.6560000181198120e-01;+5.8982402086257935e-01;+8.6220800876617432e-01;+6.5535998344421387e-01
6150;+9.3900799751281738e-01;+5.9187197685241699e-01;+7.2396802902221680e-01;+6.6867202520370483e-01;+5.8777600526809692e-01;+8.7449598312377930e-01;+6.5535998344421387e-01
6200;+9.5436799526214600e-01;+6.0006397962570190e-01;+7.3830401897430420e-01;+6.8095999956130981e-01;+5.9903997182846069e-01;+8.8166397809982300e-01;+6.6560000181198120e-01
6250;+9.6665602922439575e-01;+5.9596800804138184e-01;+7.4854397773742676e-01;+6.7891198396682739e-01;+5.9699201583862305e-01;+8.8985598087310791e-01;+6.7379200458526611e-01
6300;+9.7280001640319824e-01;+6.1030399799346924e-01;+7.5264000892639160e-01;+6.9324797391891479e-01;+6.0825598239898682e-01;+8.9907199144363403e-01;+6.7481601238250732e-01
6350;+9.7894400358200073e-01;+6.0723197460174561e-01;+7.5980800390243530e-01;+6.9120001792907715e-01;+6.0518401861190796e-01;+9.1545599699020386e-01;+6.8710398674011230e-01
6400;+9.7484797239303589e-01;+6.1132800579071045e-01;+7.5264000892639160e-01;+6.9324797391891479e-01;+6.0927999019622803e-01;+9.2262399196624756e-01;+6.9222402572631836e-01
6450;+9.9635201692581177e-01;+6.2668800354003906e-01;+7.7209597826004028e-01;+7.1270400285720825e-01;+6.2668800354003906e-01;+9.3388801813125610e-01;+7.0143997669219971e-01
6500;+9.9430400133132935e-01;+6.2361598014831543e-01;+7.7107197046279907e-01;+7.0656001567840576e-01;+6.2259197235107422e-01;+9.5129597187042236e-01;+7.0246398448944092e-01
6550;+1.0127359628677368e+00;+6.3590401411056519e-01;+7.8745597600936890e-01;+7.2089600563049316e-01;+6.3385599851608276e-01;+9.5948797464370728e-01;+7.1372801065444946e-01
6600;+1.0158079862594604e+00;+6.3283199071884155e-01;+7.9564797878265381e-01;+7.1475201845169067e-01;+6.3385599851608276e-01;+9.7382402420043945e-01;+7.2192001342773438e-01
6650;+1.0291199684143066e+00;+6.4716798067092896e-01;+7.9872000217437744e-01;+7.2908800840377808e-01;+6.4716798067092896e-01;+9.8406398296356201e-01;+7.3420798778533936e-01
6700;+1.0321919918060303e+00;+6.4102399349212646e-01;+8.0896002054214478e-01;+7.2806400060653687e-01;+6.3897597789764404e-01;+9.8201602697372437e-01;+7.3625600337982178e-01
6750;+1.0496000051498413e+00;+6.5535998344421387e-01;+8.1612801551818848e-01;+7.4239999055862427e-01;+6.5638399124145508e-01;+1.0004479885101318e+00;+7.4137598276138306e-01
6800;+1.0496000051498413e+00;+6.6150397062301636e-01;+8.1817597150802612e-01;+7.4854397773742676e-01;+6.5945601463317871e-01;+1.0147839784622192e+00;+7.4854397773742676e-01
6850;+1.0526720285415649e+00;+6.5945601463317871e-01;+8.1919997930526733e-01;+7.4649602174758911e-01;+6.5945601463317871e-01;+1.0291199684143066e+00;+7.5980800390243530e-01
6900;+1.0649600028991699e+00;+6.7174398899078369e-01;+8.3148801326751709e-01;+7.5673598051071167e-01;+6.7071998119354248e-01;+1.0352640151977539e+00;+7.6390397548675537e-01
