Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
+7700;+1.0619839429855347e+00;+9.5574402809143066e-01;+1.0581439733505249e+00;+9.4406402111053467e-01;+9.5696002244949341e-01;+6.4489597082138062e-01;+6.0131198167800903e-01
+7800;+1.0743360519409180e+00;+9.6841597557067871e-01;+1.0694400072097778e+00;+9.5657598972320557e-01;+9.6819198131561279e-01;+6.5299201011657715e-01;+6.0640001296997070e-01
+7900;+1.0860799551010132e+00;+9.8246401548385620e-01;+1.0834560394287109e+00;+9.7251200675964355e-01;+9.8083198070526123e-01;+6.6179198026657104e-01;+6.1567997932434082e-01
+8000;+1.0788799524307251e+00;+9.9417597055435181e-01;+1.0814080238342285e+00;+9.7814399003982544e-01;+9.9343997240066528e-01;+6.7023998498916626e-01;+6.2156802415847778e-01
+8100;+1.0986880064010620e+00;+1.0013760328292847e+00;+1.0990400314331055e+00;+9.9043202400207520e-01;+1.0026240348815918e+00;+6.7891198396682739e-01;+6.3350397348403931e-01
+8200;+1.1318080425262451e+00;+1.0118399858474731e+00;+1.1331520080566406e+00;+9.9897599220275879e-01;+1.0115519762039185e+00;+6.8934398889541626e-01;+6.3881599903106689e-01
+8300;+1.1448320150375366e+00;+1.0238399505615234e+00;+1.1447999477386475e+00;+1.0098559856414795e+00;+1.0229439735412598e+00;+6.9484800100326538e-01;+6.4767998456954956e-01
+8400;+1.1582080125808716e+00;+1.0477759838104248e+00;+1.1545920372009277e+00;+1.0328960418701172e+00;+1.0463039875030518e+00;+7.0435202121734619e-01;+6.5267199277877808e-01
+8500;+1.1719679832458496e+00;+1.0552639961242676e+00;+1.1679999828338623e+00;+1.0424959659576416e+00;+1.0553280115127563e+00;+7.1548801660537720e-01;+6.6278398036956787e-01
+8600;+1.1871360540390015e+00;+1.0667200088500977e+00;+1.1828800439834595e+00;+1.0552320480346680e+00;+1.0682560205459595e+00;+7.2220802307128906e-01;+6.6755199432373047e-01
+8700;+1.1972800493240356e+00;+1.0821759700775146e+00;+1.1943680047988892e+00;+1.0675200223922729e+00;+1.0808000564575195e+00;+7.3184001445770264e-01;+6.7827200889587402e-01
+8800;+1.1901119947433472e+00;+1.0921599864959717e+00;+1.1884160041809082e+00;+1.0765759944915771e+00;+1.0910400152206421e+00;+7.4111998081207275e-01;+6.8480002880096436e-01
