Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
21000000;3.9116799831390381e-01;2.0787200331687927e-01;3.9116799831390381e-01;2.1299199759960175e-01;2.0889599621295929e-01;3.9936000108718872e-01;2.1299199759960175e-01;0.0000000000000000e+00;1.7591026095395861e-07;4.4921347848514628e-16;4.9669764538010354e-09;2.9649508589246504e-07;1.1230336962128657e-16;6.5259388923054254e-08
23000000;4.2700800299644470e-01;2.2630399465560913e-01;4.2700800299644470e-01;2.3142400383949280e-01;2.2732800245285034e-01;4.3417599797248840e-01;2.3142400383949280e-01;0.0000000000000000e+00;9.5218784419099240e-07;1.3612793348907239e-15;1.2547629607302720e-08;9.5218784419099240e-07;9.7234238206480290e-16;1.9626130696685053e-07
25000000;4.6284800767898560e-01;2.4371199309825897e-01;4.6284800767898560e-01;2.4883200228214264e-01;2.4473600089550018e-01;4.7001600265502930e-01;2.4883200228214264e-01;0.0000000000000000e+00;6.7081169999362680e-07;8.0693366831919439e-16;2.0982878342579637e-08;3.0393153248294393e-07;8.0693366831919439e-16;2.3759248555959535e-07
27000000;4.9766400456428528e-01;2.5907200574874878e-01;4.9766400456428528e-01;2.6419198513031006e-01;2.6111999154090881e-01;5.0483202934265137e-01;2.6624000072479248e-01;0.0000000000000000e+00;1.9586431600940199e-06;2.1551984887956424e-16;8.3645828812353004e-09;1.2644051331615768e-06;2.8017580354343353e-15;1.2407092070330914e-07
29000000;5.3350400924682617e-01;2.7750399708747864e-01;5.3350400924682617e-01;2.8159999847412109e-01;2.7750399708747864e-01;5.4067200422286987e-01;2.8467199206352234e-01;0.0000000000000000e+00;2.4124555640651011e-07;1.1804046859020920e-15;6.0181287763844488e-08;3.9247938384281956e-07;6.7451696337262397e-15;1.2088298087882113e-07
31000000;5.6934398412704468e-01;2.9593598842620850e-01;5.6934398412704468e-01;3.0003198981285095e-01;2.9593598842620850e-01;5.7651197910308838e-01;3.0310401320457458e-01;0.0000000000000000e+00;6.8642516656831657e-07;2.3925747802205419e-15;4.4173264425715622e-08;1.2002266882823974e-06;2.9907184752756774e-15;8.4277116002804571e-08
33000000;6.0518401861190796e-01;3.1334400177001953e-01;6.0620802640914917e-01;3.1744000315666199e-01;3.1334400177001953e-01;6.1235201358795166e-01;3.1948798894882202e-01;0.0000000000000000e+00;1.2593587122698578e-06;1.5270929152044088e-15;6.1113823362468301e-08;8.1790006898818799e-07;4.4638100598282723e-15;6.5017217575151649e-08
35000000;6.4204800128936768e-01;3.3075198531150818e-01;6.4102399349212646e-01;3.3587199449539185e-01;3.3280000090599060e-01;6.4819198846817017e-01;3.3792001008987427e-01;0.0000000000000000e+00;6.8473135765730881e-07;1.0856101230023424e-15;2.7619471780435235e-08;2.9617635978217571e-07;2.7743369810059860e-15;3.6093552609469788e-07
37000000;6.7686402797698975e-01;3.4918400645256042e-01;6.7686402797698975e-01;3.5225600004196167e-01;3.4918400645256042e-01;6.8300801515579224e-01;3.5532799363136292e-01;0.0000000000000000e+00;6.2283883853510740e-07;1.2312381180515800e-15;2.7924500340343536e-08;4.9063565226960440e-07;1.2312381180515800e-16;2.3648187219066264e-07
39000000;7.1167999505996704e-01;3.6659198999404907e-01;7.1270400285720825e-01;3.7068799138069153e-01;3.6761599779129028e-01;7.1782398223876953e-01;3.7273600697517395e-01;0.0000000000000000e+00;2.0828364198640767e-07;2.6104270379595850e-16;1.9357097004154672e-09;2.1215506138723860e-07;2.3493843341636263e-15;2.1215506138723860e-07
