Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
1350;+0.0000000000000000e+00;+2.1904516855619941e-06;+0.0000000000000000e+00;+6.2352297674743369e-07;+2.1904516855619941e-06;+5.4020388679793280e-15;+1.9286740998126870e-06
1400;+0.0000000000000000e+00;+2.2647126925838556e-06;+0.0000000000000000e+00;+6.4157021029737819e-07;+2.2647126925838556e-06;+5.6580216549051380e-15;+2.0112597576709862e-06
1450;+0.0000000000000000e+00;+2.3332612232599356e-06;+0.0000000000000000e+00;+6.6089294211983326e-07;+2.3332612232599356e-06;+5.8926713036054132e-15;+2.1116484590924659e-06
1500;+0.0000000000000000e+00;+2.4071671922056990e-06;+0.0000000000000000e+00;+6.7179844546192978e-07;+2.4071671922056990e-06;+6.0969415581477133e-15;+2.1966971564939476e-06
1550;+0.0000000000000000e+00;+2.5250663768685495e-06;+0.0000000000000000e+00;+6.8634894727546125e-07;+2.5250663768685495e-06;+6.2311933668445307e-15;+2.3088084367655822e-06
1600;+0.0000000000000000e+00;+2.6726542704736331e-06;+0.0000000000000000e+00;+7.0144078614203144e-07;+2.6726542704736331e-06;+6.4138914089730983e-15;+2.4004132241639509e-06
1650;+0.0000000000000000e+00;+2.7834181258283740e-06;+0.0000000000000000e+00;+7.1369379828961136e-07;+2.7834181258283740e-06;+6.6613317761461275e-15;+2.5482123375952454e-06
1700;+0.0000000000000000e+00;+2.8549245649495381e-06;+0.0000000000000000e+00;+7.3386203384190998e-07;+2.8549245649495381e-06;+6.8753328548407526e-15;+2.6420563147388870e-06
1750;+0.0000000000000000e+00;+2.9411808233996106e-06;+0.0000000000000000e+00;+7.4663781501875430e-07;+2.9411808233996106e-06;+7.1229048400809322e-15;+2.7064975173232769e-06
1800;+0.0000000000000000e+00;+3.0295324685901943e-06;+0.0000000000000000e+00;+7.5957754389878450e-07;+3.0295324685901943e-06;+7.3166295275777158e-15;+2.8050398140317833e-06
1850;+0.0000000000000000e+00;+3.1373936550888184e-06;+0.0000000000000000e+00;+7.8769860166099476e-07;+3.1373936550888184e-06;+7.6811801080946381e-15;+2.9100568521640394e-06
1900;+0.0000000000000000e+00;+3.2208026014396945e-06;+0.0000000000000000e+00;+8.0313014800639317e-07;+3.2208026014396945e-06;+7.9770080716446142e-15;+2.9798334349536538e-06
1950;+0.0000000000000000e+00;+3.2900293833956946e-06;+0.0000000000000000e+00;+8.2542440995942532e-07;+3.2900293833956946e-06;+8.2276900082457368e-15;+3.0907625761789280e-06
2000;+0.0000000000000000e+00;+3.3725890389434180e-06;+0.0000000000000000e+00;+8.3979364999544353e-07;+3.3725890389434180e-06;+8.5670541958957132e-15;+3.1898603171960078e-06
2050;+0.0000000000000000e+00;+3.4636505783787962e-06;+0.0000000000000000e+00;+8.6090245115220926e-07;+3.4636505783787962e-06;+8.8973627063580298e-15;+3.2901442538850270e-06
2100;+0.0000000000000000e+00;+3.5555955799699904e-06;+0.0000000000000000e+00;+8.7932779865833098e-07;+3.5555955799699904e-06;+9.2335371159834448e-15;+3.3508489410721818e-06
2150;+0.0000000000000000e+00;+3.6236833543985194e-06;+0.0000000000000000e+00;+8.9540823213530868e-07;+3.6236833543985194e-06;+9.4574112715035868e-15;+3.4438083492365353e-06
2200;+0.0000000000000000e+00;+3.7394028836895514e-06;+0.0000000000000000e+00;+9.1874591846566188e-07;+3.7394028836895514e-06;+9.8257930413034342e-15;+3.5576320091677642e-06
2250;+0.0000000000000000e+00;+3.8142066049661822e-06;+0.0000000000000000e+00;+9.3837110273770998e-07;+3.8142066049661822e-06;+1.0006651200123745e-14;+3.6628446359273449e-06
2300;+0.0000000000000000e+00;+3.9147733527842154e-06;+0.0000000000000000e+00;+9.5304887338699312e-07;+3.9147733527842154e-06;+1.0280701797381554e-14;+3.7503575189393883e-06
2350;+0.0000000000000000e+00;+3.9930449100310584e-06;+0.0000000000000000e+00;+9.6636777636703756e-07;+3.9930449100310584e-06;+1.0403303919859536e-14;+3.8596946546568672e-06
2400;+0.0000000000000000e+00;+4.0899805570602337e-06;+0.0000000000000000e+00;+1.0028526006559914e-06;+4.0899805570602337e-06;+1.0655044865368973e-14;+3.9775987119630027e-06
2450;+0.0000000000000000e+00;+4.1824425267575264e-06;+0.0000000000000000e+00;+1.0352333870260091e-06;+4.1824425267575264e-06;+1.0904708501269685e-14;+4.1350090706475951e-06
2500;+0.0000000000000000e+00;+4.3326060944748248e-06;+0.0000000000000000e+00;+1.0754828267878159e-06;+4.3326060944748248e-06;+1.1248756661009752e-14;+4.2768892582408414e-06
2550;+0.0000000000000000e+00;+4.4499129749220108e-06;+0.0000000000000000e+00;+1.1029941819025939e-06;+4.4499129749220108e-06;+1.1561284678287750e-14;+4.4052657007324002e-06
2600;+0.0000000000000000e+00;+4.5502565315055968e-06;+0.0000000000000000e+00;+1.1169408173849305e-06;+4.5502565315055968e-06;+1.1999471087741510e-14;+4.5423625013913539e-06
