Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
+2600;+3.5392001271247864e-02;+1.9200000911951065e-02;+3.5456001758575439e-02;+2.3328000679612160e-02;+1.9360000267624855e-02;+3.7280000746250153e-02;+1.5039999969303608e-02
+2700;+3.8176000118255615e-02;+2.0864000543951988e-02;+3.7888001650571823e-02;+2.5119999423623085e-02;+2.0608000457286835e-02;+3.9423998445272446e-02;+1.5680000185966492e-02
+2800;+4.0128000080585480e-02;+2.2655999287962914e-02;+4.0128000080585480e-02;+2.7295999228954315e-02;+2.2304000332951546e-02;+4.1887998580932617e-02;+1.7920000478625298e-02
+2900;+4.2656000703573227e-02;+2.3967999964952469e-02;+4.2112000286579132e-02;+2.9184000566601753e-02;+2.3615999147295952e-02;+4.3680001050233841e-02;+1.8368000164628029e-02
+3000;+4.4704001396894455e-02;+2.5599999353289604e-02;+4.4319998472929001e-02;+3.1295999884605408e-02;+2.5439999997615814e-02;+4.6688001602888107e-02;+2.1600000560283661e-02
+3100;+4.7807998955249786e-02;+2.8160000219941139e-02;+4.7807998955249786e-02;+3.4336000680923462e-02;+2.7871999889612198e-02;+4.8895999789237976e-02;+2.3455999791622162e-02
+3200;+5.0400000065565109e-02;+3.0975999310612679e-02;+5.0624001771211624e-02;+3.7760000675916672e-02;+3.0751999467611313e-02;+5.0815999507904053e-02;+2.5887999683618546e-02
+3300;+5.2512001246213913e-02;+3.3920001238584518e-02;+5.2607998251914978e-02;+4.0383998304605484e-02;+3.3631999045610428e-02;+5.4016001522541046e-02;+2.9983999207615852e-02
+3400;+5.5488001555204391e-02;+3.6224000155925751e-02;+5.5551998317241669e-02;+4.3487999588251114e-02;+3.6320000886917114e-02;+5.6223999708890915e-02;+3.0975999310612679e-02
+3500;+5.8079998940229416e-02;+3.8591999560594559e-02;+5.8015998452901840e-02;+4.5407999306917191e-02;+3.8720000535249710e-02;+5.9487998485565186e-02;+3.4848000854253769e-02
+3600;+6.7712001502513885e-02;+4.2752001434564590e-02;+6.8223997950553894e-02;+5.3344000130891800e-02;+4.2847998440265656e-02;+6.1983998864889145e-02;+3.5551998764276505e-02
+3700;+7.1648001670837402e-02;+4.3423999100923538e-02;+7.1327999234199524e-02;+5.3663998842239380e-02;+4.3359998613595963e-02;+6.6944003105163574e-02;+3.7471998482942581e-02
+3800;+7.3728002607822418e-02;+4.5152001082897186e-02;+7.4047997593879700e-02;+5.4528001695871353e-02;+4.4767998158931732e-02;+6.9920003414154053e-02;+4.1087999939918518e-02
+3900;+7.5584001839160919e-02;+4.7104001045227051e-02;+7.5488001108169556e-02;+5.6095998734235764e-02;+4.6783998608589172e-02;+7.1423999965190887e-02;+4.0479999035596848e-02
+4000;+7.3247998952865601e-02;+4.8640001565217972e-02;+7.3183998465538025e-02;+5.3183998912572861e-02;+4.9375999718904495e-02;+7.5167998671531677e-02;+4.2527999728918076e-02
+4100;+7.5776003301143646e-02;+4.6367999166250229e-02;+7.5456000864505768e-02;+5.1615998148918152e-02;+4.5728001743555069e-02;+7.6991997659206390e-02;+4.3136000633239746e-02
+4200;+7.9135999083518982e-02;+4.8512000590562820e-02;+7.9007998108863831e-02;+5.3311999887228012e-02;+4.7968000173568726e-02;+8.3871997892856598e-02;+4.5248001813888550e-02
+4300;+8.2656003534793854e-02;+4.8928000032901764e-02;+8.2592003047466278e-02;+5.5488001555204391e-02;+4.9695998430252075e-02;+8.8064000010490417e-02;+4.7008000314235687e-02
+4400;+8.5791997611522675e-02;+5.0560001283884048e-02;+8.6144000291824341e-02;+5.6864000856876373e-02;+5.0560001283884048e-02;+9.1168001294136047e-02;+4.7839999198913574e-02
+4500;+8.9440003037452698e-02;+5.1711998879909515e-02;+8.9504003524780273e-02;+5.9007998555898666e-02;+5.1904000341892242e-02;+9.5360003411769867e-02;+5.1872000098228455e-02
+4600;+9.2543996870517731e-02;+5.3568001836538315e-02;+9.2639997601509094e-02;+6.0704000294208527e-02;+5.3599998354911804e-02;+1.0035199671983719e-01;+5.3344000130891800e-02
+4700;+9.7439996898174286e-02;+5.7280000299215317e-02;+9.6992000937461853e-02;+6.5568000078201294e-02;+5.7440001517534256e-02;+1.0566399991512299e-01;+5.5488001555204391e-02
+4800;+1.0121600329875946e-01;+5.8720000088214874e-02;+1.0080000013113022e-01;+6.8031996488571167e-02;+5.9392001479864120e-02;+1.0710400342941284e-01;+5.7215999811887741e-02
+4900;+1.0524799674749374e-01;+6.1439998447895050e-02;+1.0527999699115753e-01;+7.0111997425556183e-02;+6.1184000223875046e-02;+1.1129599809646606e-01;+5.8559998869895935e-02
+5000;+1.0918399691581726e-01;+6.2976002693176270e-02;+1.0899200290441513e-01;+7.2223998606204987e-02;+6.2880001962184906e-02;+1.1507199704647064e-01;+6.2431998550891876e-02
+5100;+1.1302399635314941e-01;+6.4800001680850983e-02;+1.1296000331640244e-01;+7.4432000517845154e-02;+6.4704000949859619e-02;+1.2038400024175644e-01;+6.4608000218868256e-02
+5200;+1.1760000139474869e-01;+6.8800002336502075e-02;+1.1788800358772278e-01;+7.8815996646881104e-02;+6.8864002823829651e-02;+1.2435200065374374e-01;+6.5503999590873718e-02
+5300;+1.2211199849843979e-01;+7.0592001080513000e-02;+1.2172800302505493e-01;+8.2015998661518097e-02;+7.0464000105857849e-02;+1.2835200130939484e-01;+6.9279998540878296e-02
+5400;+1.2627199292182922e-01;+7.2704002261161804e-02;+1.2588800489902496e-01;+8.4031999111175537e-02;+7.2800002992153168e-02;+1.2713600695133209e-01;+7.0047996938228607e-02
+5500;+1.3065600395202637e-01;+7.5295999646186829e-02;+1.3023999333381653e-01;+8.6496002972126007e-02;+7.4943996965885162e-02;+1.3900800049304962e-01;+7.2512000799179077e-02
+5600;+1.3465599715709686e-01;+7.7247999608516693e-02;+1.3471999764442444e-01;+8.9056000113487244e-02;+7.6895996928215027e-02;+1.4358399808406830e-01;+7.7151998877525330e-02
+5700;+1.4003199338912964e-01;+7.9999998211860657e-02;+1.3977600634098053e-01;+9.2032000422477722e-02;+7.9424001276493073e-02;+1.4851200580596924e-01;+7.6959997415542603e-02
+5800;+1.4508800208568573e-01;+8.2208000123500824e-02;+1.4518399536609650e-01;+9.4048000872135162e-02;+8.2496002316474915e-02;+1.5263999998569489e-01;+8.0799996852874756e-02
+5900;+1.5059199929237366e-01;+8.5823997855186462e-02;+1.5084800124168396e-01;+9.7312003374099731e-02;+8.5568003356456757e-02;+1.5862399339675903e-01;+8.1504002213478088e-02
+6000;+1.5542399883270264e-01;+8.9599996805191040e-02;+1.5526400506496429e-01;+1.0143999755382538e-01;+9.0176001191139221e-02;+1.5651200711727142e-01;+8.5568003356456757e-02
+6100;+1.6016000509262085e-01;+9.6767999231815338e-02;+1.6035200655460358e-01;+1.0614400357007980e-01;+9.7056001424789429e-02;+1.6150400042533875e-01;+9.0272001922130585e-02
+6200;+1.6140800714492798e-01;+8.9791998267173767e-02;+1.6240000724792480e-01;+9.6575997769832611e-02;+9.0015999972820282e-02;+1.7417599260807037e-01;+8.9727997779846191e-02
+6300;+1.6675199568271637e-01;+9.2320002615451813e-02;+1.6640000045299530e-01;+9.9391996860504150e-02;+9.2160001397132874e-02;+1.7795200645923615e-01;+9.3631997704505920e-02
+6400;+1.7212800681591034e-01;+9.5072001218795776e-02;+1.7212800681591034e-01;+1.0278400033712387e-01;+9.4783999025821686e-02;+1.8297599256038666e-01;+9.2863999307155609e-02
