Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
41000000;0.0000000000000000e+00;5.3887362501799540e-07;7.9427852884577938e-16;1.2586557059358819e-07;1.4185700076972023e-15;1.8876502106034578e-07
43000000;0.0000000000000000e+00;5.8634063843474583e-07;1.1343601998539940e-15;9.6048082787446172e-08;1.2761804054672201e-15;2.0055674573005221e-07
45000000;0.0000000000000000e+00;4.8870768263251444e-07;8.3503126348862637e-16;1.2279962500664813e-07;1.4013212616748681e-15;1.2930346357241225e-07
47000000;0.0000000000000000e+00;7.1374445877308608e-07;7.6101944307379887e-16;8.8504137261457065e-08;1.3951628469573448e-15;1.1641735367992367e-07
49000000;0.0000000000000000e+00;5.3108847369146189e-07;1.0914061549408885e-15;1.1316774998905176e-07;1.1718685640950439e-15;2.9349648886798298e-07
51000000;0.0000000000000000e+00;6.4032288098165753e-07;7.7046907577574061e-16;1.2899613756414254e-07;1.2949309364899340e-15;3.1555900653569741e-07
53000000;0.0000000000000000e+00;6.4406930266405703e-07;1.4087576078524134e-15;1.6000863635349916e-07;1.0672436129813273e-15;4.0050678272585028e-07
55000000;0.0000000000000000e+00;6.6469500345272825e-07;1.3174181370255851e-15;9.4231451760975062e-08;8.5171862345967238e-16;1.1562806379796689e-07
57000000;0.0000000000000000e+00;3.7201053343709196e-07;8.6028580639290924e-16;9.2562480700347420e-08;1.1926388499346504e-15;1.3242533714347674e-07
59000000;0.0000000000000000e+00;7.3831434601920482e-07;1.0010592602684080e-15;1.1958439266484546e-07;7.5380125669713298e-16;1.6121051351413355e-07
61000000;0.0000000000000000e+00;7.9338802642608359e-07;6.4069773662800336e-16;1.7602716650882136e-07;1.9222126296624918e-15;2.5575753927152560e-07
63000000;0.0000000000000000e+00;9.3847465038468059e-07;1.3345127491623480e-15;2.1337232448541891e-07;1.7346438497760686e-15;4.0353408251372850e-07
65000000;0.0000000000000000e+00;5.4176325520574648e-07;9.3811923440835243e-16;1.7922261444343799e-07;1.1317426664475628e-15;3.5172541657927480e-07
67000000;0.0000000000000000e+00;1.1185879286734641e-06;1.6622002969505852e-15;4.4079477125275417e-07;1.0932748265077315e-15;9.8101779736827498e-07
69000000;0.0000000000000000e+00;1.8853977729558646e-06;2.9994932107449679e-15;7.6950270749082349e-07;3.4145958647200225e-15;7.2872314964664075e-07
71000000;0.0000000000000000e+00;7.9522186839192897e-07;1.5207111492254287e-15;2.6429056573946339e-07;1.4344431963795938e-15;2.9829296221547597e-07
73000000;0.0000000000000000e+00;1.0558298231681538e-06;2.1421279337421222e-15;3.2132294533744878e-07;1.9059935499930582e-15;3.8243906016573518e-07
