Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp64, posit32>;DOT Acc<fp64, posit16>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp64, posit32>;Error DOT Acc<fp64, posit16>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
37000000;4.0243199467658997e-01;2.1299199759960175e-01;4.0448001027107239e-01;2.1606400609016418e-01;3.8195198774337769e-01;4.4339200854301453e-01;2.1196800470352173e-01;4.2086398601531982e-01;2.2528000175952911e-01;0.0000000000000000e+00;7.3711109988615139e-07;1.6309671493518031e-16;3.6616043154517145e-08;7.1648978912099930e-09;1.5087421742746943e-03;5.0945838936937136e-08;0.0000000000000000e+00;2.2606960311984569e-07
39000000;4.2291200160980225e-01;2.2528000175952911e-01;4.2700800299644470e-01;2.2835199534893036e-01;4.0345600247383118e-01;4.6694400906562805e-01;2.2220799326896667e-01;4.4134399294853210e-01;2.3756800591945648e-01;0.0000000000000000e+00;2.9933146039640498e-07;4.1583210912171625e-16;7.6083296733345676e-08;3.5540785098183984e-08;1.4484696266310270e-03;8.5745186955405330e-07;0.0000000000000000e+00;7.0528527608736192e-07
41000000;4.4339200854301453e-01;2.3244799673557281e-01;4.4543999433517456e-01;2.3756800591945648e-01;4.1881600022315979e-01;4.8742398619651794e-01;2.3039999604225159e-01;4.6694400906562805e-01;2.4985599517822266e-01;0.0000000000000000e+00;2.1748136917047193e-06;1.5782768547289269e-15;1.7971313265565095e-08;2.0543729206562657e-08;4.4775791246769170e-04;2.4906156809833164e-07;5.7391885626506436e-16;2.9014902651145692e-07
43000000;4.6489599347114563e-01;2.4371199309825897e-01;4.6796798706054688e-01;2.4780799448490143e-01;4.4134399294853210e-01;5.1302397251129150e-01;2.4166400730609894e-01;4.8742398619651794e-01;2.6214399933815002e-01;0.0000000000000000e+00;1.3653876473246993e-07;2.3051443756135687e-16;1.2782268409737211e-08;1.8156855670945973e-08;3.8016717443502523e-04;4.9095979751629153e-08;2.1898871568328906e-15;1.2782268409737211e-08
45000000;4.8640000820159912e-01;2.5497600436210632e-01;4.8947200179100037e-01;2.5907200574874878e-01;4.6079999208450317e-01;5.3452801704406738e-01;2.5497600436210632e-01;5.0687998533248901e-01;2.7443200349807739e-01;0.0000000000000000e+00;1.6555394484248751e-07;2.6190904458812326e-15;3.7725446997874433e-08;1.0210239693855476e-08;9.9881415671080882e-04;6.0141704222519097e-07;8.3334696005311950e-16;9.0103050846738662e-08
47000000;5.0790399312973022e-01;2.6624000072479248e-01;5.1097601652145386e-01;2.7033600211143494e-01;4.7923201322555542e-01;5.5808001756668091e-01;2.6726400852203369e-01;5.3145599365234375e-01;2.8672000765800476e-01;0.0000000000000000e+00;3.6967906564917707e-07;0.0000000000000000e+00;5.1860353291511133e-08;2.7594324797905357e-08;2.2877761254422795e-04;5.1860353291511133e-08;9.8663913817972550e-16;2.6595835906615482e-07
49000000;5.2838397026062012e-01;2.7750399708747864e-01;5.3248000144958496e-01;2.8057599067687988e-01;4.9663999676704407e-01;5.7855999469757080e-01;2.7750399708747864e-01;5.5398398637771606e-01;2.9900801181793213e-01;0.0000000000000000e+00;1.7540854177881464e-07;1.4854124480302271e-15;1.8080661478832853e-09;2.0344009842953954e-08;1.1901849307695553e-03;7.9928280181802397e-07;1.8155041031480552e-15;1.7902467407458121e-07
51000000;5.5091202259063721e-01;2.8979200124740601e-01;5.5398398637771606e-01;2.9491201043128967e-01;5.1609599590301514e-01;6.0211199522018433e-01;2.8979200124740601e-01;5.7753598690032959e-01;3.1027200818061829e-01;0.0000000000000000e+00;7.0356045814178321e-07;1.9926842189216699e-16;4.5309477616555979e-08;8.1812320804682509e-09;9.1336204930876912e-04;1.5229089701060442e-07;2.3912210627060040e-15;4.5309477616555979e-08
53000000;5.7241600751876831e-01;3.0208000540733337e-01;5.7548797130584717e-01;3.0515199899673462e-01;5.3452801704406738e-01;6.2259197235107422e-01;3.0105599761009216e-01;5.9903997182846069e-01;3.2358399033546448e-01;0.0000000000000000e+00;6.1922433888426060e-07;7.9062050457882275e-16;1.2358267595922171e-07;3.5590255792953072e-08;3.0909636607459899e-04;7.2533962671904376e-07;2.3718615137364681e-15;1.2358267595922171e-07
55000000;5.9289598464965820e-01;3.1129598617553711e-01;5.9494400024414062e-01;3.1436800956726074e-01;5.4988801479339600e-01;6.3999998569488525e-01;3.0924800038337708e-01;6.2156802415847778e-01;3.3484798669815063e-01;0.0000000000000000e+00;6.4177614640563774e-06;1.7580034996175526e-14;4.9574770945956379e-07;4.7874646919440530e-08;5.8344397667758343e-04;8.1758592974523063e-06;2.2405926955909984e-14;1.7250074485142412e-06
57000000;6.1440002918243408e-01;3.2153600454330444e-01;6.1644798517227173e-01;3.2563200592994690e-01;5.7139199972152710e-01;6.6662400960922241e-01;3.2153600454330444e-01;6.4102399349212646e-01;3.4815999865531921e-01;0.0000000000000000e+00;5.0130670865575784e-08;3.8625830512105228e-16;8.8116561493033291e-08;1.5568862775923517e-08;1.1161891611180959e-03;1.8992945313728754e-08;2.1887970623526295e-15;8.8116561493033291e-08
59000000;6.3488000631332397e-01;3.3075198531150818e-01;6.3897597789764404e-01;3.3587199449539185e-01;5.8982402086257935e-01;6.8915200233459473e-01;3.3177599310874939e-01;6.6355198621749878e-01;3.5942399501800537e-01;0.0000000000000000e+00;7.5978542705982243e-07;8.8291280522971767e-15;2.6602479897632573e-07;3.0231577873772345e-08;1.0391746772664149e-04;3.6477692459302505e-07;8.4612477167847942e-15;1.7473066832268159e-06
61000000;6.5638399124145508e-01;3.4406399726867676e-01;6.5945601463317871e-01;3.4815999865531921e-01;6.0927999019622803e-01;7.1065598726272583e-01;3.4201601147651672e-01;6.8505597114562988e-01;3.7171199917793274e-01;0.0000000000000000e+00;1.3952555115537887e-05;1.9272950650173051e-14;5.1654158290257344e-07;3.0255676050118416e-08;1.4465849848747138e-03;1.5260134455844661e-06;2.4130360976639432e-14;6.6117559022630135e-07
63000000;6.7788797616958618e-01;3.5532799363136292e-01;6.8198400735855103e-01;3.5839998722076416e-01;6.2873601913452148e-01;7.3215997219085693e-01;3.5225600004196167e-01;7.0860797166824341e-01;3.8502401113510132e-01;0.0000000000000000e+00;1.4002235078292717e-06;6.2893670732842790e-16;8.5470916246965053e-08;1.0564603335425123e-09;8.8724763678395258e-04;1.5300248097770311e-07;1.7610227805195983e-15;1.7939351516227021e-08
65000000;6.9939202070236206e-01;3.6659198999404907e-01;7.0348799228668213e-01;3.7068799138069153e-01;6.4614397287368774e-01;7.5571197271347046e-01;3.6659198999404907e-01;7.3113602399826050e-01;3.9423999190330505e-01;0.0000000000000000e+00;3.7116841090551400e-06;2.4889250868403633e-15;1.5698443965820644e-08;1.5698443965820644e-08;9.9621143171834152e-04;3.2897162728640877e-06;6.5498028601062193e-16;2.6561344682821411e-07
67000000;7.2089600563049316e-01;3.7785598635673523e-01;7.2499197721481323e-01;3.8195198774337769e-01;6.6457599401473999e-01;7.7619200944900513e-01;3.7683200836181641e-01;7.5366401672363281e-01;4.0755200386047363e-01;0.0000000000000000e+00;4.7333769709070123e-07;6.6550088698785671e-16;3.0463937546048067e-09;3.0463937546048067e-09;9.5015111558471757e-04;1.7833939469152928e-06;1.3310017739757134e-15;3.6033446188858434e-07
69000000;7.4137598276138306e-01;3.8809600472450256e-01;7.4444800615310669e-01;3.9219200611114502e-01;6.8300801515579224e-01;7.9872000217437744e-01;3.8707199692726135e-01;7.7516800165176392e-01;4.1881600022315979e-01;0.0000000000000000e+00;2.2929632286521175e-06;3.0439133112944770e-15;9.7569522565997347e-09;9.7569522565997347e-09;8.2267511190593540e-04;1.1787437862769318e-06;2.4904745274227539e-15;9.7569522565997347e-09
71000000;7.6288002729415894e-01;3.9833599328994751e-01;7.6492798328399658e-01;4.0140798687934875e-01;7.0348799228668213e-01;8.2227200269699097e-01;3.9731198549270630e-01;7.9769599437713623e-01;4.3110400438308716e-01;0.0000000000000000e+00;2.5585453937290878e-06;2.4862850235822274e-15;1.5738957611509622e-08;8.0970086046070212e-09;1.8092294407105059e-03;3.1306085829158871e-06;3.0190603857784189e-15;5.5632423157528973e-07
