Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
79000000;0.0000000000000000e+00;8.4730399722390397e-07;2.1288787889936914e-15;2.2184781079760394e-08;2.5179955168580233e-15;5.1055394114908111e-07
81000000;0.0000000000000000e+00;1.5975159484544550e-06;1.9867429102704960e-15;1.8782157250176852e-08;2.6544663489561566e-15;4.7411043490402989e-07
83000000;0.0000000000000000e+00;8.6146349278238734e-07;2.0844892763841348e-15;1.9253907459445902e-08;1.5779826200798585e-15;3.3369098020477877e-07
85000000;0.0000000000000000e+00;7.2144008128629122e-07;8.8647340351630722e-16;1.8508300175260159e-08;1.5038026698161370e-15;3.3654921337266658e-07
87000000;0.0000000000000000e+00;4.2445788907039997e-07;8.7287800047514794e-16;1.7198771670604045e-08;1.3585104416097854e-15;3.4005834513385553e-07
89000000;0.0000000000000000e+00;7.7993928563407471e-07;1.2464486681514743e-15;1.6901154803248305e-08;1.2030046508390101e-15;4.7041208384807700e-07
91000000;0.0000000000000000e+00;5.6985628280561384e-07;9.9204039252207092e-16;1.8645592254323141e-08;1.9525657145984766e-15;3.8269082227917074e-07
93000000;0.0000000000000000e+00;1.1556824635804012e-06;7.9296805777902789e-16;1.8578724678609255e-08;3.5993576494946547e-15;2.6578129988314274e-07
95000000;0.0000000000000000e+00;1.1354206004968921e-06;9.6255665109352334e-16;1.7087053949278701e-08;2.3714182135616187e-15;3.2247478400377056e-07
97000000;0.0000000000000000e+00;6.0568932073480160e-07;1.5666864725717383e-15;1.7088199829025164e-08;2.6486212552356531e-15;5.3821526930803094e-07
99000000;0.0000000000000000e+00;3.3083888195421023e-07;6.0761705687927616e-16;1.6862756550357419e-08;1.5865458901312539e-15;4.0560534116595099e-07
101000000;0.0000000000000000e+00;7.0264947071325536e-07;2.1633564046881775e-15;2.3533412130458250e-08;1.7844973077084326e-15;5.3585909439280727e-07
103000000;0.0000000000000000e+00;8.6353331022776969e-07;1.4145754226201637e-15;1.8306034398140762e-08;1.7783366495937440e-15;4.5463772375861356e-07
105000000;0.0000000000000000e+00;9.8094039871096728e-07;8.8577232896069229e-16;2.1187757471924942e-08;2.0925001498688349e-15;3.4283513364398972e-07
107000000;0.0000000000000000e+00;1.3718648504358685e-06;1.3976515619803060e-15;2.2017935130399503e-08;2.1516663136775429e-15;5.0061514896327310e-07
109000000;0.0000000000000000e+00;5.1366571927322763e-07;1.4464662456490044e-15;2.1963114791259688e-08;3.1100886049441899e-15;3.7187937797754382e-07
111000000;0.0000000000000000e+00;7.6470670518434087e-07;1.2207763138115080e-15;2.1721109852444305e-08;2.9261897366857527e-15;2.8053735044577572e-07
113000000;0.0000000000000000e+00;1.6778784504440244e-06;1.9072977071510486e-15;2.2674382067493641e-08;2.0741152786725143e-15;2.9380456944941244e-07
115000000;0.0000000000000000e+00;1.1561123734460902e-06;2.1042517996569693e-15;2.5504888735018627e-08;1.9827346037475852e-15;3.1750799477153618e-07
117000000;0.0000000000000000e+00;1.1073215516838962e-06;1.5360021121778954e-15;2.7882197355337813e-08;3.0647719657381852e-15;4.3041856986206583e-07
119000000;0.0000000000000000e+00;1.9176075758265764e-06;1.4207164491887319e-15;3.1242462493303178e-08;4.2627772884920016e-15;4.4119982577346523e-07
121000000;0.0000000000000000e+00;1.5061859645525602e-06;3.8994376086457843e-15;3.0691699006053421e-08;3.2242466537334815e-15;3.0658623609786417e-07
123000000;0.0000000000000000e+00;1.5304767744699515e-06;2.1143046875249016e-15;3.4432542466921983e-08;2.6121464346510055e-15;4.0294722411300445e-07
125000000;0.0000000000000000e+00;1.7125418545806334e-06;2.3887665271732792e-15;3.5159105135007590e-08;1.4704893177228170e-15;3.5839776676618691e-07
