Num rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;GEMV Acc<fp32, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
+9000;+3.4083199501037598e-01;+1.7580799758434296e-01;+3.4022399783134460e-01;+1.7875200510025024e-01;+1.7622399330139160e-01;+3.4188801050186157e-01;+1.8966400623321533e-01
+9100;+3.5433599352836609e-01;+1.7929600179195404e-01;+3.5385599732398987e-01;+1.8326400220394135e-01;+1.7881600558757782e-01;+3.4774398803710938e-01;+1.9011199474334717e-01
+9200;+3.6326399445533752e-01;+1.8521599471569061e-01;+3.6252799630165100e-01;+1.8880000710487366e-01;+1.8550400435924530e-01;+3.5788801312446594e-01;+1.9574399292469025e-01
+9300;+3.6368000507354736e-01;+1.8636800348758698e-01;+3.6329600214958191e-01;+1.8876799941062927e-01;+1.8643200397491455e-01;+3.6457601189613342e-01;+1.9679999351501465e-01
+9400;+3.6892798542976379e-01;+1.9046400487422943e-01;+3.6982399225234985e-01;+1.9356800615787506e-01;+1.9049599766731262e-01;+3.7308800220489502e-01;+2.0185600221157074e-01
+9500;+3.7644800543785095e-01;+1.9456000626087189e-01;+3.7612798810005188e-01;+1.9827200472354889e-01;+1.9472000002861023e-01;+3.7942400574684143e-01;+2.0479999482631683e-01
+9600;+3.8508799672126770e-01;+1.9747200608253479e-01;+3.8345599174499512e-01;+2.0198400318622589e-01;+1.9785599410533905e-01;+3.8767999410629272e-01;+2.0806400477886200e-01
+9700;+3.9308801293373108e-01;+2.0428800582885742e-01;+3.9344000816345215e-01;+2.0601600408554077e-01;+2.0367999374866486e-01;+3.9759999513626099e-01;+2.1231999993324280e-01
+9800;+4.0211200714111328e-01;+2.0675200223922729e-01;+4.0243199467658997e-01;+2.0777599513530731e-01;+2.0713600516319275e-01;+4.0243199467658997e-01;+2.1603199839591980e-01
+9900;+4.1091200709342957e-01;+2.1123200654983521e-01;+4.1161599755287170e-01;+2.1257600188255310e-01;+2.1113599836826324e-01;+4.1254401206970215e-01;+2.2009600698947906e-01
+10000;+4.1987198591232300e-01;+2.1465599536895752e-01;+4.1987198591232300e-01;+2.1775999665260315e-01;+2.1503999829292297e-01;+4.1907200217247009e-01;+2.2262400388717651e-01
+10100;+4.2671999335289001e-01;+2.1830399334430695e-01;+4.2611199617385864e-01;+2.2204799950122833e-01;+2.1823999285697937e-01;+4.2934399843215942e-01;+2.2144000232219696e-01
+10200;+4.5075199007987976e-01;+2.2838400304317474e-01;+4.5123198628425598e-01;+2.3094399273395538e-01;+2.2812800109386444e-01;+4.3727999925613403e-01;+2.2595199942588806e-01
+10300;+4.4086399674415588e-01;+2.2700800001621246e-01;+4.4243198633193970e-01;+2.2988800704479218e-01;+2.2780799865722656e-01;+4.4553598761558533e-01;+2.2988800704479218e-01
+10400;+4.5222398638725281e-01;+2.3219199478626251e-01;+4.5046401023864746e-01;+2.3411199450492859e-01;+2.3155200481414795e-01;+4.5545598864555359e-01;+2.3545600473880768e-01
+10500;+4.6089598536491394e-01;+2.3699200153350830e-01;+4.6051201224327087e-01;+2.3999999463558197e-01;+2.3606400191783905e-01;+4.6230399608612061e-01;+2.3820799589157104e-01
+10600;+4.6979200839996338e-01;+2.4076800048351288e-01;+4.6944001317024231e-01;+2.4396799504756927e-01;+2.4025599658489227e-01;+4.7094398736953735e-01;+2.4512000381946564e-01
+10700;+4.9449598789215088e-01;+2.4751999974250793e-01;+4.9500799179077148e-01;+2.4928000569343567e-01;+2.4787199497222900e-01;+4.8159998655319214e-01;+2.4915200471878052e-01
+10800;+4.8960000276565552e-01;+2.4956800043582916e-01;+4.9046400189399719e-01;+2.5132799148559570e-01;+2.4959999322891235e-01;+4.8937600851058960e-01;+2.5260800123214722e-01
+10900;+4.9862399697303772e-01;+2.5340801477432251e-01;+4.9977600574493408e-01;+2.5631999969482422e-01;+2.5337600708007812e-01;+4.9680000543594360e-01;+2.5510400533676147e-01
+11000;+5.0448000431060791e-01;+2.5727999210357666e-01;+5.0345599651336670e-01;+2.6083201169967651e-01;+2.5734400749206543e-01;+5.0889599323272705e-01;+2.6028800010681152e-01
+11100;+5.1401597261428833e-01;+2.6297599077224731e-01;+5.1311999559402466e-01;+2.6659199595451355e-01;+2.6291200518608093e-01;+5.1535999774932861e-01;+2.6780799031257629e-01
+11200;+5.2208000421524048e-01;+2.7020800113677979e-01;+5.2124798297882080e-01;+2.7155199646949768e-01;+2.7024000883102417e-01;+5.2403199672698975e-01;+2.7209600806236267e-01
+11300;+5.3356802463531494e-01;+2.7244800329208374e-01;+5.3388798236846924e-01;+2.7558401226997375e-01;+2.7347201108932495e-01;+5.3190398216247559e-01;+2.7417600154876709e-01
+11400;+5.4416000843048096e-01;+2.7702400088310242e-01;+5.4412800073623657e-01;+2.7871999144554138e-01;+2.7708798646926880e-01;+5.4224002361297607e-01;+2.7804800868034363e-01
+11500;+5.5161601305007935e-01;+2.8108799457550049e-01;+5.4927998781204224e-01;+2.8534400463104248e-01;+2.8131198883056641e-01;+5.5440002679824829e-01;+2.8505599498748779e-01
+11600;+5.6352001428604126e-01;+2.8713598847389221e-01;+5.6291198730468750e-01;+2.9120001196861267e-01;+2.8678399324417114e-01;+5.6054401397705078e-01;+2.9129600524902344e-01
+11700;+5.8860802650451660e-01;+2.9644799232482910e-01;+5.8777600526809692e-01;+2.9875200986862183e-01;+2.9619199037551880e-01;+5.7270401716232300e-01;+2.9648000001907349e-01
+11800;+5.7980799674987793e-01;+2.9590401053428650e-01;+5.7868802547454834e-01;+2.9881599545478821e-01;+2.9558399319648743e-01;+5.7894402742385864e-01;+3.0063998699188232e-01
+11900;+5.8553600311279297e-01;+2.9955199360847473e-01;+5.8659201860427856e-01;+3.0284801125526428e-01;+2.9958400130271912e-01;+5.8937597274780273e-01;+3.0492800474166870e-01
+12000;+5.9641599655151367e-01;+3.0502399802207947e-01;+5.9388798475265503e-01;+3.0844798684120178e-01;+3.0598399043083191e-01;+5.9971201419830322e-01;+3.0892801284790039e-01
