Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
+1600;+0.0000000000000000e+00;+3.1807025419438002e-06;+0.0000000000000000e+00;+8.5977707314955358e-07;+3.1807025419438002e-06;+8.4256858331147706e-15;+3.6225102698672168e-06
+1700;+0.0000000000000000e+00;+3.3206106986833130e-06;+0.0000000000000000e+00;+8.4923324550751552e-07;+3.3206106986833130e-06;+8.9168270134754355e-15;+3.3269153847547290e-06
+1800;+0.0000000000000000e+00;+3.8472827286296780e-06;+0.0000000000000000e+00;+8.8705964139437819e-07;+3.8472827286296780e-06;+1.1352677593926228e-14;+4.0174017011638712e-06
+1900;+0.0000000000000000e+00;+3.7674745564345202e-06;+0.0000000000000000e+00;+9.5714027965420654e-07;+3.7674745564345202e-06;+1.0254972101199777e-14;+4.2206374911331379e-06
+2000;+0.0000000000000000e+00;+4.4573117108147356e-06;+0.0000000000000000e+00;+1.0561691636756517e-06;+4.4573117108147356e-06;+1.2111344190722200e-14;+4.5996643244918796e-06
+2100;+0.0000000000000000e+00;+4.2668890757007275e-06;+0.0000000000000000e+00;+1.1018130324309657e-06;+4.2668890757007275e-06;+1.1783478177677317e-14;+4.7726149803836479e-06
+2200;+0.0000000000000000e+00;+5.3340022457109695e-06;+0.0000000000000000e+00;+1.1055698445738383e-06;+5.3340022457109695e-06;+1.3549218938883385e-14;+5.3290830157101544e-06
+2300;+0.0000000000000000e+00;+4.5661377474290874e-06;+0.0000000000000000e+00;+1.1650676172877738e-06;+4.5661377474290874e-06;+1.3190312937498303e-14;+5.0508837470294757e-06
+2400;+0.0000000000000000e+00;+4.9739388257228465e-06;+0.0000000000000000e+00;+1.2746544519785777e-06;+4.9739388257228465e-06;+1.3770054157675258e-14;+5.6598958556684688e-06
+2500;+0.0000000000000000e+00;+5.9146422810123290e-06;+0.0000000000000000e+00;+1.3198056811809633e-06;+5.9146422810123290e-06;+1.5024193769112821e-14;+5.6617643809433352e-06
+2600;+0.0000000000000000e+00;+5.7392293223337101e-06;+0.0000000000000000e+00;+1.3446599569279219e-06;+5.7392293223337101e-06;+1.6424450163616092e-14;+5.7435593238603122e-06
+2700;+0.0000000000000000e+00;+6.4850465511598332e-06;+0.0000000000000000e+00;+1.4180701153249436e-06;+6.4850465511598332e-06;+1.6821531231470710e-14;+6.2175478686292021e-06
+2800;+0.0000000000000000e+00;+7.3475392939373365e-06;+0.0000000000000000e+00;+1.4798768519846817e-06;+7.3475392939373365e-06;+1.7329663075430979e-14;+7.1212361259586746e-06
+2900;+0.0000000000000000e+00;+6.7591954652172771e-06;+0.0000000000000000e+00;+1.4818470189314343e-06;+6.7591954652172771e-06;+1.8332922596794022e-14;+7.2644365785703426e-06
+3000;+0.0000000000000000e+00;+6.8353815130618944e-06;+0.0000000000000000e+00;+1.4722231610074015e-06;+6.8353815130618944e-06;+1.8005665622455236e-14;+7.3480687363143027e-06
+3100;+0.0000000000000000e+00;+7.4638989144731339e-06;+0.0000000000000000e+00;+1.4981649886911215e-06;+7.4638989144731339e-06;+1.8662669348551831e-14;+7.5733094123404461e-06
+3200;+0.0000000000000000e+00;+7.9653795466641925e-06;+0.0000000000000000e+00;+1.5818093818406163e-06;+7.9653795466641925e-06;+2.2010708613668120e-14;+8.0799821431859812e-06
+3300;+0.0000000000000000e+00;+7.6209684785103329e-06;+0.0000000000000000e+00;+1.5867982606369938e-06;+7.6209684785103329e-06;+1.9641844128016059e-14;+7.7496605558410383e-06
+3400;+0.0000000000000000e+00;+7.8845028525390266e-06;+0.0000000000000000e+00;+1.7028731787899611e-06;+7.8845028525390266e-06;+2.0958535954870266e-14;+8.6264591613527739e-06
+3500;+0.0000000000000000e+00;+8.9589893343945265e-06;+0.0000000000000000e+00;+1.8288255697363542e-06;+8.9589893343945265e-06;+2.2516231739783043e-14;+8.8546408584835445e-06
+3600;+0.0000000000000000e+00;+8.8370195169245520e-06;+0.0000000000000000e+00;+1.9132407790309569e-06;+8.8370195169245520e-06;+2.2814538492259305e-14;+9.0129938514848211e-06
+3700;+0.0000000000000000e+00;+9.2727248285444296e-06;+0.0000000000000000e+00;+1.9786129768934542e-06;+9.2727248285444296e-06;+2.3897400169895252e-14;+9.5483395627605736e-06
+3800;+0.0000000000000000e+00;+9.3608490637630895e-06;+0.0000000000000000e+00;+2.0419593248146110e-06;+9.3608490637630895e-06;+2.5256398264594205e-14;+9.9542621885735525e-06
+3900;+0.0000000000000000e+00;+9.9329067928787860e-06;+0.0000000000000000e+00;+2.0110300137533187e-06;+9.9329067928787860e-06;+2.4293837831656265e-14;+9.6658132719536924e-06
+4000;+0.0000000000000000e+00;+1.0528360848806947e-05;+0.0000000000000000e+00;+2.1040158642152472e-06;+1.0528360848806947e-05;+2.7007100268458840e-14;+1.1289565558758955e-05
+4100;+0.0000000000000000e+00;+1.0336507823335038e-05;+0.0000000000000000e+00;+2.1282350350830922e-06;+1.0336507823335038e-05;+2.8775286705551275e-14;+1.0456982836017764e-05
+4200;+0.0000000000000000e+00;+1.0854620379403622e-05;+0.0000000000000000e+00;+2.1298136695139248e-06;+1.0854620379403622e-05;+2.8635394006324438e-14;+1.2216149281742353e-05
+4300;+0.0000000000000000e+00;+1.1234703067219851e-05;+0.0000000000000000e+00;+2.2407368322848231e-06;+1.1234703067219851e-05;+2.7370292038942979e-14;+1.1865068203503091e-05
+4400;+0.0000000000000000e+00;+1.2069700967529431e-05;+0.0000000000000000e+00;+2.3010560914417513e-06;+1.2069700967529431e-05;+3.2406917128783869e-14;+1.2467439902602553e-05
+4500;+0.0000000000000000e+00;+1.1612121550502741e-05;+0.0000000000000000e+00;+2.3762630256028681e-06;+1.1612121550502741e-05;+3.0592767759890316e-14;+1.1924214093291885e-05
+4600;+0.0000000000000000e+00;+1.2430224210582651e-05;+0.0000000000000000e+00;+2.3474738562418559e-06;+1.2430224210582651e-05;+3.3232344100273386e-14;+1.3325625578978075e-05
+4700;+0.0000000000000000e+00;+1.3336289482247585e-05;+0.0000000000000000e+00;+2.4170389250226534e-06;+1.3336289482247585e-05;+3.3785582182284804e-14;+1.3897412571008857e-05
+4800;+0.0000000000000000e+00;+1.2940188714866157e-05;+0.0000000000000000e+00;+2.4638066884201022e-06;+1.2940188714866157e-05;+3.7291085715904838e-14;+1.3393479653921350e-05
+4900;+0.0000000000000000e+00;+1.4607602253522244e-05;+0.0000000000000000e+00;+2.5446237394184656e-06;+1.4607602253522244e-05;+3.3970119682975795e-14;+1.3324514881694444e-05
+5000;+0.0000000000000000e+00;+1.4477262070297347e-05;+0.0000000000000000e+00;+2.5911072253447271e-06;+1.4477262070297347e-05;+3.9459850652295620e-14;+1.4511707997128888e-05
+5100;+0.0000000000000000e+00;+1.4517040315630952e-05;+0.0000000000000000e+00;+2.7350323720152201e-06;+1.4517040315630952e-05;+3.8361367684651477e-14;+1.4895313492566198e-05
+5200;+0.0000000000000000e+00;+1.5341346133642610e-05;+0.0000000000000000e+00;+2.8490406424228761e-06;+1.5341346133642610e-05;+3.9832243483501443e-14;+1.7263842223462423e-05
+5300;+0.0000000000000000e+00;+1.5373060351998623e-05;+0.0000000000000000e+00;+2.8857518788575130e-06;+1.5373060351998623e-05;+3.9936798959822008e-14;+1.5197476193378217e-05
+5400;+0.0000000000000000e+00;+1.6482225174662261e-05;+0.0000000000000000e+00;+2.9611951230694761e-06;+1.6482225174662261e-05;+4.4242587898821442e-14;+1.6318025786610442e-05
