Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
1000;+0.0000000000000000e+00;+1.7197811434701151e-06;+0.0000000000000000e+00;+5.8468402302012778e-07;+1.7197811434701151e-06;+4.9554894562871280e-15;+2.1187091306736153e-06
1050;+0.0000000000000000e+00;+2.2919521210851934e-06;+0.0000000000000000e+00;+6.1570221980152726e-07;+2.2919521210851934e-06;+5.7730404220573638e-15;+2.1464101583900855e-06
1100;+0.0000000000000000e+00;+2.1148391417705959e-06;+0.0000000000000000e+00;+6.0840247017742633e-07;+2.1148391417705959e-06;+5.6573501915708480e-15;+2.4445827083826838e-06
1150;+0.0000000000000000e+00;+2.2440287504244231e-06;+0.0000000000000000e+00;+6.4360842738369040e-07;+2.2440287504244231e-06;+6.3815771982797669e-15;+2.7163227237294899e-06
1200;+0.0000000000000000e+00;+2.5414051150661901e-06;+0.0000000000000000e+00;+6.7898083161431880e-07;+2.5414051150661901e-06;+6.4990006379478359e-15;+2.5551266492527499e-06
1250;+0.0000000000000000e+00;+2.7223756833625178e-06;+0.0000000000000000e+00;+6.8340425703956520e-07;+2.7223756833625178e-06;+6.2246219371832161e-15;+2.5065316559348950e-06
1300;+0.0000000000000000e+00;+2.3215009456732816e-06;+0.0000000000000000e+00;+7.1570309009730383e-07;+2.3215009456732816e-06;+7.5565353977905982e-15;+2.6817002856207699e-06
1350;+0.0000000000000000e+00;+2.8137111387501987e-06;+0.0000000000000000e+00;+7.5280559226919880e-07;+2.8137111387501987e-06;+6.3642609673552748e-15;+2.6527385079655240e-06
1400;+0.0000000000000000e+00;+2.9180956554022230e-06;+0.0000000000000000e+00;+7.8607086062345547e-07;+2.9180956554022230e-06;+8.3189169322734644e-15;+3.3986300366140884e-06
1450;+0.0000000000000000e+00;+2.7707388568908105e-06;+0.0000000000000000e+00;+8.4401870940161219e-07;+2.7707388568908105e-06;+7.6261973463080044e-15;+2.9291980749706128e-06
1500;+0.0000000000000000e+00;+2.8049582167931747e-06;+0.0000000000000000e+00;+8.5209439279972399e-07;+2.8049582167931747e-06;+8.4268115057912881e-15;+3.5509573927755878e-06
1550;+0.0000000000000000e+00;+3.5138179450781980e-06;+0.0000000000000000e+00;+8.7982021277406029e-07;+3.5138179450781980e-06;+8.4630573653193534e-15;+3.3389140640719797e-06
1600;+0.0000000000000000e+00;+3.3402624737528583e-06;+0.0000000000000000e+00;+9.4626627481883850e-07;+3.3402624737528583e-06;+8.7830079146765957e-15;+3.3494874249619080e-06
1650;+0.0000000000000000e+00;+3.4461946490230962e-06;+0.0000000000000000e+00;+9.6877872462232850e-07;+3.4461946490230962e-06;+9.5278668044967002e-15;+3.8830785294007055e-06
1700;+0.0000000000000000e+00;+3.3910555141607548e-06;+0.0000000000000000e+00;+1.0096422623679511e-06;+3.3910555141607548e-06;+9.7418611259024189e-15;+3.8731892346390577e-06
1750;+0.0000000000000000e+00;+3.6995018416800384e-06;+0.0000000000000000e+00;+1.0071630969214848e-06;+3.6995018416800384e-06;+9.2059932902650949e-15;+4.0735971557686547e-06
1800;+0.0000000000000000e+00;+3.6772882895337643e-06;+0.0000000000000000e+00;+9.9784029001128654e-07;+3.6772882895337643e-06;+9.6705605704151994e-15;+4.3330843277528510e-06
1850;+0.0000000000000000e+00;+3.9639346524760725e-06;+0.0000000000000000e+00;+9.9499334063048896e-07;+3.9639346524760725e-06;+1.0247716001148671e-14;+4.4090924245385532e-06
1900;+0.0000000000000000e+00;+4.0835845968847333e-06;+0.0000000000000000e+00;+1.0214231201850548e-06;+4.0835845968847333e-06;+1.0674434667502099e-14;+4.0202504442424823e-06
1950;+0.0000000000000000e+00;+3.9602172023225655e-06;+0.0000000000000000e+00;+1.0259748880193725e-06;+3.9602172023225655e-06;+1.0866582753853360e-14;+4.6267499127482188e-06
2000;+0.0000000000000000e+00;+4.4454032143892911e-06;+0.0000000000000000e+00;+1.1361623922814980e-06;+4.4454032143892911e-06;+1.0971649729133497e-14;+4.3756093640791770e-06
2050;+0.0000000000000000e+00;+4.1301186273979636e-06;+0.0000000000000000e+00;+1.1809018358282771e-06;+4.1301186273979636e-06;+1.2048362495977686e-14;+4.5108140252995638e-06
2100;+0.0000000000000000e+00;+4.8974384788417847e-06;+0.0000000000000000e+00;+1.1332569491710524e-06;+4.8974384788417847e-06;+1.1197115780754862e-14;+5.1473417880285198e-06
2150;+0.0000000000000000e+00;+4.8145501498257359e-06;+0.0000000000000000e+00;+1.2108494704176230e-06;+4.8145501498257359e-06;+1.2208907661567675e-14;+5.7620980109473958e-06
2200;+0.0000000000000000e+00;+5.1259991649360871e-06;+0.0000000000000000e+00;+1.2244976452729190e-06;+5.1259991649360871e-06;+1.3457034984568463e-14;+5.3976432061984912e-06
2250;+0.0000000000000000e+00;+5.6496145278340928e-06;+0.0000000000000000e+00;+1.1947229774109325e-06;+5.6496145278340928e-06;+1.4230317237977351e-14;+5.2112206397266164e-06
2300;+0.0000000000000000e+00;+5.5509508926217459e-06;+0.0000000000000000e+00;+1.2421660155430294e-06;+5.5509508926217459e-06;+1.2884807475003680e-14;+5.0357827162953135e-06
2350;+0.0000000000000000e+00;+5.0949441652859635e-06;+0.0000000000000000e+00;+1.2410356597415525e-06;+5.0949441652859635e-06;+1.3417555214862371e-14;+5.5207876783217210e-06
2400;+0.0000000000000000e+00;+5.1720550937017969e-06;+0.0000000000000000e+00;+1.2458732072655509e-06;+5.1720550937017969e-06;+1.2988284370871600e-14;+6.0395152118395119e-06
2450;+0.0000000000000000e+00;+5.5732930685737279e-06;+0.0000000000000000e+00;+1.3664341734532011e-06;+5.5732930685737279e-06;+1.4294108112293741e-14;+6.2686129768965751e-06
2500;+0.0000000000000000e+00;+5.8743937519936704e-06;+0.0000000000000000e+00;+1.3662489760671112e-06;+5.8743937519936704e-06;+1.5264182706198115e-14;+6.3376458902881042e-06
2550;+0.0000000000000000e+00;+6.5938766993580992e-06;+0.0000000000000000e+00;+1.4550007419850465e-06;+6.5938766993580992e-06;+1.5439167837245462e-14;+6.2058073970070935e-06
2600;+0.0000000000000000e+00;+6.7095182452207875e-06;+0.0000000000000000e+00;+1.4912524866039453e-06;+6.7095182452207875e-06;+1.4792427536072688e-14;+6.7154309185522390e-06
2650;+0.0000000000000000e+00;+6.1714484137940528e-06;+0.0000000000000000e+00;+1.4992197155101546e-06;+6.1714484137940528e-06;+1.7095436235892943e-14;+6.6408395349296115e-06
2700;+0.0000000000000000e+00;+5.9607736510425913e-06;+0.0000000000000000e+00;+1.4956061143380090e-06;+5.9607736510425913e-06;+1.6298946738455247e-14;+7.0908325082109202e-06
2750;+0.0000000000000000e+00;+6.4569811699639522e-06;+0.0000000000000000e+00;+1.5051223900369060e-06;+6.4569811699639522e-06;+1.7855514453610683e-14;+6.6356723708912398e-06
