Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
85000000;1.5351359844207764e+00;7.8265601396560669e-01;1.5357760190963745e+00;7.8876799345016479e-01;7.8470402956008911e-01;1.5398720502853394e+00;7.9123198986053467e-01;0.0000000000000000e+00;7.7293976799505724e-07;1.7531759303783994e-16;1.9956439484097416e-08;6.7881685193118726e-07;2.1038111164540793e-15;1.1407935554796740e-07
87000000;1.5709439516067505e+00;7.9990398883819580e-01;1.5690560340881348e+00;8.0726397037506104e-01;8.0451202392578125e-01;1.5784319639205933e+00;8.1017601490020752e-01;0.0000000000000000e+00;8.2123353567044856e-07;3.4257158748278885e-16;6.3917070168282421e-09;7.2927517537186228e-07;2.5692869061209163e-15;9.8350067315414551e-08
89000000;1.6077760457992554e+00;8.1865602731704712e-01;1.6066240072250366e+00;8.2537597417831421e-01;8.2204800844192505e-01;1.6136000156402588e+00;8.2646399736404419e-01;0.0000000000000000e+00;4.4681842256454621e-07;0.0000000000000000e+00;2.6364638791195793e-09;5.3670939985327938e-07;6.6973997122595573e-16;2.6364638791195793e-09
91000000;1.6412800550460815e+00;8.3715200424194336e-01;1.6416640281677246e+00;8.4281599521636963e-01;8.3948802947998047e-01;1.6463999748229980e+00;8.4832000732421875e-01;0.0000000000000000e+00;4.1893534125570475e-07;4.9126785607800277e-16;2.0643695292432045e-08;6.8268276318458689e-07;1.6375595202600092e-15;2.0643695292432045e-08
93000000;1.6788799762725830e+00;8.5456001758575439e-01;1.6782399415969849e+00;8.6198401451110840e-01;8.5875201225280762e-01;1.6839040517807007e+00;8.6444801092147827e-01;0.0000000000000000e+00;1.1227559546915384e-06;1.6023494083032094e-16;4.4247300596125947e-09;1.1227559546915384e-06;3.2046988166064187e-16;8.1600748758227846e-08
95000000;1.7139840126037598e+00;8.7283200025558472e-01;1.7142080068588257e+00;8.7881600856781006e-01;8.7616002559661865e-01;1.7199360132217407e+00;8.8342398405075073e-01;0.0000000000000000e+00;6.7367424933645163e-07;7.8430790154188485e-16;4.1108086905095121e-11;1.0105319280481300e-06;0.0000000000000000e+00;4.1108086905095121e-11
97000000;1.7510399818420410e+00;8.9171200990676880e-01;1.7516160011291504e+00;8.9692801237106323e-01;8.9369601011276245e-01;1.7557760477066040e+00;9.0521597862243652e-01;0.0000000000000000e+00;3.0786052050866815e-08;1.5362581076758731e-16;3.0786052050866815e-08;1.1326328118440083e-07;1.5362581076758731e-16;3.0786052050866815e-08
99000000;1.7861759662628174e+00;9.0947198867797852e-01;1.7836799621582031e+00;9.1545599699020386e-01;9.1171199083328247e-01;1.7923840284347534e+00;9.2096000909805298e-01;0.0000000000000000e+00;4.7149947232842453e-07;3.0104942484937819e-16;1.3374565499458841e-08;3.9068713269044396e-07;4.5157413727406728e-16;6.7437774138521716e-08
101000000;1.8211840391159058e+00;9.2822402715682983e-01;1.8213119506835938e+00;9.3334400653839111e-01;9.3030399084091187e-01;1.8272320032119751e+00;9.3865597248077393e-01;0.0000000000000000e+00;6.3138397705078546e-07;2.9508563390033261e-16;2.3075965098932860e-09;3.9374963696553094e-07;7.3771408475083154e-16;2.3075965098932860e-09
103000000;1.8545919656753540e+00;9.4515198469161987e-01;1.8561600446701050e+00;9.5033597946166992e-01;9.4822400808334351e-01;1.8608319759368896e+00;9.6102398633956909e-01;0.0000000000000000e+00;2.9773004599480778e-08;1.4467927084283220e-16;2.9773004599480778e-08;1.8512118876925343e-07;0.0000000000000000e+00;2.9773004599480778e-08
105000000;1.8921600580215454e+00;9.6374398469924927e-01;1.8921279907226562e+00;9.6902400255203247e-01;9.6623998880386353e-01;1.9005759954452515e+00;9.7763198614120483e-01;0.0000000000000000e+00;3.6852447113455154e-07;2.8384883138280713e-16;1.2450981302003163e-08;2.9232938064724058e-07;1.2773197412226321e-15;1.2450981302003163e-08
107000000;1.9283519983291626e+00;9.8118400573730469e-01;1.9272960424423218e+00;9.8681598901748657e-01;9.8383998870849609e-01;1.9359680414199829e+00;9.9689602851867676e-01;0.0000000000000000e+00;1.2401299353450328e-06;1.3926779538146010e-16;3.0940146072422890e-08;1.3896675919823804e-06;2.9246237030106619e-15;3.0940146072422890e-08
109000000;1.9639040231704712e+00;9.9984002113342285e-01;1.9636160135269165e+00;1.0043519735336304e+00;1.0024640560150146e+00;1.9721920490264893e+00;1.0109440088272095e+00;0.0000000000000000e+00;3.8874972083261706e-07;0.0000000000000000e+00;2.1759582356805787e-08;4.6214774852777927e-07;9.5700136174659378e-16;2.1759582356805787e-08
111000000;1.9996800422668457e+00;1.0173759460449219e+00;2.0005118846893311e+00;1.0237760543823242e+00;1.0194560289382935e+00;2.0090880393981934e+00;1.0274560451507568e+00;0.0000000000000000e+00;3.3585986317695849e-08;0.0000000000000000e+00;3.3585986317695849e-08;3.3585986317695849e-08;1.6109936483552056e-15;1.1056328521874857e-07
113000000;2.0345599651336670e+00;1.0357760190963745e+00;2.0352001190185547e+00;1.0424319505691528e+00;1.0396800041198730e+00;2.0432960987091064e+00;1.0522880554199219e+00;0.0000000000000000e+00;7.9439044259254637e-07;0.0000000000000000e+00;1.5602572678700134e-08;9.3598823712233656e-07;7.9123933536814643e-16;8.6401469943595247e-08
115000000;2.0706241130828857e+00;1.0549119710922241e+00;2.0711679458618164e+00;1.0609920024871826e+00;1.0584000349044800e+00;2.0788478851318359e+00;1.0692479610443115e+00;0.0000000000000000e+00;4.1771340100713673e-07;3.8873319164832025e-16;3.1431475732781855e-10;6.2641294413204121e-07;1.6845104971427211e-15;3.1431475732781855e-10
117000000;2.1073279380798340e+00;1.0741440057754517e+00;2.1074879169464111e+00;1.0804480314254761e+00;1.0759999752044678e+00;2.1148800849914551e+00;1.0848959684371948e+00;0.0000000000000000e+00;1.0934898537035964e-08;1.2736167438205999e-16;1.0934898537035964e-08;2.8444201165441031e-07;3.8208502314618000e-16;1.0934898537035964e-08
119000000;2.1431040763854980e+00;1.0913280248641968e+00;2.1433279514312744e+00;1.0976959466934204e+00;1.0941760540008545e+00;2.1486399173736572e+00;1.1063040494918823e+00;0.0000000000000000e+00;6.8105369457775141e-07;1.2522176242934636e-16;8.7744766008461820e-09;4.7936992918467986e-07;1.1269958618641173e-15;8.7744766008461820e-09
121000000;2.1783359050750732e+00;1.1097279787063599e+00;2.1787199974060059e+00;1.1155200004577637e+00;1.1125760078430176e+00;2.1853439807891846e+00;1.1225919723510742e+00;0.0000000000000000e+00;6.5973341680179800e-07;0.0000000000000000e+00;1.4406573995582335e-09;7.9196823164206924e-07;9.8522614568674004e-16;1.4406573995582335e-09
123000000;2.2135360240936279e+00;1.1275520324707031e+00;2.2153279781341553e+00;1.1343040466308594e+00;1.1289600133895874e+00;2.2211520671844482e+00;1.1394560337066650e+00;0.0000000000000000e+00;3.5632625594183026e-07;4.8460351424917549e-16;3.1114342625130438e-08;1.6119910795181037e-07;3.7556772354311101e-15;3.1114342625130438e-08
125000000;2.2498559951782227e+00;1.1454399824142456e+00;2.2483520507812500e+00;1.1527359485626221e+00;1.1482880115509033e+00;2.2596800327301025e+00;1.1599680185317993e+00;0.0000000000000000e+00;4.0129313274831231e-07;1.1921214507309127e-16;1.7283934467111423e-08;1.4528700056084505e-07;2.1458186113156430e-15;1.7283934467111423e-08
127000000;2.2856640815734863e+00;1.1645120382308960e+00;2.2856640815734863e+00;1.1687040328979492e+00;1.1666879653930664e+00;2.2911679744720459e+00;1.1798399686813354e+00;0.0000000000000000e+00;2.1399776061939796e-07;4.6933744314807913e-16;2.5017544765404924e-08;4.0297797647339098e-07;7.0400616472211859e-16;2.5017544765404924e-08
129000000;2.3218879699707031e+00;1.1800320148468018e+00;2.3208000659942627e+00;1.1875200271606445e+00;1.1842559576034546e+00;2.3297278881072998e+00;1.1969599723815918e+00;0.0000000000000000e+00;9.3673558201354890e-07;0.0000000000000000e+00;6.4721653409635173e-09;8.1270045979053759e-07;6.9310025622888310e-16;6.4721653409635173e-09
131000000;2.3575999736785889e+00;1.1995520591735840e+00;2.3563520908355713e+00;1.2044800519943237e+00;1.2000639438629150e+00;2.3646399974822998e+00;1.2167680263519287e+00;0.0000000000000000e+00;1.5906831431380292e-07;0.0000000000000000e+00;2.4142126899456947e-08;2.2013846138488953e-07;1.4787761716621483e-15;3.6928020171629672e-08
133000000;2.3934400081634521e+00;1.2164160013198853e+00;2.3963201045989990e+00;1.2213120460510254e+00;1.2192640304565430e+00;2.4012479782104492e+00;1.2356480360031128e+00;0.0000000000000000e+00;9.5842803078277008e-08;0.0000000000000000e+00;2.4461231153848047e-08;9.5842803078277008e-08;2.0167535321584446e-15;9.5842803078277008e-08
135000000;2.4290239810943604e+00;1.2364799976348877e+00;2.4318718910217285e+00;1.2407040596008301e+00;1.2379200458526611e+00;2.4383039474487305e+00;1.2498879432678223e+00;0.0000000000000000e+00;9.0913480506518199e-07;0.0000000000000000e+00;3.9043497054278074e-08;9.0913480506518199e-07;6.6229489314332146e-16;3.9043497054278074e-08
137000000;2.4651200771331787e+00;1.2525440454483032e+00;2.4672319889068604e+00;1.2582720518112183e+00;1.2563519477844238e+00;2.4711039066314697e+00;1.2710399627685547e+00;0.0000000000000000e+00;4.3477173575602817e-07;0.0000000000000000e+00;3.2392093988499298e-08;6.6835365062829191e-07;2.6104813241094024e-15;8.4398863447632567e-08
139000000;2.5005440711975098e+00;1.2722560167312622e+00;2.5022079944610596e+00;1.2770559787750244e+00;1.2738879919052124e+00;2.5082879066467285e+00;1.2886719703674316e+00;0.0000000000000000e+00;8.1769361281299020e-07;2.1440709994831595e-16;1.1931065793297449e-08;1.1630204186785728e-06;8.5762839979326380e-16;1.1931065793297449e-08
141000000;2.5365118980407715e+00;1.2912319898605347e+00;2.5370879173278809e+00;1.2954560518264771e+00;1.2935039997100830e+00;2.5458879470825195e+00;1.3109120130538940e+00;0.0000000000000000e+00;3.4182011569955024e-07;4.2273363815142832e-16;1.3900249283972209e-09;4.5529681262326790e-07;8.4546727630285665e-16;1.1208667199532044e-07
143000000;2.5730559825897217e+00;1.3095999956130981e+00;2.5719039440155029e+00;1.3159359693527222e+00;1.3142399787902832e+00;2.5785920619964600e+00;1.3247679471969604e+00;0.0000000000000000e+00;1.0831144490273139e-07;0.0000000000000000e+00;3.5788457254549011e-09;3.5788457254549011e-09;1.0420595354231660e-15;3.5788457254549011e-09
