Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
41000000;0.0000000000000000e+00;7.2062455678331602e-07;1.0936229061029219e-15;4.9498734697838443e-08;8.4693637254335671e-07;1.2589675841963737e-15;2.2413839440685564e-07
43000000;0.0000000000000000e+00;6.4345941177822994e-07;5.1342370120312874e-16;2.6533184837735182e-08;5.6642440042285630e-07;4.9656053685608531e-16;9.1653438754372818e-08
45000000;0.0000000000000000e+00;4.3566801900779138e-07;6.8776655129083111e-16;4.0068144196106886e-08;5.1055776889173028e-07;8.3776468030106125e-16;1.4288967667587466e-07
47000000;0.0000000000000000e+00;1.0375690835176151e-06;1.0901234184161939e-15;2.4849414238161355e-08;8.6767648949994248e-07;9.2449874885694663e-16;3.2232669432673526e-07
49000000;0.0000000000000000e+00;8.4970265892578372e-07;1.4775717302531263e-15;4.1606252725981215e-08;1.0982778742265747e-06;1.4497674074569664e-15;2.0109755291697440e-07
51000000;0.0000000000000000e+00;3.3208455977564169e-07;1.0787423289682751e-15;2.4053440354805057e-08;7.6891051258913045e-07;2.2785843946029991e-15;2.2872958725478158e-07
53000000;0.0000000000000000e+00;9.1477115233437883e-07;6.7105440274540588e-16;3.9367996456983497e-08;5.5879955125553217e-07;1.5892281473028245e-15;1.4272293018755820e-07
55000000;0.0000000000000000e+00;7.2449789414222170e-07;1.5070463099965872e-15;3.4268045386329587e-08;1.5283921829549541e-06;2.0636063245407176e-15;2.8421606534993287e-07
57000000;0.0000000000000000e+00;5.5835540612268048e-07;1.1256620188612527e-15;1.7505934959819246e-08;7.1015289338097192e-07;1.8272243257417195e-15;3.3470364119779408e-07
59000000;0.0000000000000000e+00;4.5092616155189895e-07;3.9293810090914545e-15;3.8689853382541434e-08;1.0297984201241359e-06;1.6360018044128806e-15;4.0404271022764910e-07
61000000;0.0000000000000000e+00;1.2380518104773860e-06;2.5447356715286641e-15;2.0269982831155361e-08;9.7256370395005625e-07;1.8682805089579147e-15;4.9880776752206294e-07
63000000;0.0000000000000000e+00;1.0022935918066907e-06;1.6427518207615180e-15;4.5215510436241485e-08;2.1514916535658898e-06;1.5372133378710740e-15;8.6752362548558853e-07
