Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
21000000;7.8950399160385132e-01;1.2390399724245071e-01;7.5468802452087402e-01;6.8607997894287109e-01;1.2287999689579010e-01;2.4473600089550018e-01;1.3312000036239624e-01;0.0000000000000000e+00;2.8765010397087018e-07;2.5575776872608691e-15;4.0561555378758872e-08;1.2162093486873989e-06;1.5832623778281570e-15;4.1842049115854577e-07
23000000;8.1612801551818848e-01;1.3619199395179749e-01;7.8028798103332520e-01;6.8710398674011230e-01;1.3619199395179749e-01;2.6624000072479248e-01;1.4438399672508240e-01;0.0000000000000000e+00;6.5366631271128529e-07;4.1439752294696533e-16;7.3483491413876833e-08;1.7935914241145749e-06;5.5943665597840320e-15;1.3211002409365198e-06
25000000;8.3148801326751709e-01;1.4643199741840363e-01;7.7824002504348755e-01;6.8915200233459473e-01;1.4438399672508240e-01;2.8876799345016479e-01;1.5769599378108978e-01;0.0000000000000000e+00;1.0767327243815850e-05;5.7244263382425845e-14;1.1025949249538602e-06;2.9712191558885747e-05;2.4309207737742482e-14;1.6029789553557488e-05
27000000;8.7961602210998535e-01;1.5667200088500977e-01;8.3353602886199951e-01;6.9734400510787964e-01;1.5667200088500977e-01;3.1129598617553711e-01;1.6793599724769592e-01;0.0000000000000000e+00;4.8968434878828054e-07;1.8400086394928578e-15;5.1949119706199994e-08;2.5751393722411454e-06;8.1778161755238120e-16;1.4860098839565389e-06
29000000;9.1443198919296265e-01;1.6691200435161591e-01;8.6323201656341553e-01;7.0656001567840576e-01;1.6588799655437469e-01;3.3280000090599060e-01;1.8124799430370331e-01;0.0000000000000000e+00;7.6235372929458257e-07;1.2366079077096443e-15;1.9091474233834318e-08;1.2049529394269082e-06;3.4350219658601230e-15;3.4414429603623165e-07
31000000;9.2569601535797119e-01;1.7715199291706085e-01;8.7142401933670044e-01;7.0553600788116455e-01;1.7715199291706085e-01;3.5737600922584534e-01;1.9251200556755066e-01;0.0000000000000000e+00;5.9672317106695989e-07;2.9813182440458767e-15;3.7380543535033839e-08;5.9672317106695989e-07;0.0000000000000000e+00;3.9665029048656637e-07
33000000;9.4412797689437866e-01;1.8841600418090820e-01;8.7347197532653809e-01;7.0451200008392334e-01;1.8943999707698822e-01;3.7990400195121765e-01;2.0479999482631683e-01;0.0000000000000000e+00;5.3638137351748943e-07;1.7111534026597035e-15;3.3071260239333258e-08;9.9473277291220775e-07;2.2815378702129379e-16;3.2104254848314092e-07
35000000;9.4003200531005859e-01;1.9968000054359436e-01;8.7654399871826172e-01;7.0246398448944092e-01;2.0172800123691559e-01;4.0038400888442993e-01;2.1708799898624420e-01;0.0000000000000000e+00;8.5637909886920240e-07;1.1832552834054812e-16;3.2262003149246662e-08;5.3875142730384291e-07;1.1832552834054812e-16;2.8708051876609204e-07
37000000;9.5129597187042236e-01;2.1196800470352173e-01;8.7449598312377930e-01;7.0246398448944092e-01;2.1299199759960175e-01;4.2291200160980225e-01;2.2835199534893036e-01;0.0000000000000000e+00;1.2417792785551920e-07;1.4678704344166268e-15;5.1447060911214033e-08;5.0945836327389827e-08;2.6095474389628921e-15;2.2606960051029885e-07
39000000;9.4208002090454102e-01;2.2323200106620789e-01;8.5299199819564819e-01;7.0246398448944092e-01;2.2425599396228790e-01;4.4543999433517456e-01;2.3961600661277771e-01;0.0000000000000000e+00;3.5540786137764223e-08;4.1583210912171580e-16;6.8699563491923122e-08;1.2634056862845892e-06;1.0395802728042897e-15;7.0528527712694155e-07
