Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
1900;+0.0000000000000000e+00;+9.6762971693246537e-08;+0.0000000000000000e+00;+4.1884846157548609e-08;+9.6762971693246537e-08;+2.7869183024946253e-16;+1.3726353608464862e-07
2000;+0.0000000000000000e+00;+9.9516546971857702e-08;+0.0000000000000000e+00;+4.2818633478453231e-08;+9.9516546971857702e-08;+2.8169651962713139e-16;+1.3913268095612130e-07
2100;+0.0000000000000000e+00;+9.8929350784897228e-08;+0.0000000000000000e+00;+4.1228168571189314e-08;+9.8929350784897228e-08;+2.6400327004062723e-16;+1.4275420584989439e-07
2200;+0.0000000000000000e+00;+9.9395591089830793e-08;+0.0000000000000000e+00;+4.3365290666339549e-08;+9.9395591089830793e-08;+2.6376821153191041e-16;+1.3990584753817235e-07
2300;+0.0000000000000000e+00;+1.0075017255624386e-07;+0.0000000000000000e+00;+4.3596947742615195e-08;+1.0075017255624386e-07;+2.7433561180884187e-16;+1.3696180758101901e-07
2400;+0.0000000000000000e+00;+9.9551656632296794e-08;+0.0000000000000000e+00;+4.3030965740293762e-08;+9.9551656632296794e-08;+2.7509032523221057e-16;+1.4183516208468771e-07
2500;+0.0000000000000000e+00;+1.0026860494691584e-07;+0.0000000000000000e+00;+4.2881379903900103e-08;+1.0026860494691584e-07;+2.6764023371814831e-16;+1.4048877309499629e-07
2600;+0.0000000000000000e+00;+1.0035774435756477e-07;+0.0000000000000000e+00;+4.3299530443752368e-08;+1.0035774435756477e-07;+2.7588326549056051e-16;+1.4354428041728915e-07
2700;+0.0000000000000000e+00;+1.0505718100808512e-07;+0.0000000000000000e+00;+4.3246616919919034e-08;+1.0505718100808512e-07;+2.7705528931993876e-16;+1.4184011196561511e-07
2800;+0.0000000000000000e+00;+1.0088155287345374e-07;+0.0000000000000000e+00;+4.4225366739556462e-08;+1.0088155287345374e-07;+2.7358912266396443e-16;+1.3920602123854254e-07
2900;+0.0000000000000000e+00;+1.0302897099091945e-07;+0.0000000000000000e+00;+4.3920239683257068e-08;+1.0302897099091945e-07;+2.9858794856680087e-16;+1.4187070461237599e-07
3000;+0.0000000000000000e+00;+1.0195000856411632e-07;+0.0000000000000000e+00;+4.3218807299798781e-08;+1.0195000856411632e-07;+3.0616398025162864e-16;+1.4489791104477199e-07
3100;+0.0000000000000000e+00;+1.0262131209405338e-07;+0.0000000000000000e+00;+4.3054422494428694e-08;+1.0262131209405338e-07;+3.0332811473504478e-16;+1.4610751218966606e-07
3200;+0.0000000000000000e+00;+1.0474901235467269e-07;+0.0000000000000000e+00;+4.3042054047959263e-08;+1.0474901235467269e-07;+3.0532300938919018e-16;+1.4433094522251106e-07
3300;+0.0000000000000000e+00;+1.0413119137931152e-07;+0.0000000000000000e+00;+4.2892195613628397e-08;+1.0413119137931152e-07;+3.0281494201099694e-16;+1.4673606346891465e-07
3400;+0.0000000000000000e+00;+1.0438792089538821e-07;+0.0000000000000000e+00;+4.3008242309015203e-08;+1.0438792089538821e-07;+3.0706983669230914e-16;+1.4725802943285327e-07
3500;+0.0000000000000000e+00;+1.0447627453550143e-07;+0.0000000000000000e+00;+4.3853709557869677e-08;+1.0447627453550143e-07;+2.8830390557637940e-16;+1.4638292012870528e-07
