Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
3;9000000;4.5759690561581465e+03;4.5759707031250000e+03;4.5759690561581438e+03;4.5759692382812500e+03;4.5759731445312500e+03;4.5759690561581438e+03;4.5759697265625000e+03
4;9000000;-6.1200418734596178e+02;-6.1200665283203125e+02;-6.1200418734595632e+02;-6.1200421142578125e+02;-6.1200408935546875e+02;-6.1200418734596769e+02;-6.1200512695312500e+02
5;9000000;1.8913829496495366e+03;1.8913864746093750e+03;1.8913829496495325e+03;1.8913829345703125e+03;1.8913830566406250e+03;1.8913829496495291e+03;1.8913837890625000e+03
6;9000000;-3.8154561923880406e+03;-3.8154545898437500e+03;-3.8154561923880369e+03;-3.8154562988281250e+03;-3.8154533691406250e+03;-3.8154561923880356e+03;-3.8154560546875000e+03
7;9000000;-2.3401741904718956e+03;-2.3401694335937500e+03;-2.3401741904718915e+03;-2.3401740722656250e+03;-2.3401689453125000e+03;-2.3401741904718933e+03;-2.3401748046875000e+03
8;9000000;-5.0793560502481790e+02;-5.0793392944335938e+02;-5.0793560502481881e+02;-5.0793551635742188e+02;-5.0793457031250000e+02;-5.0793560502481751e+02;-5.0793609619140625e+02
9;9000000;1.8840299687931115e+03;1.8840301513671875e+03;1.8840299687931131e+03;1.8840301513671875e+03;1.8840313720703125e+03;1.8840299687931104e+03;1.8840300292968750e+03
0;11000000;2.2461789933132704e+03;2.2461796875000000e+03;2.2461789933132723e+03;2.2461789550781250e+03;2.2461789550781250e+03;2.2461789933132691e+03;2.2461787109375000e+03
1;11000000;-1.7264838336592638e+03;-1.7264844970703125e+03;-1.7264838336592632e+03;-1.7264841308593750e+03;-1.7264852294921875e+03;-1.7264838336592652e+03;-1.7264843750000000e+03
2;11000000;1.5520664575786348e+03;1.5520654296875000e+03;1.5520664575786354e+03;1.5520662841796875e+03;1.5520651855468750e+03;1.5520664575786291e+03;1.5520668945312500e+03
3;11000000;4.9229649910115077e+03;4.9229589843750000e+03;4.9229649910115068e+03;4.9229648437500000e+03;4.9229619140625000e+03;4.9229649910115186e+03;4.9229648437500000e+03
4;11000000;-8.0953308154635272e+02;-8.0953570556640625e+02;-8.0953308154635511e+02;-8.0953308105468750e+02;-8.0953308105468750e+02;-8.0953308154634578e+02;-8.0953295898437500e+02
5;11000000;2.3482619596427007e+03;2.3482668457031250e+03;2.3482619596426980e+03;2.3482619628906250e+03;2.3482624511718750e+03;2.3482619596426998e+03;2.3482626953125000e+03
6;11000000;-4.0038686268833635e+03;-4.0038706054687500e+03;-4.0038686268833635e+03;-4.0038686523437500e+03;-4.0038681640625000e+03;-4.0038686268833644e+03;-4.0038688964843750e+03
7;11000000;-6.1249267896143010e+02;-6.1249194335937500e+02;-6.1249267896143010e+02;-6.1249261474609375e+02;-6.1249029541015625e+02;-6.1249267896142692e+02;-6.1249243164062500e+02
8;11000000;9.9996394955594246e+02;9.9996313476562500e+02;9.9996394955594337e+02;9.9996398925781250e+02;9.9996295166015625e+02;9.9996394955593780e+02;9.9996392822265625e+02
9;11000000;1.3313228035418022e+03;1.3313248291015625e+03;1.3313228035418051e+03;1.3313229980468750e+03;1.3313227539062500e+03;1.3313228035418024e+03;1.3313228759765625e+03
0;13000000;4.9050708921401310e+03;4.9050688476562500e+03;4.9050708921401265e+03;4.9050708007812500e+03;4.9050717773437500e+03;4.9050708921401274e+03;4.9050717773437500e+03
1;13000000;-1.8433406764579793e+03;-1.8433426513671875e+03;-1.8433406764579825e+03;-1.8433409423828125e+03;-1.8433420410156250e+03;-1.8433406764579813e+03;-1.8433413085937500e+03
2;13000000;-7.4450975162372998e+01;-7.4455268859863281e+01;-7.4450975162373723e+01;-7.4451065063476562e+01;-7.4453903198242188e+01;-7.4450975162370923e+01;-7.4450561523437500e+01
3;13000000;5.3923430780056779e+03;5.3923461914062500e+03;5.3923430780056697e+03;5.3923432617187500e+03;5.3923422851562500e+03;5.3923430780056633e+03;5.3923427734375000e+03
4;13000000;-2.0560301564308488e+03;-2.0560354003906250e+03;-2.0560301564308443e+03;-2.0560300292968750e+03;-2.0560336914062500e+03;-2.0560301564308456e+03;-2.0560297851562500e+03
5;13000000;1.9296969130935095e+03;1.9296928710937500e+03;1.9296969130935095e+03;1.9296968994140625e+03;1.9296943359375000e+03;1.9296969130935036e+03;1.9296973876953125e+03
6;13000000;-3.4993066938740235e+03;-3.4993063964843750e+03;-3.4993066938740230e+03;-3.4993066406250000e+03;-3.4993071289062500e+03;-3.4993066938740194e+03;-3.4993061523437500e+03
7;13000000;1.2047965106116014e+03;1.2047962646484375e+03;1.2047965106116035e+03;1.2047965087890625e+03;1.2047998046875000e+03;1.2047965106116012e+03;1.2047963867187500e+03
8;13000000;1.2836039194283360e+03;1.2836041259765625e+03;1.2836039194283376e+03;1.2836038818359375e+03;1.2836027832031250e+03;1.2836039194283378e+03;1.2836035156250000e+03
