Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp64, posit32>;Error DOT Acc<fp64, posit16>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
87000000;0.0000000000000000e+00;7.6484197197032554e-07;9.8281899501605554e-16;1.6005399447945623e-08;1.0785158553570099e-08;1.0086795181763197e-03;9.0928735881181407e-07;6.5398004558759332e-16;3.5578140965624921e-07
89000000;0.0000000000000000e+00;4.1635655556348803e-07;1.1071732039771275e-15;1.2658412035300157e-08;4.6473873052454711e-09;1.2889179798800689e-03;5.1092409660631890e-07;1.5341122789396593e-15;3.9982812068875416e-07
91000000;0.0000000000000000e+00;6.7826591755711873e-07;4.2199066637963313e-16;3.1891276577232505e-08;1.2039942234813175e-08;1.4432062558978661e-03;6.5404130099569899e-07;2.2258856770716027e-15;3.0145546600151631e-07
93000000;0.0000000000000000e+00;3.7950999483128392e-07;1.3402689047463218e-15;7.3516487161691624e-09;1.7065361212243448e-08;1.1164051644463318e-03;3.0028530997345000e-07;1.7525859565747871e-15;1.9231222877425110e-07
95000000;0.0000000000000000e+00;1.1169732706800221e-06;5.4207457538935168e-16;2.5046286834554673e-08;7.6331119355683864e-09;1.2318198904473316e-03;8.9457617527781140e-07;2.7945854407841596e-15;2.4468529667852007e-07
97000000;0.0000000000000000e+00;7.3564851108894343e-07;4.8387533150017653e-16;3.7427862471113047e-08;1.2485063536848700e-08;1.1799549810772446e-03;4.7008820168370661e-07;1.7812697200752486e-15;2.6575389379291283e-07
99000000;0.0000000000000000e+00;7.6723949414217760e-07;7.7195621703969090e-16;2.4482473026711031e-08;9.5285254902613526e-09;1.2102930711721522e-03;3.4200369060217828e-07;1.2495466276842686e-15;3.2582778270748326e-07
101000000;0.0000000000000000e+00;7.9541139013414086e-07;7.9920805987194261e-16;2.1746626089495777e-08;1.4767444484529774e-08;1.4475281352838653e-03;1.6743932222122076e-07;2.3886616392558456e-15;2.9285559501352590e-07
103000000;0.0000000000000000e+00;5.9460133564796143e-07;1.0372963540651055e-15;1.9928361752439177e-08;1.3818171077178903e-08;1.2098517872410528e-03;4.8927083566151632e-07;1.7563451941562984e-15;3.0039331484015621e-07
105000000;0.0000000000000000e+00;5.0422847841449594e-07;1.1784763004270783e-15;2.0629197582851417e-08;1.1152218566902192e-08;1.5111295506862038e-03;8.1882352809641671e-07;1.1943760798472535e-15;2.7784944462889132e-07
