Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
83000000;0.0000000000000000e+00;4.4312134226486663e-07;6.5663380310841912e-16;3.3791487588508269e-08;3.3077063793144335e-07;1.4630668551779158e-15;4.0756373588379733e-07
85000000;0.0000000000000000e+00;7.6568443601329589e-07;6.9532438308581326e-16;2.4868747663058514e-08;4.7036177664862789e-07;8.4479939403729570e-16;2.9137389773938496e-07
87000000;0.0000000000000000e+00;8.2031482580886956e-07;9.9185174492617467e-16;1.6005396575714769e-08;6.5214010137837635e-07;1.2765760729474623e-15;3.2041525768482858e-07
89000000;0.0000000000000000e+00;5.4656720420562648e-07;6.7358015666688692e-16;1.2658413330133818e-08;4.4071291409474012e-07;1.1323393365899601e-15;2.7320955831500650e-07
91000000;0.0000000000000000e+00;6.2771765707146685e-07;9.8481369137050466e-16;3.1891275897410697e-08;3.7612412404822395e-07;6.7709868456412145e-16;2.0609816060638392e-07
93000000;0.0000000000000000e+00;6.3502508218319215e-07;9.0384196024687141e-16;7.3516476073125574e-09;7.9928608824372722e-07;1.8545650659663757e-15;3.4798506538653615e-07
95000000;0.0000000000000000e+00;1.0062201630952793e-06;1.0369943441400222e-15;2.5046284103394214e-08;7.4346052099281621e-07;1.0083028604337746e-15;3.1468154143823159e-07
97000000;0.0000000000000000e+00;7.1548896050399386e-07;1.3533152002578671e-15;3.7427865337298932e-08;3.6913832501705241e-07;1.0758150999990038e-15;3.2313283677152809e-07
99000000;0.0000000000000000e+00;3.9859100191822252e-07;7.4336878361855655e-16;2.4482472301015712e-08;3.5638384248228545e-07;1.7913883048250650e-15;1.6633609480211951e-07
101000000;0.0000000000000000e+00;7.1475234795237881e-07;2.4513643560509381e-16;2.1746624415549535e-08;5.0049813863280734e-07;1.7792517768726027e-15;3.3948250519334199e-07
103000000;0.0000000000000000e+00;7.6060436342883586e-07;9.6753796883429995e-16;1.9928360392544417e-08;5.5467870055242428e-07;7.0691252592663154e-16;1.8921806117715308e-07
105000000;0.0000000000000000e+00;8.0253836520208585e-07;6.9436351392926989e-16;2.0629195700081818e-08;3.5180354868381321e-07;1.0632155432090668e-15;2.8219327005724552e-07
107000000;0.0000000000000000e+00;6.4781017015295277e-07;1.1521882302345828e-15;2.6444358616319662e-08;1.4191194372051522e-06;1.5629477453826574e-15;5.3928244844667915e-07
109000000;0.0000000000000000e+00;7.3159282784583486e-07;8.4740719230350265e-16;2.8404556025855250e-08;3.7883473753829954e-07;1.2526019732407940e-15;2.5146856520438317e-07
111000000;0.0000000000000000e+00;8.7780196905796959e-07;8.3792280140367376e-16;2.8062899694330554e-08;4.8630843235730390e-07;8.7725465440497194e-16;3.7412024058837755e-07
113000000;0.0000000000000000e+00;4.1051887631342786e-07;1.0919121961289781e-15;2.1597783776821618e-08;7.7043343464976280e-07;1.6569291137517598e-15;1.2166420657079216e-07
