Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
95000000;1.0178560018539429e+00;5.3145599365234375e-01;1.0496000051498413e+00;5.5398398637771606e-01;1.0670080184936523e+00;5.7036799192428589e-01;0.0000000000000000e+00;1.4993849232533224e-07;0.0000000000000000e+00;2.0633449284102330e-12;0.0000000000000000e+00;1.4993849232533224e-07
97000000;1.0383360385894775e+00;5.4067200422286987e-01;1.0700800418853760e+00;5.6627202033996582e-01;1.0874880552291870e+00;5.8163201808929443e-01;0.0000000000000000e+00;1.1369464901966679e-06;1.5362788677649541e-16;1.7982144147188787e-12;2.9189298487534127e-15;1.7750321355949810e-08
99000000;1.0598399639129639e+00;5.5193597078323364e-01;1.0936319828033447e+00;5.7651197910308838e-01;1.1079679727554321e+00;5.9596800804138184e-01;0.0000000000000000e+00;1.0639652897779389e-06;3.0104985470166494e-16;1.4081606953670377e-12;1.8062991282099894e-15;1.3403374445461689e-08
101000000;1.0813440084457397e+00;5.6422400474548340e-01;1.1161600351333618e+00;5.8880001306533813e-01;1.1315200328826904e+00;6.0723197460174561e-01;0.0000000000000000e+00;2.2783149040850996e-07;4.4263213767266934e-16;1.5157199834371107e-12;8.8526427534533868e-16;9.8048290243255943e-09
103000000;1.1028480529785156e+00;5.7446402311325073e-01;1.1386879682540894e+00;6.0108798742294312e-01;1.1550719738006592e+00;6.1952000856399536e-01;0.0000000000000000e+00;1.8305137872769435e-07;1.4468026270115844e-16;1.3096457379708860e-12;1.4468026270115843e-15;4.9972495026617178e-08
105000000;1.1243519783020020e+00;5.8675199747085571e-01;1.1591680049896240e+00;6.1235201358795166e-01;1.1786240339279175e+00;6.3078397512435913e-01;0.0000000000000000e+00;1.0729822949748221e-06;7.0961171050503673e-16;1.1579443892021189e-12;1.8449904473130955e-15;8.2460590894552470e-08
107000000;1.1458560228347778e+00;5.9699201583862305e-01;1.1816960573196411e+00;6.2361598014831543e-01;1.1939840316772461e+00;6.4307200908660889e-01;0.0000000000000000e+00;2.7433635728683143e-07;1.3926770432411974e-16;1.5461500534063775e-12;3.0638894951306344e-15;2.4738760443714603e-08
109000000;1.1663360595703125e+00;6.0825598239898682e-01;1.2031999826431274e+00;6.3590401411056519e-01;1.2226560115814209e+00;6.5535998344421387e-01;0.0000000000000000e+00;9.2656956698750876e-08;0.0000000000000000e+00;1.3783531195405874e-12;3.1444278664385550e-15;5.4138856898908355e-08
111000000;1.1878399848937988e+00;6.1849600076675415e-01;1.2267520427703857e+00;6.4614397287368774e-01;1.2451839447021484e+00;6.6457599401473999e-01;0.0000000000000000e+00;8.4533503825229567e-07;2.6850409287508480e-16;1.9953881662011928e-12;9.3976432506279680e-16;1.9577185053181245e-08
113000000;1.2093440294265747e+00;6.2976002693176270e-01;1.2482559680938721e+00;6.5843200683593750e-01;1.2656639814376831e+00;6.7993599176406860e-01;0.0000000000000000e+00;1.7857045486228084e-06;1.3187427760709515e-16;2.4692139739152496e-12;6.5937138803547578e-16;1.5717956416249627e-08
115000000;1.2298239469528198e+00;6.4102399349212646e-01;1.2718080282211304e+00;6.7071998119354248e-01;1.2892160415649414e+00;6.8915200233459473e-01;0.0000000000000000e+00;1.7867436289473882e-06;2.5916007070023163e-16;2.4843084377324202e-12;5.1832014140046327e-16;2.2017916693243586e-08
117000000;1.2523519992828369e+00;6.5024000406265259e-01;1.2933119535446167e+00;6.8095999956130981e-01;1.3107199668884277e+00;7.0246398448944092e-01;0.0000000000000000e+00;2.7973228814299829e-07;2.5472913259450535e-16;2.6531312805380707e-12;1.0189165303780214e-15;6.2159366179454278e-08
119000000;1.2738560438156128e+00;6.6252797842025757e-01;1.3158400058746338e+00;6.9324797391891479e-01;1.3312000036239624e+00;7.1577602624893188e-01;0.0000000000000000e+00;1.0643352861758193e-06;6.2613385950037758e-16;2.7948110952658851e-12;1.2522677190007550e-16;1.1354493613132962e-08
121000000;1.2943359613418579e+00;6.7379200458526611e-01;1.3373440504074097e+00;7.0348799228668213e-01;1.3557759523391724e+00;7.2908800840377808e-01;0.0000000000000000e+00;1.6076122180053758e-06;2.4631654673496231e-16;2.4971571507990478e-12;1.1084244603073303e-15;2.0729948969897886e-08
123000000;1.3158400058746338e+00;6.8505597114562988e-01;1.3567999601364136e+00;7.1577602624893188e-01;1.3783040046691895e+00;7.4137598276138306e-01;0.0000000000000000e+00;6.9171982860417813e-07;1.2115398244839588e-16;2.6629645342157416e-12;1.8173097367259381e-15;2.3764710940347091e-08
125000000;1.3363200426101685e+00;6.9529598951339722e-01;1.3813760280609131e+00;7.2703999280929565e-01;1.3998080492019653e+00;7.5161600112915039e-01;0.0000000000000000e+00;7.4161333499578666e-07;1.1921630452787145e-16;3.2580623864421989e-12;1.1921630452787145e-16;2.6431858649990220e-08
