Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
31000000;0.0000000000000000e+00;8.7424840912489880e-07;2.0281154220304691e-15;8.8792643179884144e-08;1.2688352812897086e-06;2.5048424660810110e-15;5.5327920765125496e-07
33000000;0.0000000000000000e+00;6.6410536782970658e-07;2.0190689879814502e-15;1.6610886069967737e-07;7.7223647206113709e-07;6.0251067660330043e-15;7.1609340812651647e-07
35000000;0.0000000000000000e+00;7.7978764708614665e-07;1.8842907994626677e-15;2.0899487780247997e-07;8.5279520258441808e-07;2.1352280847101975e-15;1.4250521364952645e-06
37000000;0.0000000000000000e+00;1.0677193166767433e-06;1.6325915788952619e-15;5.5914060812695561e-08;9.5767444742317587e-07;1.1804078021453975e-15;2.3184027369938989e-07
39000000;0.0000000000000000e+00;1.2038115552042217e-06;1.6125368742279960e-15;5.9673107902272451e-08;6.8397317035345140e-07;2.3310876163246689e-15;2.0967988017663498e-07
41000000;0.0000000000000000e+00;1.0528411543398543e-06;2.0265365981461282e-15;5.6278798358996868e-08;1.1481113649530929e-06;1.8625110083997804e-15;1.7370679955846263e-07
43000000;0.0000000000000000e+00;8.2464006681596831e-07;1.6275789196138653e-15;5.4774173531085658e-08;1.0080171877164498e-06;1.4719215988402212e-15;2.5844976983792930e-07
45000000;0.0000000000000000e+00;1.3478339290464701e-06;2.0853157604754604e-15;5.8539060405443601e-08;1.4562912499333111e-06;2.4393008230308753e-15;2.1472807812541787e-07
47000000;0.0000000000000000e+00;1.7118902474958590e-06;1.5159309392384909e-15;6.3787449715409349e-08;1.1892096492674868e-06;2.4495812914295536e-15;2.3012092072852804e-07
49000000;0.0000000000000000e+00;1.5186703610369570e-06;2.0898145005347620e-15;8.4793763358250360e-08;1.1672087006957556e-06;1.9770068551820016e-15;3.8121204384226623e-07
51000000;0.0000000000000000e+00;9.6980229409910823e-07;2.8621781932017094e-15;1.1920352262593527e-07;1.2324407615995676e-06;2.9126436523371220e-15;3.0172962226726509e-07
53000000;0.0000000000000000e+00;8.5689671003057993e-07;4.8750575782803878e-15;1.8688750084321244e-07;1.7592055986634341e-06;5.9730346017112001e-15;3.6277138494782786e-07
55000000;0.0000000000000000e+00;1.3840516637070670e-06;2.2928703298874201e-15;2.1973495217471835e-07;2.4727415883632583e-06;2.6622965741368841e-15;6.9675050938239121e-07
57000000;0.0000000000000000e+00;1.5156713426004186e-06;5.0640750419203053e-15;1.7897059417628551e-07;2.2044845341836569e-06;4.9701579067721041e-15;4.7997522956427651e-07
59000000;0.0000000000000000e+00;9.1832408865845047e-07;3.0238468001868273e-15;1.7245883657511656e-07;1.3254377655543589e-06;4.0572467089167828e-15;7.7284597114083515e-07
61000000;0.0000000000000000e+00;2.2749463367238087e-06;3.4943432654793688e-15;3.3322999347055576e-07;3.1713890244955175e-06;7.1570688012175567e-15;1.0407388572779110e-06
63000000;0.0000000000000000e+00;1.4859998264083082e-05;1.5721603682638875e-14;7.5387919206808557e-07;6.0924281186892087e-06;8.3528788987636242e-15;3.1213692091661039e-06
65000000;0.0000000000000000e+00;8.6362011818511465e-06;1.4248110531939797e-14;1.1153631266728722e-06;5.4533820154203467e-06;1.9629067474609140e-14;2.5226308760475202e-06
67000000;0.0000000000000000e+00;3.6695343332396876e-06;6.9401236769953343e-15;7.9185765455193907e-07;2.8961907456839767e-06;7.4452731607616750e-15;3.7133853827601198e-06
69000000;0.0000000000000000e+00;3.9305626048789243e-05;3.0227054958795619e-14;3.6877503344251056e-06;5.5925098834824999e-05;3.9483411035453792e-14;1.2822788285460124e-05
71000000;0.0000000000000000e+00;1.7835508678608249e-06;5.0651693044290962e-15;3.5212504303999974e-07;3.1618394804065758e-06;4.7011044665243149e-15;1.0575487055569087e-06
73000000;0.0000000000000000e+00;4.2835239681910138e-06;3.1174570460044583e-15;3.7064445852994978e-07;1.8560184274854896e-06;3.1811126449230459e-15;1.7518032331562999e-06
75000000;0.0000000000000000e+00;4.9071446193110866e-06;8.0870969575350311e-15;4.0004954190546611e-07;3.4311144614683562e-06;5.3637696301603897e-15;2.2275245474693334e-06
77000000;0.0000000000000000e+00;1.0118571835001423e-05;1.4923601692927887e-14;8.4373664518270238e-07;6.0933417845887113e-06;1.8860429480000687e-14;2.8059805127764632e-06
79000000;0.0000000000000000e+00;6.4618993765703120e-05;2.3048191277317845e-13;6.7100797453341605e-06;7.2936084451287036e-05;2.8596239601841332e-13;2.5498337128944958e-05
81000000;0.0000000000000000e+00;3.8546487193013850e-06;5.2961062074103825e-15;4.7396728492052306e-07;2.5994795295943732e-06;1.3482318897277842e-14;2.3960007836818285e-06
83000000;0.0000000000000000e+00;2.7654873499936897e-06;5.1464266959444117e-15;3.3723565751252766e-07;3.1961143347224500e-06;7.1528624859558797e-15;1.6236414617389316e-06
85000000;0.0000000000000000e+00;3.7842424323741132e-06;8.9457056840647154e-15;7.1268587041312302e-07;8.1661727166308934e-06;7.3467031226418181e-15;4.5842305341446996e-06
87000000;0.0000000000000000e+00;2.1453164481185952e-06;4.1956711091209750e-15;2.1977377578784234e-07;2.0069307376305591e-06;4.6958035699366525e-15;1.1048110303564060e-06
89000000;0.0000000000000000e+00;6.0941017656258686e-06;1.7442494720634703e-14;1.0148154045088914e-06;9.4514611269848815e-06;2.2164157297617368e-14;5.8559464373751559e-06
91000000;0.0000000000000000e+00;2.8297743522797705e-06;5.4361365301037548e-15;2.8189895320619706e-07;2.2825124875979238e-06;7.6742174776576274e-15;1.4930550615005534e-06
93000000;0.0000000000000000e+00;2.4918505065649333e-06;2.7781746939666244e-15;2.0340230530600021e-07;1.6534515362296019e-06;4.0043628302484223e-15;1.0688928743648743e-06
95000000;0.0000000000000000e+00;1.5917082489743346e-06;2.9193632664887032e-15;1.7456330590629417e-07;1.6513469518551438e-06;4.3329539143032832e-15;7.1775924390050560e-07
