Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
2;3000000;3.5751277406518926e+02;3.5751223754882812e+02;3.5751277406518756e+02;3.5751275516765173e+02;3.5751248168945312e+02;3.5751277406518784e+02;3.5751266479492188e+02
3;3000000;-6.0341473840705578e+02;-6.0341485595703125e+02;-6.0341473840705623e+02;-6.0341479118826305e+02;-6.0341522216796875e+02;-6.0341473840705498e+02;-6.0341479492187500e+02
4;3000000;7.6561521442493344e+01;7.6561439514160156e+01;7.6561521442493202e+01;7.6561522946851710e+01;7.6561546325683594e+01;7.6561521442492847e+01;7.6561614990234375e+01
5;3000000;1.0313818800360988e+01;1.0313669204711914e+01;1.0313818800361712e+01;1.0313844522132353e+01;1.0314016342163086e+01;1.0313818800360082e+01;1.0313728332519531e+01
6;3000000;-6.3229596059511806e+01;-6.3229606628417969e+01;-6.3229596059511650e+01;-6.3229599754925843e+01;-6.3229675292968750e+01;-6.3229596059512119e+01;-6.3229583740234375e+01
7;3000000;-6.0533119194239384e+02;-6.0533093261718750e+02;-6.0533119194239350e+02;-6.0533117526384365e+02;-6.0533111572265625e+02;-6.0533119194239327e+02;-6.0533111572265625e+02
8;3000000;-1.5638415928812460e+03;-1.5638409423828125e+03;-1.5638415928812458e+03;-1.5638415687191068e+03;-1.5638413085937500e+03;-1.5638415928812497e+03;-1.5638415527343750e+03
9;3000000;-4.6512782532297285e+02;-4.6512750244140625e+02;-4.6512782532297302e+02;-4.6512783762882106e+02;-4.6512701416015625e+02;-4.6512782532297240e+02;-4.6512774658203125e+02
0;5000000;-5.2618484628318606e+02;-5.2618450927734375e+02;-5.2618484628318549e+02;-5.2618485674376268e+02;-5.2618444824218750e+02;-5.2618484628318606e+02;-5.2618469238281250e+02
1;5000000;-2.4796337479840085e+02;-2.4796353149414062e+02;-2.4796337479840147e+02;-2.4796339035347830e+02;-2.4796339416503906e+02;-2.4796337479840088e+02;-2.4796343994140625e+02
2;5000000;-4.2642558151903330e+01;-4.2642864227294922e+01;-4.2642558151903856e+01;-4.2642584135662716e+01;-4.2643104553222656e+01;-4.2642558151903529e+01;-4.2642456054687500e+01
