Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
19968;0.0000000000000000e+00;4.2693241713246076e-08;0.0000000000000000e+00;2.4348234336656460e-08;1.1176508413640479e-16;6.2367631540424614e-08
20480;0.0000000000000000e+00;4.1386359230707882e-08;0.0000000000000000e+00;2.3807980537948041e-08;1.1373439627483226e-16;6.4071807629077587e-08
20992;0.0000000000000000e+00;4.0544479230977063e-08;0.0000000000000000e+00;2.3260179298231052e-08;1.1185060367727799e-16;6.2485992232735926e-08
21504;0.0000000000000000e+00;3.9629027449643220e-08;0.0000000000000000e+00;2.2627173007819828e-08;1.1049347356077728e-16;6.2052541037806544e-08
22016;0.0000000000000000e+00;3.8671053216349410e-08;0.0000000000000000e+00;2.2289517240296757e-08;1.1416295361398897e-16;6.4019917340296602e-08
22528;0.0000000000000000e+00;3.7795866663050410e-08;0.0000000000000000e+00;2.1520858446688154e-08;1.1371580091069729e-16;6.2987041663908854e-08
23040;0.0000000000000000e+00;3.7030473488190831e-08;0.0000000000000000e+00;2.1368983477202529e-08;1.1230016970488325e-16;6.2019201821828101e-08
23552;0.0000000000000000e+00;3.6155924417568759e-08;0.0000000000000000e+00;2.0695947295472871e-08;1.1141198084866374e-16;6.1389612516865663e-08
24064;0.0000000000000000e+00;3.5478402864795471e-08;0.0000000000000000e+00;2.0330038652913572e-08;1.1240419665159575e-16;6.1935000010261359e-08
24576;0.0000000000000000e+00;3.4529565090499828e-08;0.0000000000000000e+00;1.9774488768627222e-08;1.1113885100515419e-16;6.1017312911190349e-08
