Num Rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
7900;0.0000000000000000e+00;1.1530155903092518e-07;0.0000000000000000e+00;4.0046810515575820e-08;3.1899520554702858e-16;1.4314402234592352e-07
8000;0.0000000000000000e+00;1.1601258747245897e-07;0.0000000000000000e+00;4.0638054547977199e-08;3.1238032373698370e-16;1.4585493782550546e-07
8100;0.0000000000000000e+00;1.1859549621409475e-07;0.0000000000000000e+00;4.0211693292503427e-08;3.1427769542019137e-16;1.4811178726507170e-07
8200;0.0000000000000000e+00;1.1743487754955586e-07;0.0000000000000000e+00;4.0075277039970623e-08;3.1988998384045198e-16;1.4618485865280771e-07
8300;0.0000000000000000e+00;1.1640849138048920e-07;0.0000000000000000e+00;4.0281335668573752e-08;3.1722831834012211e-16;1.4851643632804744e-07
8400;0.0000000000000000e+00;1.1637003400397049e-07;0.0000000000000000e+00;4.0432702494857446e-08;3.1218513934211395e-16;1.4582743321817664e-07
8500;0.0000000000000000e+00;1.1777661464016394e-07;0.0000000000000000e+00;4.0245176650713425e-08;3.1910669459843733e-16;1.4714595401238741e-07
8600;0.0000000000000000e+00;1.1641337538671694e-07;0.0000000000000000e+00;4.0493521624852210e-08;3.1835825293624859e-16;1.4589631225671498e-07
8700;0.0000000000000000e+00;1.1633165815741754e-07;0.0000000000000000e+00;3.9961283318441749e-08;3.2300531480108187e-16;1.4484555120319498e-07
8800;0.0000000000000000e+00;1.1903169424004902e-07;0.0000000000000000e+00;3.9604260086426165e-08;3.2077384591818625e-16;1.4365660454680648e-07
8900;0.0000000000000000e+00;1.1895229177455495e-07;0.0000000000000000e+00;4.0325809520554019e-08;3.1892608306946321e-16;1.4535748963948314e-07
9000;0.0000000000000000e+00;1.1770714424591938e-07;0.0000000000000000e+00;4.0152382223438937e-08;3.2349502931027198e-16;1.4592439095860674e-07
9100;0.0000000000000000e+00;1.1880599604230594e-07;0.0000000000000000e+00;3.9919077249789635e-08;3.1653748879434312e-16;1.4509345084862564e-07
9200;0.0000000000000000e+00;1.1759405321821486e-07;0.0000000000000000e+00;4.0182291039942532e-08;3.1840054875805004e-16;1.4519107902150290e-07
9300;0.0000000000000000e+00;1.2034916457597910e-07;0.0000000000000000e+00;4.0578213496447843e-08;3.1857287317841460e-16;1.4714206521319240e-07
9400;0.0000000000000000e+00;1.2129070957205140e-07;0.0000000000000000e+00;3.9631483237156345e-08;3.2290372952981435e-16;1.4575704612512181e-07
9500;0.0000000000000000e+00;1.1943848172756582e-07;0.0000000000000000e+00;3.9871118826062765e-08;3.1737772393719389e-16;1.4442395934327152e-07
9600;0.0000000000000000e+00;1.1933403452500655e-07;0.0000000000000000e+00;3.9995422029346592e-08;3.2581716760233518e-16;1.4638236796787371e-07
9700;0.0000000000000000e+00;1.2047335898408386e-07;0.0000000000000000e+00;4.0593673183191175e-08;3.2722190749117957e-16;1.4454452120681089e-07
9800;0.0000000000000000e+00;1.2242072312788211e-07;0.0000000000000000e+00;4.0523262526088546e-08;3.2126178753950151e-16;1.4522380302744122e-07
9900;0.0000000000000000e+00;1.2147914076955596e-07;0.0000000000000000e+00;3.9670931267094409e-08;3.2749455360558436e-16;1.4403984189045696e-07
10000;0.0000000000000000e+00;1.2213819465645627e-07;0.0000000000000000e+00;3.9839817503006416e-08;3.2462199533693583e-16;1.4552964975130356e-07
10100;0.0000000000000000e+00;1.2133303625985090e-07;0.0000000000000000e+00;4.0168128485528114e-08;3.3112563091909461e-16;1.4822149254047028e-07
10200;0.0000000000000000e+00;1.2314071214609848e-07;0.0000000000000000e+00;4.0091159543683819e-08;3.2038585157868962e-16;1.4859976525589616e-07
10300;0.0000000000000000e+00;1.2395411018217826e-07;0.0000000000000000e+00;4.0364490722283001e-08;3.2879071166267230e-16;1.5062970567370201e-07
10400;0.0000000000000000e+00;1.2290754660566135e-07;0.0000000000000000e+00;3.9570209197607433e-08;3.2337487221068317e-16;1.4927238861720487e-07
10500;0.0000000000000000e+00;1.2411720575204339e-07;0.0000000000000000e+00;4.0255254506437089e-08;3.2629757436073053e-16;1.4723279142358809e-07
10600;0.0000000000000000e+00;1.2337270605054915e-07;0.0000000000000000e+00;3.9839551638900644e-08;3.3156245828408727e-16;1.4702216960146585e-07
10700;0.0000000000000000e+00;1.2347406791949679e-07;0.0000000000000000e+00;4.0172435983943336e-08;3.2666174721005496e-16;1.4796327059745388e-07
