Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
21000000;4.9766400456428528e-01;2.0479999482631683e-01;4.9868801236152649e-01;4.8435199260711670e-01;2.0582400262355804e-01;3.9731198549270630e-01;2.1299199759960175e-01;0.0000000000000000e+00;1.2162093478348719e-06;1.2178941367908890e-15;4.0561556353074143e-08;1.5431353158040606e-06;9.7431530943271107e-16;2.6109330448044898e-08
23000000;5.0278401374816895e-01;2.2323200106620789e-01;5.0278401374816895e-01;4.8640000820159912e-01;2.2323200106620789e-01;4.3315199017524719e-01;2.2937600314617157e-01;0.0000000000000000e+00;1.3211002425941078e-06;3.7295777065226820e-15;7.3483497008243272e-08;2.4610253506822152e-06;4.1439752294696464e-16;9.0367951815667055e-07
25000000;5.0892800092697144e-01;2.4063999950885773e-01;5.0995200872421265e-01;4.8844799399375916e-01;2.4063999950885773e-01;4.6899199485778809e-01;2.4780799448490143e-01;0.0000000000000000e+00;5.7153633478505884e-06;1.4311065845605335e-14;1.1025949429896372e-06;1.9965452723686586e-05;3.8620273583345908e-14;6.7040477031387013e-06
27000000;5.2428799867630005e-01;2.5804799795150757e-01;5.2428799867630005e-01;4.9049600958824158e-01;2.5907200574874878e-01;5.0585597753524780e-01;2.6624000072479248e-01;0.0000000000000000e+00;2.5836177881747661e-06;1.2266724263285753e-15;5.1949119706200146e-08;1.5957706718023533e-06;1.2266724263285753e-15;8.2744513684603244e-07
29000000;5.5398398637771606e-01;2.7647998929023743e-01;5.5500799417495728e-01;4.7001600265502930e-01;2.7647998929023743e-01;5.4067200422286987e-01;2.8467199206352234e-01;0.0000000000000000e+00;1.1555761775690093e-06;1.3740087863440541e-15;1.9091480554274805e-08;4.9167736237051829e-07;2.7480175726881083e-16;2.7037775730435464e-07
31000000;5.8675199747085571e-01;2.9491201043128967e-01;5.8777600526809692e-01;4.7104001045227051e-01;2.9491201043128967e-01;5.7651197910308838e-01;3.0105599761009216e-01;0.0000000000000000e+00;1.0635598921727687e-06;2.4844318700382312e-16;3.7380542789704290e-08;6.6341413101198148e-07;0.0000000000000000e+00;7.0186431116128448e-08
33000000;6.2054401636123657e-01;3.1231999397277832e-01;6.2156802415847778e-01;4.7206398844718933e-01;3.1334400177001953e-01;6.1235201358795166e-01;3.2051199674606323e-01;0.0000000000000000e+00;9.9473277302628445e-07;3.4223068053194066e-16;3.3071259668948788e-08;8.7224364131190867e-07;6.8446136106388132e-16;4.6424846545909476e-08
35000000;6.5638399124145508e-01;3.2972800731658936e-01;6.5740799903869629e-01;4.7513601183891296e-01;3.3177599310874939e-01;6.4716798067092896e-01;3.3894398808479309e-01;0.0000000000000000e+00;9.6503914406970089e-08;5.9162764170274142e-16;3.2262004214176466e-08;4.7765712028540213e-07;7.0995317004328968e-16;9.6503914406970089e-08
37000000;6.9120001792907715e-01;3.4918400645256042e-01;6.9120001792907715e-01;4.7820800542831421e-01;3.5020801424980164e-01;6.8300801515579224e-01;3.5635200142860413e-01;0.0000000000000000e+00;5.0945839752420667e-08;1.1416770045462614e-15;5.1447057649279559e-08;3.1363148602678331e-07;6.5238685974072076e-16;2.9930168861339619e-07
39000000;7.2703999280929565e-01;3.6659198999404907e-01;7.2806400060653687e-01;4.7923201322555542e-01;3.6761599779129028e-01;7.1884799003601074e-01;3.7376001477241516e-01;0.0000000000000000e+00;8.1690935958221872e-07;4.1583210912171556e-16;6.8699565363167570e-08;2.9377669143812789e-06;2.2870766001694358e-15;3.5540786761512363e-08
