Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
114550715;0.0000000000000000e+00;6.8973754767971618e-07;1.0098391922486070e-15;1.7799004645663459e-07;1.3192083112470377e-15;1.9453686097360525e-07
118773916;0.0000000000000000e+00;3.7764753917879094e-07;7.1040958106689761e-16;1.3577990151871797e-07;6.8139707257742781e-16;2.2658379284753730e-07
122997117;0.0000000000000000e+00;5.1872472169627390e-07;1.3136908505288065e-15;1.8012799836502411e-07;1.1518260332426656e-15;1.5302853669411965e-07
127220318;0.0000000000000000e+00;3.1554423821839204e-07;6.5615723988028277e-16;1.3879998119935250e-07;6.2762851348759851e-16;1.3772379503970249e-07
131443519;0.0000000000000000e+00;3.4622723966223523e-07;3.9470615837682684e-16;1.1061165777683571e-07;6.3589276687557642e-16;2.4967424546163691e-07
135666720;0.0000000000000000e+00;5.6886215866478853e-07;9.8243573904518921e-16;1.3473618643422970e-07;1.0092191817830426e-15;3.5773466297065744e-07
139889921;0.0000000000000000e+00;3.4511267272548722e-07;2.9696913170812878e-16;1.0205855299438884e-07;5.9396585747249402e-16;1.6938640933471757e-07
144113122;0.0000000000000000e+00;2.5277329556095397e-07;7.6359621610029394e-16;7.8884923876727282e-08;4.8738714143894712e-16;5.3748955036218807e-08
148336323;0.0000000000000000e+00;4.8203780937746492e-07;4.5392507196205569e-16;9.1157090247334834e-08;4.7209424625273682e-16;1.0841251011103295e-07
152559524;0.0000000000000000e+00;2.5870872615041685e-07;4.0566521081916270e-16;7.9190736961607553e-08;7.4891123814505486e-16;1.2022599537285050e-07
156782725;0.0000000000000000e+00;2.1666052766208745e-07;3.0127388855302079e-16;7.8033209457898744e-08;5.3080515324594246e-16;1.2737337575762144e-07
161005926;0.0000000000000000e+00;3.5334117665162995e-07;5.6137084219046985e-16;8.4840756193356658e-08;7.9776021527347750e-16;3.3076067884509679e-07
165229127;0.0000000000000000e+00;4.5812849007991313e-07;4.9489539697157241e-16;7.6301862300684169e-08;6.8214412326799832e-16;2.2979168211628612e-07
169452328;0.0000000000000000e+00;2.8016408574264327e-07;6.1143130063258876e-16;8.5212463976155147e-08;9.6689497459677721e-16;1.3570401712987203e-07
173675529;0.0000000000000000e+00;4.2376199690575702e-07;4.6487020508504923e-16;8.5796761651162419e-08;9.4341000895704392e-16;1.9114018736188489e-07
177898730;0.0000000000000000e+00;3.6185898445924507e-07;4.7436354022501442e-16;1.0090219584661711e-07;8.4159550130357966e-16;1.6292308044012852e-07
182121931;0.0000000000000000e+00;1.1004338960561186e-07;6.0078147723391406e-16;9.0485243755955823e-08;8.3520276090713871e-16;1.0173501165838847e-07
186345132;0.0000000000000000e+00;3.6770600983261187e-07;8.8563545485132522e-16;9.2734018537454450e-08;6.5659545947944922e-16;1.9759106805303889e-07
190568333;0.0000000000000000e+00;3.3939367340206431e-07;8.4934250980963825e-16;9.1020387964198705e-08;6.5217365857281211e-16;1.1040637316800626e-07
194791534;0.0000000000000000e+00;3.7324660741265964e-07;4.0890983646305358e-16;8.3592726953060440e-08;6.0058585330741523e-16;6.5479289546473434e-08
