Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
15204352;2.8620800375938416e-01;1.5260800719261169e-01;2.8633600473403931e-01;1.5488000214099884e-01;2.9222398996353149e-01;1.5731200575828552e-01;0.0000000000000000e+00;3.0537347247075718e-06;1.9088743057667616e-15;6.2147652060972381e-07;6.1671323724772300e-15;1.7550317718503100e-06
15728640;2.9583999514579773e-01;1.5756799280643463e-01;2.9609599709510803e-01;1.5910400450229645e-01;3.0140799283981323e-01;1.6223999857902527e-01;0.0000000000000000e+00;4.0419302468874144e-06;2.2553038806613927e-15;4.2530933659212491e-07;5.6382597016534819e-15;9.1401203116387671e-07
16252928;3.0508801341056824e-01;1.6204799711704254e-01;3.0524799227714539e-01;1.6374400258064270e-01;3.1136000156402588e-01;1.6672000288963318e-01;0.0000000000000000e+00;2.8939181696362303e-06;1.6191994694556067e-14;6.9323054511979347e-07;9.7762986835055489e-15;6.3249193627806678e-07
16777216;3.1420800089836121e-01;1.6649599373340607e-01;3.1449601054191589e-01;1.6847999393939972e-01;3.2070401310920715e-01;1.7113600671291351e-01;0.0000000000000000e+00;8.3910942687509201e-07;4.7613577228419441e-15;2.3544835377050986e-07;3.5710182921314585e-15;6.5202734322014010e-07
17301504;3.2335999608039856e-01;1.7136000096797943e-01;3.2368001341819763e-01;1.7363199591636658e-01;3.2982400059700012e-01;1.7606399953365326e-01;0.0000000000000000e+00;2.6927938203828663e-08;1.0755415586181346e-15;8.3434024837600956e-08;2.5095969701089805e-15;3.5802338010898424e-07
17825792;3.3305600285530090e-01;1.7584000527858734e-01;3.3305600285530090e-01;1.7776000499725342e-01;3.3961600065231323e-01;1.8073600530624390e-01;0.0000000000000000e+00;1.4925824452366410e-07;4.8936222988992612e-16;7.1683501663084097e-08;1.6312074329664203e-15;2.3683302674345019e-07
18350080;3.4214401245117188e-01;1.8054400384426117e-01;3.4291198849678040e-01;1.8278400599956512e-01;3.4825599193572998e-01;1.8582400679588318e-01;0.0000000000000000e+00;1.7183609886840535e-07;0.0000000000000000e+00;7.9097692816576613e-08;1.4764489465997900e-15;7.2669984360613342e-07
18874368;3.5161599516868591e-01;1.8489600718021393e-01;3.5158398747444153e-01;1.8671999871730804e-01;3.5763201117515564e-01;1.9008000195026398e-01;0.0000000000000000e+00;1.8222114848315120e-06;4.2299938232913683e-15;1.2969011507047366e-07;1.8661737455697215e-15;1.8801563509462016e-08
19398656;3.6076799035072327e-01;1.8963199853897095e-01;3.6137598752975464e-01;1.9139200448989868e-01;3.6745598912239075e-01;1.9465599954128265e-01;0.0000000000000000e+00;5.8856383916756024e-07;1.4869292843705231e-15;8.5972292110364301e-08;2.9738585687410463e-15;5.6371118514553471e-08
19922944;3.7014400959014893e-01;1.9404800236225128e-01;3.7036800384521484e-01;1.9519999623298645e-01;3.7596800923347473e-01;1.9929599761962891e-01;0.0000000000000000e+00;2.0000886212738158e-07;9.5193289135914654e-16;1.3845487605746833e-07;2.3118370218722129e-15;7.1107394167416356e-07
20447232;3.7951999902725220e-01;1.9875200092792511e-01;3.8003200292587280e-01;2.0105600357055664e-01;3.8566398620605469e-01;2.0412799715995789e-01;0.0000000000000000e+00;6.1386463674843556e-07;9.5702343649446946e-16;9.0384070241741032e-08;2.1054515602878329e-15;2.0282620062350755e-07
20971520;3.8892799615859985e-01;2.0342400670051575e-01;3.8921600580215454e-01;2.0559999346733093e-01;3.9542400836944580e-01;2.0902399718761444e-01;0.0000000000000000e+00;1.8634466938266644e-06;3.4614018482777481e-15;1.0063601390620893e-07;1.1538006160925828e-15;3.1484172125719751e-07
21495808;3.9824000000953674e-01;2.0800000429153442e-01;3.9868798851966858e-01;2.0969599485397339e-01;4.0460801124572754e-01;2.1379199624061584e-01;0.0000000000000000e+00;7.2923126750221596e-07;1.2342044239561981e-16;6.8692989687703156e-08;3.7026132718685943e-16;6.5898878118342435e-08
22020096;4.0720000863075256e-01;2.1267199516296387e-01;4.0822398662567139e-01;2.1471999585628510e-01;4.1372799873352051e-01;2.1788799762725830e-01;0.0000000000000000e+00;4.6360880907916791e-07;1.2803222845750742e-15;6.7715755616919487e-08;1.3967152195364446e-15;2.8624696463764340e-07
22544384;4.1734400391578674e-01;2.1734400093555450e-01;4.1721600294113159e-01;2.1907199919223785e-01;4.2275199294090271e-01;2.2294400632381439e-01;0.0000000000000000e+00;1.0882798199067140e-06;1.7817003561900898e-15;1.4666554703510329e-07;1.6629203324440839e-15;1.2711931481015823e-06
23068672;4.2604801058769226e-01;2.2188800573348999e-01;4.2656001448631287e-01;2.2351999580860138e-01;4.3283200263977051e-01;2.2790400683879852e-01;0.0000000000000000e+00;2.2759104936811339e-06;5.0649600841150662e-15;2.4299452658736456e-07;2.6262755991707752e-15;3.4260703334345011e-07
23592960;4.3561598658561707e-01;2.2687999904155731e-01;4.3584001064300537e-01;2.2873599827289581e-01;4.4211199879646301e-01;2.3283199965953827e-01;0.0000000000000000e+00;3.0390466158116676e-07;3.7195849110532803e-15;2.5545677122419302e-07;2.1979365383496657e-15;6.6698410584636916e-07
24117248;4.4547200202941895e-01;2.3113599419593811e-01;4.4527998566627502e-01;2.3308800160884857e-01;4.5120000839233398e-01;2.3763200640678406e-01;0.0000000000000000e+00;1.6527835034355704e-06;4.7040065094993774e-15;1.6819885353905646e-07;7.1500898944390538e-15;8.4464133869673294e-07
24641536;4.5459198951721191e-01;2.3603199422359467e-01;4.5471999049186707e-01;2.3798400163650513e-01;4.6000000834465027e-01;2.4169600009918213e-01;0.0000000000000000e+00;1.2460742476117542e-06;9.7689511812975895e-16;1.7008375341390782e-07;2.4422377953243978e-15;6.5092184884924454e-08
25165824;4.6345600485801697e-01;2.4060800671577454e-01;4.6396800875663757e-01;2.4246400594711304e-01;4.6956801414489746e-01;2.4630400538444519e-01;0.0000000000000000e+00;1.2192223092945301e-06;1.0877307707937716e-15;1.6662802310341778e-07;2.3308516517009392e-15;3.8497800797093705e-07
25690112;4.7321599721908569e-01;2.4550400674343109e-01;4.7347199916839600e-01;2.4726399779319763e-01;4.7945600748062134e-01;2.5152000784873962e-01;0.0000000000000000e+00;1.3130571275074856e-06;8.7663245207515813e-16;1.1624812599011797e-07;2.1915811301878954e-15;9.8858264595673712e-08
26214400;4.8281601071357727e-01;2.5040000677108765e-01;4.8284798860549927e-01;2.5180798768997192e-01;4.8851200938224792e-01;2.5615999102592468e-01;0.0000000000000000e+00;2.9388161171419420e-07;2.4060306320617812e-16;1.3927627088688062e-07;2.7669352268710483e-15;4.8115510412677270e-07
26738688;4.9177598953247070e-01;2.5529599189758301e-01;4.9203199148178101e-01;2.5667199492454529e-01;4.9811199307441711e-01;2.6134398579597473e-01;0.0000000000000000e+00;7.8497177637625569e-08;2.7794656425379132e-15;1.9632091848200883e-07;3.7059541900505508e-16;2.7745907822189165e-07
