Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
119000000;0.0000000000000000e+00;1.3061583591561138e-06;3.1646634628146725e-15;3.1242460848638284e-08;1.6580934380424321e-06;3.3827664686718109e-15;4.4119982547557476e-07
121000000;0.0000000000000000e+00;1.7968493405833130e-06;4.0991273542089568e-15;3.0691699655135510e-08;9.5056642153122530e-07;3.3096073172679753e-15;3.0658623591766850e-07
123000000;0.0000000000000000e+00;1.2821084528571293e-06;4.7413467205185335e-15;3.4432543406208028e-08;1.5403090827704893e-06;2.8695207182655023e-15;4.0294722729941661e-07
125000000;0.0000000000000000e+00;3.5535398418964585e-06;4.0028860500859974e-15;3.5159110290359009e-08;2.2305053860321753e-06;3.2874778726640013e-15;3.5839776782403731e-07
127000000;0.0000000000000000e+00;9.1322115648644962e-07;3.4791235516484067e-15;2.6917909415273236e-08;1.0174038932548053e-06;2.5632237209213911e-15;3.6390281115882588e-07
129000000;0.0000000000000000e+00;1.1603035933121197e-06;2.8379428236902625e-15;3.2079771010728489e-08;1.0591234879407772e-06;4.0137098290724064e-15;5.5723832131408885e-07
131000000;0.0000000000000000e+00;1.6052780495584041e-06;4.3660175355189959e-15;3.8009481453200039e-08;1.6408707049146305e-06;3.2664151619075876e-15;5.5580055001911470e-07
133000000;0.0000000000000000e+00;1.0389534022571133e-06;4.2096029412897070e-15;6.4571464192479058e-08;1.4199127145059376e-06;1.0121185606679531e-14;7.7063260468894302e-07
135000000;0.0000000000000000e+00;2.5114956240202337e-06;1.1328374979012387e-14;1.0159239187859340e-07;1.6729183087607534e-06;7.2239818841902390e-15;8.3829047914869998e-07
137000000;0.0000000000000000e+00;4.6121389693194490e-05;7.1804575177381380e-14;6.7491927813852275e-07;5.3542950187626257e-05;3.3575894484111589e-14;5.8648822294598273e-06
139000000;0.0000000000000000e+00;3.2752403096812345e-05;5.7482623803288035e-14;6.5695512057235346e-07;2.3920458805274956e-05;2.9251767250824414e-14;4.1785505799511728e-06
141000000;0.0000000000000000e+00;4.5145309124698696e-06;1.0381842669573492e-14;1.2081880415154581e-07;3.2905999427942114e-06;1.3265299225656799e-14;1.4009679244076466e-06
143000000;0.0000000000000000e+00;6.0123544827134415e-06;1.3035479285599370e-14;8.9818124153662104e-08;4.3513310693248720e-06;1.5710745132754532e-14;1.3848008191487851e-06
145000000;0.0000000000000000e+00;4.6738795259183891e-06;5.8215887860515668e-15;5.8709855784906327e-08;4.2454412415232038e-06;1.2394934321615270e-14;7.7548460308154341e-07
147000000;0.0000000000000000e+00;3.8108536531706951e-06;1.5520720150849462e-14;5.1420044640239052e-08;2.2853465063090517e-06;1.2677734791336436e-14;1.0574468393761686e-06
149000000;0.0000000000000000e+00;2.9080206035317332e-06;9.3057965588147567e-15;7.6956996248689447e-08;1.8879067732319171e-06;9.3283678125919383e-15;1.6656793486814677e-06
