Num Rows;GEMV fp64;GEMV fp32;GEMV Acc<fp64, fp64>;GEMV Acc<fp64, fp32>;CUBLAS GEMV fp64;CUBLAS GEMV fp32
3900;1.5641599893569946e-01;8.4448002278804779e-02;1.5638400614261627e-01;8.6464002728462219e-02;1.4771200716495514e-01;8.3999998867511749e-02
4000;1.5376000106334686e-01;8.5791997611522675e-02;1.5376000106334686e-01;8.4127999842166901e-02;1.5513600409030914e-01;8.7999999523162842e-02
4100;1.6198399662971497e-01;9.2511996626853943e-02;1.6223999857902527e-01;8.8544003665447235e-02;1.6470399498939514e-01;9.0783998370170593e-02
4200;1.6998399794101715e-01;9.3344002962112427e-02;1.6940799355506897e-01;9.1647997498512268e-02;1.7299200594425201e-01;9.5232002437114716e-02
4300;1.7763200402259827e-01;9.5072001218795776e-02;1.7779199779033661e-01;9.5583997666835785e-02;1.7948800325393677e-01;9.9200002849102020e-02
4400;1.8479999899864197e-01;9.8623998463153839e-02;1.8492799997329712e-01;9.9487997591495514e-02;1.8643200397491455e-01;1.0351999849081039e-01
4500;1.9299200177192688e-01;1.0265599936246872e-01;1.9276799261569977e-01;1.0345599800348282e-01;1.9587199389934540e-01;1.0710400342941284e-01
4600;2.0063999295234680e-01;1.0604800283908844e-01;2.0063999295234680e-01;1.0668800026178360e-01;2.0175999402999878e-01;1.1055999994277954e-01
4700;2.1078400313854218e-01;1.1203200370073318e-01;2.1199999749660492e-01;1.1260800063610077e-01;2.1036800742149353e-01;1.1417599767446518e-01
4800;2.1827200055122375e-01;1.1619199812412262e-01;2.1846400201320648e-01;1.1708799749612808e-01;2.1884800493717194e-01;1.1935999989509583e-01
4900;2.2761599719524384e-01;1.2115199863910675e-01;2.2710399329662323e-01;1.2163200229406357e-01;2.3004800081253052e-01;1.2432000041007996e-01
5000;2.3558400571346283e-01;1.2518399953842163e-01;2.3555199801921844e-01;1.2559999525547028e-01;2.3750400543212891e-01;1.2943999469280243e-01
5100;2.4489599466323853e-01;1.2950399518013000e-01;2.4476799368858337e-01;1.2899200618267059e-01;2.4723200500011444e-01;1.3369600474834442e-01
5200;2.5420799851417542e-01;1.3353599607944489e-01;2.5382399559020996e-01;1.3443200290203094e-01;2.5734400749206543e-01;1.3910399377346039e-01
5300;2.6323199272155762e-01;1.3868799805641174e-01;2.6313599944114685e-01;1.3935999572277069e-01;2.6550400257110596e-01;1.4364799857139587e-01
5400;2.7279999852180481e-01;1.4323200285434723e-01;2.7244800329208374e-01;1.4406399428844452e-01;2.7638399600982666e-01;1.4796799421310425e-01
5500;2.8240001201629639e-01;1.4720000326633453e-01;2.8268799185752869e-01;1.4787200093269348e-01;2.8527998924255371e-01;1.5203200280666351e-01
5600;2.9171198606491089e-01;1.5206399559974670e-01;2.9158401489257812e-01;1.5260800719261169e-01;2.9471999406814575e-01;1.5619200468063354e-01
5700;3.0441600084304810e-01;1.5948800742626190e-01;3.0451199412345886e-01;1.6016000509262085e-01;3.0550399422645569e-01;1.6166399419307709e-01
5800;3.1488001346588135e-01;1.6476799547672272e-01;3.1545600295066833e-01;1.6512000560760498e-01;3.4668800234794617e-01;1.6838400065898895e-01
