Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
99000000;0.0000000000000000e+00;1.7637431775552080e-06;1.5946397954354724e-15;2.1754483253452258e-07;7.2812349655867588e-15;2.6473335181495925e-07
101000000;0.0000000000000000e+00;1.9626778576790001e-06;2.2304013813543529e-15;3.1436766031686905e-07;9.1969401255464762e-15;3.8984500567423346e-07
103000000;0.0000000000000000e+00;1.6643379067894552e-06;3.0253107163670720e-15;3.1042849378364031e-07;7.3403938851757214e-15;2.7616759590704965e-07
105000000;0.0000000000000000e+00;1.4221723681732113e-06;2.3810805456852984e-15;2.3578507564150800e-07;6.0539024428238345e-15;2.2148179209081253e-07
107000000;0.0000000000000000e+00;1.7920536066996579e-06;1.5397047501065894e-15;2.3590409871519394e-07;6.1409966544903178e-15;2.2326468088013554e-07
109000000;0.0000000000000000e+00;4.7942428314252516e-07;2.4446298139952922e-15;2.0807923758341962e-07;6.6708276984522573e-15;1.8042942548805174e-07
111000000;0.0000000000000000e+00;1.2669217595913575e-06;1.4775090525389754e-15;1.8807183831557540e-07;5.7054182961312445e-15;2.6176029601759319e-07
113000000;0.0000000000000000e+00;1.2383901170064217e-06;2.5873690650733635e-15;1.8673203786879548e-07;5.0477763251968816e-15;3.7648178661326134e-07
115000000;0.0000000000000000e+00;1.5769317940214727e-06;1.7793470511944251e-15;1.6998278032575459e-07;4.6262467808926856e-15;2.7770287345256361e-07
117000000;0.0000000000000000e+00;1.2176302937698353e-06;1.0803516471154713e-15;1.4139686907965274e-07;3.4962364566361338e-15;1.6006726120957842e-07
119000000;0.0000000000000000e+00;1.0116295514358331e-06;9.6278234928468480e-16;1.4661595661859456e-07;3.2453424588983190e-15;3.6344842461287597e-07
121000000;0.0000000000000000e+00;1.0911568258091568e-06;9.8188886262625884e-16;1.4523726012019277e-07;3.2142383436501405e-15;3.2141196522033540e-07
123000000;0.0000000000000000e+00;1.7584822919008085e-06;1.7036709020492573e-15;1.7972687628565581e-07;2.6366029365608869e-15;3.9755609440591062e-07
125000000;0.0000000000000000e+00;1.1411943852058172e-06;1.1159592429675802e-15;1.5399496069201073e-07;2.6543232070782638e-15;4.0983669387650778e-07
127000000;0.0000000000000000e+00;1.3079315463353146e-06;1.4099166044952790e-15;1.3438427231924132e-07;2.6418532280714094e-15;1.7385760123901036e-07
129000000;0.0000000000000000e+00;1.1622256114572433e-06;1.1423502104539181e-15;1.0724247680552633e-07;2.5598806616886794e-15;1.0751142162302523e-07
