Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
42756298;7.7961599826812744e-01;4.0025600790977478e-01;7.7926397323608398e-01;4.0259200334548950e-01;7.8553599119186401e-01;4.0540799498558044e-01;0.0000000000000000e+00;6.6995023623283331e-07;1.3915878663636455e-15;1.0646288585831092e-07;7.5904792710744295e-16;9.2343518969707768e-09
46979499;8.5500800609588623e-01;4.3721601366996765e-01;8.5532802343368530e-01;4.4060799479484558e-01;8.5884797573089600e-01;4.4336000084877014e-01;0.0000000000000000e+00;7.0271211885461329e-08;1.1509937724638935e-15;8.8138268806341244e-08;1.1509937724638935e-16;7.0271211885461329e-08
51202700;9.2940801382064819e-01;4.7577598690986633e-01;9.3084800243377686e-01;4.7910401225090027e-01;9.3740797042846680e-01;4.8099198937416077e-01;0.0000000000000000e+00;7.7221496580864442e-07;1.9522466869681606e-15;1.4329612626773446e-07;1.7747697154256007e-16;3.7117171704398276e-07
55425901;1.0065280199050903e+00;5.1455998420715332e-01;1.0063040256500244e+00;5.1712000370025635e-01;1.0107200145721436e+00;5.2025598287582397e-01;0.0000000000000000e+00;5.5926049870882973e-07;1.8950507385230044e-15;9.3312008211548541e-08;8.4224477267689080e-16;5.9604003340141386e-09
59649102;1.0815360546112061e+00;5.5222398042678833e-01;1.0827840566635132e+00;5.5536001920700073e-01;1.0860160589218140e+00;5.5657601356506348e-01;0.0000000000000000e+00;8.8890799737833931e-07;1.8688561051632375e-15;1.3977235067776272e-07;0.0000000000000000e+00;2.5775998156538087e-07
63872303;1.1566400527954102e+00;5.8934402465820312e-01;1.1568000316619873e+00;5.9465599060058594e-01;1.1653759479522705e+00;5.9676802158355713e-01;0.0000000000000000e+00;2.0940495243050399e-07;7.5773820686490770e-16;2.2261066974005173e-07;3.7886910343245385e-16;8.1961635569571548e-07
68095504;1.2316800355911255e+00;6.2927997112274170e-01;1.2320319414138794e+00;6.3321602344512939e-01;1.2394560575485229e+00;6.3420802354812622e-01;0.0000000000000000e+00;2.8240538717530185e-06;5.0226476173812746e-15;1.6985446944462479e-06;1.5524547180996667e-14;1.0164349200321713e-06
72318705;1.3065600395202637e+00;6.6566401720046997e-01;1.3081279993057251e+00;6.7129600048065186e-01;1.3153920173645020e+00;6.7151999473571777e-01;0.0000000000000000e+00;1.0340944773486194e-06;5.9617431887477028e-16;2.4328219316170410e-07;5.6636560293103180e-15;8.6145798649849108e-08
76541906;1.3833279609680176e+00;7.0566397905349731e-01;1.3836480379104614e+00;7.1011197566986084e-01;1.3915200233459473e+00;7.1052801609039307e-01;0.0000000000000000e+00;2.0793303122634009e-07;9.6022773561111757e-16;3.1546774407890035e-07;1.9204554712222351e-15;2.0448164088984833e-07
80765107;1.4576959609985352e+00;7.4201601743698120e-01;1.4594559669494629e+00;7.4585598707199097e-01;1.4627200365066528e+00;7.4896001815795898e-01;0.0000000000000000e+00;7.6776364846497867e-06;1.1619331725276545e-14;3.5272265218909637e-06;1.4131619665876879e-14;4.2214022950907345e-06
