Num rows;TRSV fp64;TRSV fp32;TRSV Acc<fp64, fp64>;TRSV Acc<fp64, fp32>;TRSV Acc<fp32, fp32>;CUBLAS TRSV fp64;CUBLAS TRSV fp32
1300;+1.5727999806404114e-01;+1.5638400614261627e-01;+1.7903999984264374e-01;+1.4499199390411377e-01;+1.5651200711727142e-01;+1.5052799880504608e-01;+1.2841600179672241e-01
1350;+1.6326400637626648e-01;+1.6361600160598755e-01;+1.8656000494956970e-01;+1.5078400075435638e-01;+1.6348800063133240e-01;+1.5804800391197205e-01;+1.3532799482345581e-01
1400;+1.6857600212097168e-01;+1.6767999529838562e-01;+1.9270400702953339e-01;+1.5363200008869171e-01;+1.6716800630092621e-01;+1.6079999506473541e-01;+1.3820800185203552e-01
1450;+1.7395199835300446e-01;+1.7599999904632568e-01;+1.9814400374889374e-01;+1.6076800227165222e-01;+1.7577600479125977e-01;+1.6937600076198578e-01;+1.4524799585342407e-01
1500;+1.7744000256061554e-01;+1.8326400220394135e-01;+2.0329600572586060e-01;+1.6547200083732605e-01;+1.8310399353504181e-01;+1.7046399414539337e-01;+1.5039999783039093e-01
1550;+1.8160000443458557e-01;+1.9363200664520264e-01;+2.0815999805927277e-01;+1.7369599640369415e-01;+1.9510400295257568e-01;+1.7878399789333344e-01;+1.5894399583339691e-01
1600;+1.8486399948596954e-01;+2.0473599433898926e-01;+2.1212799847126007e-01;+1.7839999496936798e-01;+2.0473599433898926e-01;+1.8102400004863739e-01;+1.6569599509239197e-01
1650;+1.8867200613021851e-01;+2.1926400065422058e-01;+2.1753600239753723e-01;+1.8697600066661835e-01;+2.1948799490928650e-01;+1.8758399784564972e-01;+1.7491200566291809e-01
1700;+1.9414399564266205e-01;+2.3216000199317932e-01;+2.2380800545215607e-01;+1.9321599602699280e-01;+2.3168000578880310e-01;+1.9580799341201782e-01;+1.8294399976730347e-01
1750;+1.9625599682331085e-01;+2.4400000274181366e-01;+2.2784000635147095e-01;+1.9964799284934998e-01;+2.4495999515056610e-01;+1.9769600033760071e-01;+1.8799999356269836e-01
1800;+2.0224000513553619e-01;+2.5580799579620361e-01;+2.3216000199317932e-01;+2.0588800311088562e-01;+2.5584000349044800e-01;+2.0479999482631683e-01;+1.9820800423622131e-01
1850;+2.0553599298000336e-01;+2.6611199975013733e-01;+2.3753599822521210e-01;+2.1142399311065674e-01;+2.6579201221466064e-01;+2.0780800282955170e-01;+2.0265600085258484e-01
1900;+2.0985600352287292e-01;+2.7596798539161682e-01;+2.4211199581623077e-01;+2.1747200191020966e-01;+2.7459201216697693e-01;+2.1622399985790253e-01;+2.0972800254821777e-01
1950;+2.1139200031757355e-01;+2.8291198611259460e-01;+2.4668799340724945e-01;+2.2208000719547272e-01;+2.8297600150108337e-01;+2.1667200326919556e-01;+2.1363200247287750e-01
