Random iter;Vector Size;ResultDOT fp64;ResultDOT fp32;ResultDOT Acc<fp64, fp64>;ResultDOT Acc<fp64, fp32>;ResultDOT Acc<fp32, fp32>;ResultCUBLAS DOT fp64;ResultCUBLAS DOT fp32
7;3000000;-6.0533119194239441e+02;-6.0533172607421875e+02;-6.0533119194239453e+02;-6.0533117675781250e+02;-6.0533166503906250e+02;-6.0533119194239362e+02;-6.0533117675781250e+02
8;3000000;-1.5638415928812458e+03;-1.5638421630859375e+03;-1.5638415928812451e+03;-1.5638415527343750e+03;-1.5638422851562500e+03;-1.5638415928812492e+03;-1.5638415527343750e+03
9;3000000;-4.6512782532297228e+02;-4.6512731933593750e+02;-4.6512782532297274e+02;-4.6512783813476562e+02;-4.6512741088867188e+02;-4.6512782532297240e+02;-4.6512774658203125e+02
0;5000000;-5.2618484628318618e+02;-5.2618383789062500e+02;-5.2618484628318583e+02;-5.2618487548828125e+02;-5.2618493652343750e+02;-5.2618484628318583e+02;-5.2618493652343750e+02
1;5000000;-2.4796337479840045e+02;-2.4796415710449219e+02;-2.4796337479840051e+02;-2.4796339416503906e+02;-2.4796360778808594e+02;-2.4796337479840111e+02;-2.4796328735351562e+02
2;5000000;-4.2642558151903032e+01;-4.2642333984375000e+01;-4.2642558151902875e+01;-4.2642585754394531e+01;-4.2643146514892578e+01;-4.2642558151903245e+01;-4.2642517089843750e+01
3;5000000;-5.2387897317160605e+02;-5.2387908935546875e+02;-5.2387897317160650e+02;-5.2387902832031250e+02;-5.2387835693359375e+02;-5.2387897317160650e+02;-5.2387908935546875e+02
4;5000000;3.2485659551433338e+02;3.2485656738281250e+02;3.2485659551433361e+02;3.2485656738281250e+02;3.2485620117187500e+02;3.2485659551433349e+02;3.2485656738281250e+02
5;5000000;-8.2351640277107640e+02;-8.2351580810546875e+02;-8.2351640277107651e+02;-8.2351635742187500e+02;-8.2351556396484375e+02;-8.2351640277107640e+02;-8.2351641845703125e+02
6;5000000;8.3490047063507177e+01;8.3490547180175781e+01;8.3490047063507674e+01;8.3490058898925781e+01;8.3491065979003906e+01;8.3490047063507234e+01;8.3489959716796875e+01
7;5000000;-7.6738879328037490e+02;-7.6738873291015625e+02;-7.6738879328037535e+02;-7.6738879394531250e+02;-7.6738891601562500e+02;-7.6738879328037547e+02;-7.6738897705078125e+02
8;5000000;-2.0659656054888023e+03;-2.0659658203125000e+03;-2.0659656054888014e+03;-2.0659655761718750e+03;-2.0659663085937500e+03;-2.0659656054888051e+03;-2.0659658203125000e+03
9;5000000;-5.9047859449458463e+02;-5.9047888183593750e+02;-5.9047859449458429e+02;-5.9047857666015625e+02;-5.9047912597656250e+02;-5.9047859449458360e+02;-5.9047839355468750e+02
0;7000000;-4.1449844997124177e+02;-4.1449853515625000e+02;-4.1449844997124222e+02;-4.1449844360351562e+02;-4.1449752807617188e+02;-4.1449844997123944e+02;-4.1449859619140625e+02
1;7000000;-8.8941545135573108e+02;-8.8941455078125000e+02;-8.8941545135573142e+02;-8.8941546630859375e+02;-8.8941473388671875e+02;-8.8941545135573062e+02;-8.8941534423828125e+02
