Num rows;Error TRSV fp64;Error TRSV fp32;Error TRSV Acc<fp64, fp64>;Error TRSV Acc<fp64, fp32>;Error TRSV Acc<fp32, fp32>;Error CUBLAS TRSV fp64;Error CUBLAS TRSV fp32
700;+0.0000000000000000e+00;+1.1253981563698653e-06;+0.0000000000000000e+00;+3.5326746331858042e-07;+1.1253981563698653e-06;+2.4120606197651520e-15;+1.0084465207965355e-06
750;+0.0000000000000000e+00;+1.1746327834954107e-06;+0.0000000000000000e+00;+3.7411084370946092e-07;+1.1746327834954107e-06;+2.6901368699982358e-15;+1.0469363571891195e-06
800;+0.0000000000000000e+00;+1.2301917705882668e-06;+0.0000000000000000e+00;+3.9111696492483877e-07;+1.2301917705882668e-06;+2.7945672045031735e-15;+1.0937810091662622e-06
850;+0.0000000000000000e+00;+1.2781808914786652e-06;+0.0000000000000000e+00;+4.1000431068143600e-07;+1.2781808914786652e-06;+3.0599080364594775e-15;+1.1493368985161886e-06
900;+0.0000000000000000e+00;+1.3759073152999447e-06;+0.0000000000000000e+00;+4.2993533304930807e-07;+1.3759073152999447e-06;+3.3011055389931000e-15;+1.2014920958309030e-06
950;+0.0000000000000000e+00;+1.4648809904810925e-06;+0.0000000000000000e+00;+4.5476382847241457e-07;+1.4648809904810925e-06;+3.3738383693615637e-15;+1.2552361123389862e-06
1000;+0.0000000000000000e+00;+1.5424888614077278e-06;+0.0000000000000000e+00;+4.7585306019518672e-07;+1.5424888614077278e-06;+3.4611146701143374e-15;+1.2937257154533424e-06
1050;+0.0000000000000000e+00;+1.6308381630301090e-06;+0.0000000000000000e+00;+5.0271091001624043e-07;+1.6308381630301090e-06;+3.5398989473052042e-15;+1.3910001375631080e-06
1100;+0.0000000000000000e+00;+1.7324129582930460e-06;+0.0000000000000000e+00;+5.2124786629168922e-07;+1.7324129582930460e-06;+3.8499810217117360e-15;+1.4956604518585786e-06
1150;+0.0000000000000000e+00;+1.8121555697448436e-06;+0.0000000000000000e+00;+5.4104914370863587e-07;+1.8121555697448436e-06;+4.1403262588093721e-15;+1.5772874110335432e-06
1200;+0.0000000000000000e+00;+1.8772362613099837e-06;+0.0000000000000000e+00;+5.6000424631927740e-07;+1.8772362613099837e-06;+4.2936147585001032e-15;+1.6591327132726230e-06
1250;+0.0000000000000000e+00;+1.9680879957536954e-06;+0.0000000000000000e+00;+5.7090694132130330e-07;+1.9680879957536954e-06;+4.5869776845506844e-15;+1.7317073808192458e-06
1300;+0.0000000000000000e+00;+2.1002571187042847e-06;+0.0000000000000000e+00;+5.9246737639154465e-07;+2.1002571187042847e-06;+4.8603693775350075e-15;+1.8437423266654683e-06
1350;+0.0000000000000000e+00;+2.1904516854195193e-06;+0.0000000000000000e+00;+6.2352297809562236e-07;+2.1904516854195193e-06;+5.1109378150502502e-15;+1.9286740959742120e-06
1400;+0.0000000000000000e+00;+2.2647126926806956e-06;+0.0000000000000000e+00;+6.4157021198385912e-07;+2.2647126926806956e-06;+5.3366276528737900e-15;+2.0112597551329811e-06
1450;+0.0000000000000000e+00;+2.3332612234742341e-06;+0.0000000000000000e+00;+6.6089294387757930e-07;+2.3332612234742341e-06;+5.6108565923760195e-15;+2.1116484563351140e-06
1500;+0.0000000000000000e+00;+2.4071671921391908e-06;+0.0000000000000000e+00;+6.7179844610396042e-07;+2.4071671921391908e-06;+5.8348259817973298e-15;+2.1966971528192663e-06
1550;+0.0000000000000000e+00;+2.5250663768575524e-06;+0.0000000000000000e+00;+6.8634894684401941e-07;+2.5250663768575524e-06;+6.1564054332448147e-15;+2.3088084328870535e-06
1600;+0.0000000000000000e+00;+2.6726542706265365e-06;+0.0000000000000000e+00;+7.0144078644578603e-07;+2.6726542706265365e-06;+6.3658775923317305e-15;+2.4004132196995968e-06
1650;+0.0000000000000000e+00;+2.7834181273082333e-06;+0.0000000000000000e+00;+7.1369379928557483e-07;+2.7834181273082333e-06;+6.6058980420996770e-15;+2.5482123342893639e-06
1700;+0.0000000000000000e+00;+2.8549245661269210e-06;+0.0000000000000000e+00;+7.3386203484185144e-07;+2.8549245661269210e-06;+6.7757959870042314e-15;+2.6420563121212117e-06
1750;+0.0000000000000000e+00;+2.9411808244353607e-06;+0.0000000000000000e+00;+7.4663781451205040e-07;+2.9411808244353607e-06;+7.0382083290150890e-15;+2.7064975161212872e-06
1800;+0.0000000000000000e+00;+3.0295324700587242e-06;+0.0000000000000000e+00;+7.5957754293149786e-07;+3.0295324700587242e-06;+7.1812418175886900e-15;+2.8050398130631215e-06
1850;+0.0000000000000000e+00;+3.1373936555055692e-06;+0.0000000000000000e+00;+7.8769860052495174e-07;+3.1373936555055692e-06;+7.4914763046251095e-15;+2.9100568518023636e-06
1900;+0.0000000000000000e+00;+3.2208026023083095e-06;+0.0000000000000000e+00;+8.0313014757163424e-07;+3.2208026023083095e-06;+7.7387183438532676e-15;+2.9798334356378743e-06
1950;+0.0000000000000000e+00;+3.2900293847757548e-06;+0.0000000000000000e+00;+8.2542441028733676e-07;+3.2900293847757548e-06;+8.1146252061951645e-15;+3.0907625778273795e-06
2000;+0.0000000000000000e+00;+3.3725890413237962e-06;+0.0000000000000000e+00;+8.3979365090501398e-07;+3.3725890413237962e-06;+8.4626424599611756e-15;+3.1898603199653841e-06
2050;+0.0000000000000000e+00;+3.4636505800345321e-06;+0.0000000000000000e+00;+8.6090245320600889e-07;+3.4636505800345321e-06;+8.6401160675236816e-15;+3.2901442560574725e-06
2100;+0.0000000000000000e+00;+3.5555955804064428e-06;+0.0000000000000000e+00;+8.7932780098717448e-07;+3.5555955804064428e-06;+8.9634974248621366e-15;+3.3508489425034057e-06
2150;+0.0000000000000000e+00;+3.6236833552793718e-06;+0.0000000000000000e+00;+8.9540823469811846e-07;+3.6236833552793718e-06;+9.1802151814859181e-15;+3.4438083486787133e-06
2200;+0.0000000000000000e+00;+3.7394028838024851e-06;+0.0000000000000000e+00;+9.1874592108726950e-07;+3.7394028838024851e-06;+9.6208358913052574e-15;+3.5576320067840496e-06
2250;+0.0000000000000000e+00;+3.8142066063753443e-06;+0.0000000000000000e+00;+9.3837110644700956e-07;+3.8142066063753443e-06;+9.9846300282645248e-15;+3.6628446337272374e-06
2300;+0.0000000000000000e+00;+3.9147733547595267e-06;+0.0000000000000000e+00;+9.5304887588246695e-07;+3.9147733547595267e-06;+1.0280383514523508e-14;+3.7503575170790986e-06
2350;+0.0000000000000000e+00;+3.9930449122709794e-06;+0.0000000000000000e+00;+9.6636777861687819e-07;+3.9930449122709794e-06;+1.0451746285256441e-14;+3.8596946519170799e-06
2400;+0.0000000000000000e+00;+4.0899805580527437e-06;+0.0000000000000000e+00;+1.0028526022757950e-06;+4.0899805580527437e-06;+1.0622501624670953e-14;+3.9775987084884439e-06
2450;+0.0000000000000000e+00;+4.1824425281790688e-06;+0.0000000000000000e+00;+1.0352333889009797e-06;+4.1824425281790688e-06;+1.0959979329336048e-14;+4.1350090665500825e-06
