Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
59649102;1.0813440084457397e+00;5.5091202259063721e-01;1.0823680162429810e+00;5.5500799417495728e-01;1.0885119438171387e+00;5.5808001756668091e-01;0.0000000000000000e+00;2.8166578385753887e-07;1.2491407582044746e-16;1.8804564974010161e-12;4.9965630328178984e-16;1.3414848628095745e-08
63872303;1.1571199893951416e+00;5.8880001306533813e-01;1.1571199893951416e+00;5.9289598464965820e-01;1.1642880439758301e+00;5.9596800804138184e-01;0.0000000000000000e+00;1.6809024886755903e-06;3.4996733918016189e-16;3.0075026571345844e-12;5.8327889863360316e-16;1.0083072327211261e-08
68095504;1.2318719625473022e+00;6.2771201133728027e-01;1.2328959703445435e+00;6.3078397512435913e-01;1.2390400171279907e+00;6.3488000631332397e-01;0.0000000000000000e+00;7.1736357037640522e-09;0.0000000000000000e+00;1.4272574329464289e-12;8.7534954489201401e-16;7.1736357037640522e-09
72318705;1.3076479434967041e+00;6.6560000181198120e-01;1.3076479434967041e+00;6.7071998119354248e-01;1.3158400058746338e+00;6.7174398899078369e-01;0.0000000000000000e+00;1.2271233288715914e-06;0.0000000000000000e+00;3.3029835889629321e-12;8.2420052126336426e-16;1.0277793687362492e-08
76541906;1.3834240436553955e+00;7.0246398448944092e-01;1.3844480514526367e+00;7.0860797166824341e-01;1.3916159868240356e+00;7.0963197946548462e-01;0.0000000000000000e+00;4.2555766213972634e-07;0.0000000000000000e+00;3.5708825971113655e-12;1.7521504401920342e-15;9.7041562741995213e-08
80765107;1.4581760168075562e+00;7.4239999055862427e-01;1.4592000246047974e+00;7.4854397773742676e-01;1.4653439521789551e+00;7.5059199333190918e-01;0.0000000000000000e+00;2.8215665134608602e-07;3.6901578376843716e-16;1.9845668851066552e-12;1.8450789188421858e-16;1.5014109215147487e-08
84988308;1.5339519977569580e+00;7.8028798103332520e-01;1.5339519977569580e+00;7.8745597600936890e-01;1.5431679487228394e+00;7.8847998380661011e-01;0.0000000000000000e+00;4.4551919578978016e-07;1.7533659611920874e-16;3.1493959394932274e-12;8.7668298059604371e-16;2.5146395537696107e-08
89211509;1.6087039709091187e+00;8.1612801551818848e-01;1.6087039709091187e+00;8.2534402608871460e-01;1.6168960332870483e+00;8.2739198207855225e-01;0.0000000000000000e+00;8.6016516491749914e-08;1.6703680837125199e-16;2.4313877826519438e-12;8.3518404185625988e-16;3.6606871560933710e-09
93434710;1.6824320554733276e+00;8.5606402158737183e-01;1.6855039596557617e+00;8.6425602436065674e-01;1.6936960220336914e+00;8.6630398035049438e-01;0.0000000000000000e+00;9.1138293001121131e-07;0.0000000000000000e+00;1.2518299214470192e-12;1.5948909688457373e-15;3.0492695872040734e-08
97657911;1.7592320442199707e+00;8.9600002765655518e-01;1.7612799406051636e+00;9.0316802263259888e-01;1.7674239873886108e+00;9.0316802263259888e-01;0.0000000000000000e+00;4.9709443838441165e-08;3.0518690307487450e-16;1.4209502207166157e-12;1.2207476122994980e-15;4.9709443838441165e-08
101881112;1.8360320329666138e+00;9.3184000253677368e-01;1.8370560407638550e+00;9.4310402870178223e-01;1.8472959995269775e+00;9.4105601310729980e-01;0.0000000000000000e+00;1.1926768411194191e-06;2.9253684310253792e-16;1.7616568691634835e-12;0.0000000000000000e+00;1.4767927993965761e-08
106104313;1.9118080139160156e+00;9.6972799301147461e-01;1.9107840061187744e+00;9.8099201917648315e-01;1.9220479726791382e+00;9.7894400358200073e-01;0.0000000000000000e+00;9.3084856444505645e-07;0.0000000000000000e+00;2.3778473835879205e-12;4.2133023157307669e-16;4.9351200158782084e-08
