Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
+9100;+0.0000000000000000e+00;+1.2052355796722574e-07;+0.0000000000000000e+00;+4.0085544787861832e-08;+1.2052355796722574e-07;+8.1373760304956421e-16;+1.5582722580055406e-07
+9200;+0.0000000000000000e+00;+1.2142903814271992e-07;+0.0000000000000000e+00;+3.9729801313858998e-08;+1.2142903814271992e-07;+8.1416502680510415e-16;+1.5667993626814663e-07
+9300;+0.0000000000000000e+00;+1.2039293738259906e-07;+0.0000000000000000e+00;+4.0121981982881525e-08;+1.2039293738259906e-07;+8.2420845716272037e-16;+1.5811324636964126e-07
+9400;+0.0000000000000000e+00;+1.2103256428736159e-07;+0.0000000000000000e+00;+3.9657452773740425e-08;+1.2103256428736159e-07;+8.3132374809892300e-16;+1.5803611482681799e-07
+9500;+0.0000000000000000e+00;+1.2164121790795099e-07;+0.0000000000000000e+00;+4.0142101382529587e-08;+1.2164121790795099e-07;+8.3458469214331495e-16;+1.5877006131204593e-07
+9600;+0.0000000000000000e+00;+1.2139460276956953e-07;+0.0000000000000000e+00;+4.0152466400707469e-08;+1.2139460276956953e-07;+8.3821315095022240e-16;+1.5647039311954604e-07
+9700;+0.0000000000000000e+00;+1.2338694054076832e-07;+0.0000000000000000e+00;+4.0188758873899309e-08;+1.2338694054076832e-07;+8.4336686050742779e-16;+1.5639750099434572e-07
+9800;+0.0000000000000000e+00;+1.2092531530807254e-07;+0.0000000000000000e+00;+3.9963382299819403e-08;+1.2092531530807254e-07;+8.4452482774845123e-16;+1.5975999198962604e-07
+9900;+0.0000000000000000e+00;+1.2311725773595851e-07;+0.0000000000000000e+00;+4.0026151432497838e-08;+1.2311725773595851e-07;+8.5773026442354876e-16;+1.6088702170521782e-07
+10000;+0.0000000000000000e+00;+1.2369936752653851e-07;+0.0000000000000000e+00;+4.0106357808155194e-08;+1.2369936752653851e-07;+8.6639973745312133e-16;+1.6048899916500985e-07
+10100;+0.0000000000000000e+00;+1.2243339471791055e-07;+0.0000000000000000e+00;+4.0105089089580874e-08;+1.2243339471791055e-07;+8.6376743376860351e-16;+4.5489585450658041e-07
+10200;+0.0000000000000000e+00;+1.2256090226441274e-07;+0.0000000000000000e+00;+4.0221561679394231e-08;+1.2256090226441274e-07;+8.6886144292727430e-16;+4.5791876214220484e-07
