Num rows;Error GEMV fp64;Error GEMV fp32;Error GEMV Acc<fp64, fp64>;Error GEMV Acc<fp64, fp32>;Error GEMV Acc<fp32, fp32>;Error CUBLAS GEMV fp64;Error CUBLAS GEMV fp32
+10300;+0.0000000000000000e+00;+1.2366366264165817e-07;+0.0000000000000000e+00;+4.0914542753007472e-08;+1.2366366264165817e-07;+8.7725329362757175e-16;+3.3286651435343143e-07
+10400;+0.0000000000000000e+00;+1.2349679466119988e-07;+0.0000000000000000e+00;+3.9897615809822556e-08;+1.2349679466119988e-07;+8.7375704066624250e-16;+3.3419879620744492e-07
+10500;+0.0000000000000000e+00;+1.2412887163315911e-07;+0.0000000000000000e+00;+3.9778138764095853e-08;+1.2412887163315911e-07;+8.7957092179285359e-16;+3.3603165256307742e-07
+10600;+0.0000000000000000e+00;+1.2455004051751516e-07;+0.0000000000000000e+00;+4.0129110741770730e-08;+1.2455004051751516e-07;+8.8557513335838832e-16;+3.3728527525012987e-07
+10700;+0.0000000000000000e+00;+1.2628046327149402e-07;+0.0000000000000000e+00;+4.0383118178301735e-08;+1.2628046327149402e-07;+8.8488873089346258e-16;+3.3990453318858855e-07
+10800;+0.0000000000000000e+00;+1.2495962566418380e-07;+0.0000000000000000e+00;+4.0216483647271998e-08;+1.2495962566418380e-07;+8.9272233232298022e-16;+3.4138731626031029e-07
+10900;+0.0000000000000000e+00;+1.2528626402791117e-07;+0.0000000000000000e+00;+3.9951597023694225e-08;+1.2528626402791117e-07;+8.8947159097292498e-16;+4.6896675487316198e-07
+11000;+0.0000000000000000e+00;+1.2569871206147811e-07;+0.0000000000000000e+00;+4.0159255462654975e-08;+1.2569871206147811e-07;+8.9502634896894256e-16;+3.4395442077565454e-07
+11100;+0.0000000000000000e+00;+1.2537454994120035e-07;+0.0000000000000000e+00;+3.9483852767099133e-08;+1.2537454994120035e-07;+8.9432962153379148e-16;+3.4540527714332956e-07
+11200;+0.0000000000000000e+00;+1.2557096637429707e-07;+0.0000000000000000e+00;+3.9697150290136045e-08;+1.2557096637429707e-07;+9.0070751435182282e-16;+3.4669884803584750e-07
+11300;+0.0000000000000000e+00;+1.2611287032591948e-07;+0.0000000000000000e+00;+3.9944478643441025e-08;+1.2611287032591948e-07;+9.0457300876841840e-16;+3.4778537930009375e-07
+11400;+0.0000000000000000e+00;+1.2633268695809289e-07;+0.0000000000000000e+00;+4.0149824594684444e-08;+1.2633268695809289e-07;+9.0479860979117539e-16;+3.4968166778698689e-07
+11500;+0.0000000000000000e+00;+1.2686819601937754e-07;+0.0000000000000000e+00;+4.0081323958345068e-08;+1.2686819601937754e-07;+9.1519980125997436e-16;+3.5114755838545812e-07
+11600;+0.0000000000000000e+00;+1.2513115104843835e-07;+0.0000000000000000e+00;+3.9966048813004111e-08;+1.2513115104843835e-07;+9.1670526729011796e-16;+1.5975118446775522e-07
+11700;+0.0000000000000000e+00;+1.2675677471944382e-07;+0.0000000000000000e+00;+3.9978109461412199e-08;+1.2675677471944382e-07;+9.2369268439309808e-16;+1.6061451232215677e-07
+11800;+0.0000000000000000e+00;+1.2575904551964827e-07;+0.0000000000000000e+00;+3.9692525242107660e-08;+1.2575904551964827e-07;+9.2596099373828145e-16;+1.6258357555271472e-07
+11900;+0.0000000000000000e+00;+1.2694458388695522e-07;+0.0000000000000000e+00;+3.9747364940203900e-08;+1.2694458388695522e-07;+9.3119947849590151e-16;+1.6293715732192902e-07
+12000;+0.0000000000000000e+00;+1.2689261740598867e-07;+0.0000000000000000e+00;+3.9938113595207646e-08;+1.2689261740598867e-07;+9.3043108846224683e-16;+1.6149937787323996e-07
+12100;+0.0000000000000000e+00;+1.2598669739456824e-07;+0.0000000000000000e+00;+3.9685233688227232e-08;+1.2598669739456824e-07;+9.3812416882288028e-16;+1.6186797887815686e-07
+12200;+0.0000000000000000e+00;+1.2698085222481619e-07;+0.0000000000000000e+00;+3.9885296007906779e-08;+1.2698085222481619e-07;+9.3566166268528430e-16;+1.6138130568989092e-07
+12300;+0.0000000000000000e+00;+1.2649516231716911e-07;+0.0000000000000000e+00;+4.0068589974040460e-08;+1.2649516231716911e-07;+9.4214186046976551e-16;+1.6087794322292798e-07
+12400;+0.0000000000000000e+00;+1.2716844972549624e-07;+0.0000000000000000e+00;+4.0135431969948430e-08;+1.2716844972549624e-07;+9.4166556485356137e-16;+1.6092806777506429e-07
+12500;+0.0000000000000000e+00;+1.2722175963722519e-07;+0.0000000000000000e+00;+4.0280813255047363e-08;+1.2722175963722519e-07;+9.4124226728906715e-16;+1.6074357272695772e-07
+12600;+0.0000000000000000e+00;+1.2729719707372633e-07;+0.0000000000000000e+00;+3.9780529253870646e-08;+1.2729719707372633e-07;+9.4347991327815204e-16;+1.5992358821351052e-07
+12700;+0.0000000000000000e+00;+1.2674728113930111e-07;+0.0000000000000000e+00;+3.9562124323208364e-08;+1.2674728113930111e-07;+9.4816647869076939e-16;+1.6040352242516099e-07
+12800;+0.0000000000000000e+00;+1.2825111857221653e-07;+0.0000000000000000e+00;+3.9770727435157990e-08;+1.2825111857221653e-07;+9.4840871196133994e-16;+1.6016777426811047e-07
+12900;+0.0000000000000000e+00;+1.2781997550197598e-07;+0.0000000000000000e+00;+3.9904165692732252e-08;+1.2781997550197598e-07;+9.5703580939200856e-16;+1.6222335087755351e-07
+13000;+0.0000000000000000e+00;+1.2799888813420136e-07;+0.0000000000000000e+00;+3.9582991158244811e-08;+1.2799888813420136e-07;+9.6124993613423743e-16;+1.6150736847776102e-07
+13100;+0.0000000000000000e+00;+1.2761893287929574e-07;+0.0000000000000000e+00;+3.9649036524231634e-08;+1.2761893287929574e-07;+9.6370523969562187e-16;+1.6254538346729764e-07
+13200;+0.0000000000000000e+00;+1.2687303444104870e-07;+0.0000000000000000e+00;+4.0044402313242816e-08;+1.2687303444104870e-07;+9.6474653610093899e-16;+1.6269796549003587e-07
+13300;+0.0000000000000000e+00;+1.2790546188453097e-07;+0.0000000000000000e+00;+3.9591295631729585e-08;+1.2790546188453097e-07;+9.7274522947095906e-16;+1.6334503370489319e-07
