Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
55000000;0.0000000000000000e+00;5.2068480515837524e-07;1.8966110956196897e-16;9.7995185474915928e-13;1.1244194292537500e-15;4.9408017395041168e-08
57000000;0.0000000000000000e+00;6.0739605950649394e-07;1.9607068304013910e-16;1.9128655771886710e-12;1.1764240632810941e-15;2.9630633079652905e-08
59000000;0.0000000000000000e+00;4.9113361992461347e-07;1.6417323391681223e-16;2.5576674473109623e-12;1.3007571642536470e-15;2.4091285098516121e-08
61000000;0.0000000000000000e+00;6.5093973460165377e-07;1.2214686414240897e-16;2.4094323790538009e-12;1.2458980134953833e-15;2.5154509116280903e-08
63000000;0.0000000000000000e+00;9.9052949833003595e-07;2.6019382888173503e-16;3.0682292941426244e-12;1.2536611787104194e-15;4.2966964681185589e-08
65000000;0.0000000000000000e+00;5.7341821359365361e-07;2.7511504405651898e-16;2.2667301789154030e-12;1.4214277233223902e-15;3.2877095036996259e-08
67000000;0.0000000000000000e+00;6.9343949794135962e-07;1.8905508552358683e-16;1.4663001266915492e-12;1.1899349610234919e-15;3.1086165674484283e-08
69000000;0.0000000000000000e+00;5.4723356299722546e-07;2.5916054459255882e-16;2.2521915268357678e-12;1.2310125797123902e-15;1.8480444105885776e-08
71000000;0.0000000000000000e+00;4.6941974940142863e-07;4.1976107806228614e-16;2.7181628645224039e-12;1.4061996169383006e-15;4.6609548496043895e-08
73000000;0.0000000000000000e+00;6.7387434133393608e-07;3.4701483155186690e-16;3.0324809389715751e-12;1.6330109626966154e-15;4.4793348772340703e-08
75000000;0.0000000000000000e+00;7.4005107691048831e-07;2.7815818658241198e-16;2.4821247082315932e-12;1.4702647018654548e-15;5.9261668277427495e-08
77000000;0.0000000000000000e+00;7.3870988466370821e-07;2.5158077433264014e-16;2.9659050953983161e-12;1.5481893859877291e-15;4.3193847556609950e-08
79000000;0.0000000000000000e+00;8.0254663245559595e-07;2.4521672441292386e-16;1.7967029420438785e-12;1.2826720973569283e-15;1.8575581202711477e-08
81000000;0.0000000000000000e+00;5.9151532012364866e-07;2.3916509051039197e-16;2.1098408272645207e-12;1.6189636827215582e-15;4.8490437132313193e-08
83000000;0.0000000000000000e+00;7.3358753643121383e-07;2.1544618460946862e-16;3.2987862761026994e-12;1.4363078829031405e-15;3.5457026676455870e-08
85000000;0.0000000000000000e+00;6.8921770495968839e-07;2.8050016718336385e-16;3.0834506799658440e-12;1.1921257101024816e-15;4.1703822200656881e-08
87000000;0.0000000000000000e+00;9.2926518081951184e-07;3.2543965226902368e-16;2.1772597962763106e-12;1.4045290349582010e-15;4.6681699173222599e-08
89000000;0.0000000000000000e+00;7.5040101973544720e-07;2.1766427960281111e-16;2.0644452282636373e-12;1.9924653240962366e-15;1.5888160120693461e-08
91000000;0.0000000000000000e+00;4.6165457302768202e-07;3.1113810618555653e-16;1.3487673152871980e-12;1.9159557030471070e-15;5.2954884017931465e-08
93000000;0.0000000000000000e+00;9.3462159104952442e-07;2.7239616370806327e-16;9.1989786681670435e-13;9.7742152944058554e-16;4.0577493091131357e-08
95000000;0.0000000000000000e+00;6.4756283070314789e-07;3.4509341882689784e-16;2.0645213811932302e-12;1.2235130367423313e-15;3.0634307912464525e-08
97000000;0.0000000000000000e+00;9.1051741256018245e-07;2.6116740037869271e-16;1.7990746882725867e-12;1.4901904751658225e-15;3.2110020473296257e-08
99000000;0.0000000000000000e+00;4.5537137768507432e-07;1.9568240301199646e-16;1.4080553048140963e-12;1.3848293139226124e-15;2.8665109271371559e-08
101000000;0.0000000000000000e+00;6.3001158465496388e-07;1.9180725512395959e-16;1.5146133598928948e-12;1.3869139899273200e-15;3.4441694962836380e-08
103000000;0.0000000000000000e+00;5.2262418694351174e-07;2.0255236474993940e-16;1.3120618809578346e-12;1.3599944513563164e-15;3.3365354095526319e-08
105000000;0.0000000000000000e+00;6.0892552879257198e-07;2.2707574681296912e-16;1.1602435261625257e-12;1.5469535210916141e-15;3.3390455844353854e-08
107000000;0.0000000000000000e+00;3.8221646145425749e-07;2.3675509718631382e-16;1.5501888136221240e-12;1.4344573532648943e-15;3.2283482974033123e-08
109000000;0.0000000000000000e+00;7.0006152528001698e-07;1.6405710446065181e-16;1.3803354589374859e-12;9.1598550362813099e-16;4.4009660687365674e-08
111000000;0.0000000000000000e+00;1.0482079694314824e-06;2.6850408582683739e-16;1.9963413081522853e-12;1.2216935893411360e-15;4.4766256686748295e-08
113000000;0.0000000000000000e+00;8.0559714992109761e-07;2.3737369168800780e-16;2.4687655271977377e-12;1.5693038495432044e-15;3.5301318959465197e-08
115000000;0.0000000000000000e+00;8.5465934161715069e-07;1.9437004686550580e-16;2.4827404467921195e-12;1.2569263026794678e-15;3.7827036277681008e-08
117000000;0.0000000000000000e+00;5.2407283650161421e-07;2.0378329912057133e-16;2.6535896947972444e-12;1.0189164917589686e-15;3.3237778672473789e-08
119000000;0.0000000000000000e+00;4.3555438435498566e-07;1.3774944551154220e-16;2.7941598466599923e-12;5.7604313730255592e-16;2.0673574060301655e-08
121000000;0.0000000000000000e+00;7.6683223106355906e-07;2.0936906380121244e-16;2.4959378743359973e-12;1.6995841615200300e-15;3.1135908946184691e-08
123000000;0.0000000000000000e+00;3.2465750766609835e-07;2.4230795718406087e-16;2.6633400337052264e-12;2.0596176342058448e-15;3.4913336287634870e-08
125000000;0.0000000000000000e+00;4.8370187978097164e-07;2.1458934468891788e-16;3.2611381168385414e-12;1.2398495455992092e-15;2.8998891148745215e-08
127000000;0.0000000000000000e+00;4.9922415493410039e-07;1.4080774770802573e-16;2.3585884451223222e-12;1.1499299403413963e-15;3.2109216798656781e-08
129000000;0.0000000000000000e+00;7.2258221300309298e-07;2.3103986027319420e-16;2.4136734197434139e-12;1.4324471283376582e-15;3.7217122396280964e-08
131000000;0.0000000000000000e+00;5.5199450717142544e-07;1.8201244573999512e-16;2.6610219861582584e-12;1.6153604796757880e-15;3.0746313894926056e-08
133000000;0.0000000000000000e+00;5.0845595675488051e-07;1.3445517991995919e-16;1.8980477488350598e-12;1.4229839844292660e-15;4.0478792528206888e-08
135000000;0.0000000000000000e+00;6.3084502625881623e-07;2.6492485120439204e-16;1.3008693257559943e-12;1.2363159690710154e-15;2.4557962736447904e-08
137000000;0.0000000000000000e+00;8.4926298997107643e-07;2.3929979041058879e-16;1.4768495330268282e-12;1.1747444247334047e-15;2.9743154558024889e-08
139000000;0.0000000000000000e+00;4.6766688154918008e-07;3.8594810762895641e-16;1.0750798953771938e-12;1.0291949540203081e-15;1.3821570864777966e-08
141000000;0.0000000000000000e+00;3.7699939240457085e-07;3.1706062913843654e-16;9.9220953320217391e-13;1.6064405225459443e-15;2.6198482753006601e-08
143000000;0.0000000000000000e+00;5.7865193488649027e-07;3.1262586139894746e-16;8.8027106201472917e-13;1.3547120667663417e-15;4.7913124148979344e-08
145000000;0.0000000000000000e+00;6.2785563256105498e-07;2.8776388296353734e-16;1.2887505495829582e-12;1.3566011635021561e-15;5.2828321090271486e-08
