Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
31000000;0.0000000000000000e+00;5.2874120416328242e-07;1.3220320731418502e-16;6.1455260066620457e-12;1.3340504968677662e-15;3.2079653183853575e-08
33000000;0.0000000000000000e+00;5.5893224133897339e-07;1.6934054848465700e-16;8.3926079758016060e-12;7.6767714050364253e-16;2.4700669139528562e-08
35000000;0.0000000000000000e+00;4.8202867748906936e-07;2.3417825628878795e-16;5.3193377266033092e-12;7.2382368580351786e-16;4.2679037145729031e-08
37000000;0.0000000000000000e+00;7.2294119005740820e-07;4.0276894376996343e-16;3.3546826851141574e-12;1.4298297584256173e-15;4.9848161670045809e-08
39000000;0.0000000000000000e+00;6.4630865259295642e-07;2.4837430228551074e-16;1.3330057703578772e-13;1.6813029458578245e-15;3.0699215655570369e-08
41000000;0.0000000000000000e+00;6.9027720622768149e-07;2.1809088728174077e-16;1.2634186747880886e-12;1.0541059276955119e-15;6.3238256880282010e-08
43000000;0.0000000000000000e+00;9.7469778257272976e-07;2.5993469129149123e-16;2.7446850658160496e-12;1.3170024306015824e-15;3.6069972300494516e-08
45000000;0.0000000000000000e+00;8.1033257699847980e-07;1.4903378500917552e-16;9.9804615150042927e-13;9.2732133939785183e-16;4.4671152536326729e-08
47000000;0.0000000000000000e+00;6.6978988094938031e-07;3.8052077785826076e-16;1.2202508566629623e-12;7.7689660172083280e-16;2.9477933645848742e-08
49000000;0.0000000000000000e+00;5.8865854633057827e-07;2.1290395368160482e-16;1.4361284175902758e-12;1.2926311543912392e-15;3.4201983124556415e-08
51000000;0.0000000000000000e+00;4.5355102348154356e-07;3.2143942934742385e-16;2.4262979155250793e-12;9.0587476676573024e-16;3.6238518174444374e-08
53000000;0.0000000000000000e+00;7.8061292745307737e-07;2.1088688509840574e-16;2.8187141413866948e-13;1.1528483170052131e-15;4.8050210553311241e-08
55000000;0.0000000000000000e+00;5.4551223999994711e-07;2.1675555452067360e-16;9.8071049920050111e-13;1.0837777653049567e-15;5.6529622745256409e-08
57000000;0.0000000000000000e+00;4.7873485656413081e-07;1.6992792554999825e-16;1.9132185044123956e-12;1.0195675444314884e-15;3.3977818133663602e-08
59000000;0.0000000000000000e+00;5.1481751261495939e-07;1.5154452429774221e-16;2.5577811057069548e-12;7.7035132346848635e-16;2.7019197909418544e-08
61000000;0.0000000000000000e+00;8.5821677034195901e-07;2.3207903982483471e-16;2.4103606951543568e-12;5.8630493967927310e-16;3.1712219872311302e-08
63000000;0.0000000000000000e+00;5.9023400112704707e-07;1.7740488315529836e-16;3.0662660134026024e-12;8.9885141225104018e-16;3.8295973003184615e-08
65000000;0.0000000000000000e+00;3.9971805527130181e-07;2.9804130106341312e-16;2.2657328869020190e-12;1.1692389383535258e-15;2.7661269012949197e-08
67000000;0.0000000000000000e+00;7.6074125162557301e-07;1.3345064867695238e-16;1.4673121274490146e-12;9.5639631597726001e-16;2.0759423519681173e-08
69000000;0.0000000000000000e+00;4.2911289192924720e-07;2.5916054458846138e-16;2.2522347202696052e-12;8.4227177267895492e-16;1.8480443933112078e-08
71000000;0.0000000000000000e+00;6.4275176758266450e-07;1.8889248418015838e-16;2.7193591836006946e-12;1.3012593516952146e-15;5.2419206973981766e-08
73000000;0.0000000000000000e+00;6.3520633260910210e-07;3.6742746749160696e-16;3.0333995076406020e-12;1.5105351407438487e-15;6.0274954198699497e-08
75000000;0.0000000000000000e+00;5.9759330471607981e-07;2.7815818550767582e-16;2.4809127332827983e-12;1.2914487206544342e-15;4.9981144928546450e-08
