Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
67000000;0.0000000000000000e+00;5.1681819600458490e-07;9.6664864558669921e-16;3.1960525128181656e-08;6.9069345335505576e-07;2.1669647344545847e-15;3.5067682639179005e-07
69000000;0.0000000000000000e+00;1.2468502508583305e-06;1.3394005531545947e-15;5.1579211519249989e-08;4.7024040620638678e-07;2.3182874222999963e-15;2.9796690988067617e-07
71000000;0.0000000000000000e+00;3.5082221220008686e-07;1.2156080832949119e-15;4.1799467845565015e-08;1.1660364929399308e-06;2.5576774590503304e-15;4.8633345658272408e-07
73000000;0.0000000000000000e+00;9.0792488793421888e-07;1.1523874612849202e-15;5.1270946646015848e-08;1.0433719011190412e-06;1.6259610405642362e-15;4.9193033171815638e-07
75000000;0.0000000000000000e+00;7.3156997235924979e-07;5.7229612445783203e-16;6.4970071961265225e-08;5.0892401731924809e-07;1.9090808174586717e-15;3.3830416695354700e-07
77000000;0.0000000000000000e+00;8.1177381002504748e-07;1.6990899903816570e-15;5.9920938825687741e-08;8.4667617806571373e-07;1.0397506710005135e-15;4.7187517385940304e-07
79000000;0.0000000000000000e+00;7.4733639281453707e-07;1.5911770364561920e-15;6.7800470717449012e-08;7.4956141280049662e-07;1.9347471749956769e-15;5.8768854569126524e-07
81000000;0.0000000000000000e+00;7.0920600365291967e-07;1.6560119342432025e-15;7.5496770030943666e-08;6.7529624329305037e-07;1.5753165864467496e-15;4.0436089465947800e-07
83000000;0.0000000000000000e+00;9.9496814558829886e-07;9.2874619745498903e-16;4.9650712440192276e-08;8.2959938016910456e-07;1.9483859355717400e-15;6.6230570967525515e-07
85000000;0.0000000000000000e+00;9.6363637445198736e-07;1.0034365536520523e-15;4.1720940077675357e-08;6.7512233984840211e-07;6.3811378422753107e-16;7.1740540683489817e-07
87000000;0.0000000000000000e+00;9.3349435116467907e-07;8.9275329174350839e-16;3.6693582014800488e-08;8.5164011888008658e-07;3.0015894753787582e-15;5.5416950025321555e-07
89000000;0.0000000000000000e+00;1.2304201211003291e-06;7.1239908002996751e-16;5.4806220844612079e-08;8.0795014745987550e-07;1.3560587116872869e-15;3.8739123592958129e-07
91000000;0.0000000000000000e+00;8.5089996421931425e-07;8.1685932650540451e-16;5.3697579431305514e-08;5.5564131783733884e-07;1.9336695733489510e-15;4.3795209040487226e-07
93000000;0.0000000000000000e+00;8.0391147714171524e-07;1.7062094048524517e-15;5.7697907284072230e-08;5.6437505016846233e-07;2.2022403257713510e-15;4.9657198890803951e-07
95000000;0.0000000000000000e+00;3.7060603987038373e-07;8.6871034839424050e-16;3.5979242693682633e-08;6.8823893475424570e-07;1.5226840988477312e-15;4.6449340737696627e-07
97000000;0.0000000000000000e+00;9.3899842259623117e-07;2.1107437265475398e-15;4.8624435744873821e-08;9.1362354614743529e-07;1.6611479676817569e-15;9.1187712700999016e-07
99000000;0.0000000000000000e+00;4.7984763868447044e-07;1.8043025337153870e-15;5.2547446277006366e-08;7.1405788126846971e-07;2.7958535727930216e-15;7.1879843619812614e-07
101000000;0.0000000000000000e+00;1.2623664086474844e-06;1.6945157000369545e-15;4.9538199764827563e-08;9.5020432566640840e-07;1.8499723916148779e-15;7.8788330961124992e-07
103000000;0.0000000000000000e+00;9.4773707164826010e-07;1.5071505875347394e-15;5.8392025959102496e-08;7.9563232095085492e-07;2.3916562519074773e-15;4.8971967813466359e-07
105000000;0.0000000000000000e+00;1.6163656567808278e-06;7.3155191913514208e-16;4.4600122993926322e-08;1.4112271087690248e-06;3.4953526378127252e-15;6.4754995449509636e-07
