Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
21000000;2.3347200453281403e-01;1.2595200538635254e-01;2.3961600661277771e-01;1.3107199966907501e-01;2.4473600089550018e-01;1.3107199966907501e-01;0.0000000000000000e+00;4.2956688369676943e-07;6.6818544804749693e-16;8.9655333016105095e-08;2.0045563441424907e-15;7.3630344165799249e-07
23000000;2.5497600436210632e-01;1.3619199395179749e-01;2.6111999154090881e-01;1.4233599603176117e-01;2.6624000072479248e-01;1.4336000382900238e-01;0.0000000000000000e+00;1.4431874578593525e-06;7.2118299794556105e-15;3.5622325416653747e-07;1.0956434007249870e-14;2.1133104510196118e-06
25000000;2.7647998929023743e-01;1.4745600521564484e-01;2.8262400627136230e-01;1.5360000729560852e-01;2.8876799345016479e-01;1.5462400019168854e-01;0.0000000000000000e+00;2.8913166126375408e-06;4.3339357274581138e-15;1.9611344391726060e-07;3.4671485819664908e-15;8.4376426927369822e-07
27000000;2.9593598842620850e-01;1.5667200088500977e-01;3.0515199899673462e-01;1.6383999586105347e-01;3.1129598617553711e-01;1.6691200435161591e-01;0.0000000000000000e+00;7.5042539619865522e-07;3.2966119905872381e-15;3.1296070833866028e-07;5.8765692006120331e-15;1.7889319009574880e-06
29000000;3.1744000315666199e-01;1.6588799655437469e-01;3.2665601372718811e-01;1.7510400712490082e-01;3.3382400870323181e-01;1.7715199291706085e-01;0.0000000000000000e+00;6.7535141720043495e-06;1.2368420236120463e-14;4.8945803013842651e-07;2.8386538246833849e-15;2.7169992630510049e-06
31000000;3.3894398808479309e-01;1.7817600071430206e-01;3.4918400645256042e-01;1.8636800348758698e-01;3.5532799363136292e-01;1.8943999707698822e-01;0.0000000000000000e+00;2.5740905209671447e-06;1.5286052471207645e-14;9.6141257638247805e-07;9.0509521211097889e-15;4.1207975017699645e-06
33000000;3.6044800281524658e-01;1.8943999707698822e-01;3.7068799138069153e-01;1.9763199985027313e-01;3.7785598635673523e-01;2.0275199413299561e-01;0.0000000000000000e+00;3.0016269918701985e-07;3.0355749757895818e-16;9.8377170473252967e-08;1.0624512415263537e-15;3.0016269918701985e-07
35000000;3.8195198774337769e-01;2.0070399343967438e-01;3.9219200611114502e-01;2.0889599621295929e-01;3.9936000108718872e-01;2.1401600539684296e-01;0.0000000000000000e+00;8.3498993071401145e-07;1.6577188733907575e-15;9.4012532302537199e-08;9.6700267614460862e-16;9.3339061216587697e-08
37000000;4.0345600247383118e-01;2.1401600539684296e-01;4.1369599103927612e-01;2.2015999257564545e-01;4.2188799381256104e-01;2.2528000175952911e-01;0.0000000000000000e+00;7.5424275578402015e-07;4.4874969176451786e-16;1.1808246739404708e-07;1.9445819976462439e-15;3.5270832865512753e-07
39000000;4.2393600940704346e-01;2.2425599396228790e-01;4.3622401356697083e-01;2.3142400383949280e-01;4.4339200854301453e-01;2.3654399812221527e-01;0.0000000000000000e+00;1.3217244401904697e-06;9.3920969190341564e-16;1.6702187698526700e-07;9.3920969190341564e-16;5.9436614244494839e-07
41000000;4.4441598653793335e-01;2.3449599742889404e-01;4.5772799849510193e-01;2.4268800020217896e-01;4.6489599347114563e-01;2.4883200228214264e-01;0.0000000000000000e+00;1.1889251204545943e-07;7.0954409702059467e-16;1.2588080461966550e-07;2.1286322910617843e-15;4.2705794751126807e-08
