Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
7340032;1.4745600521564484e-01;8.0895997583866119e-02;1.4643199741840363e-01;8.1919997930526733e-02;1.5257599949836731e-01;8.7039999663829803e-02;0.0000000000000000e+00;5.0838227913752109e-08;1.5931295286349253e-15;6.2396718680534072e-08;6.8276979798639653e-16;2.5462780886209159e-07
7864320;1.5667200088500977e-01;8.6015999317169189e-02;1.5564799308776855e-01;8.6015999317169189e-02;1.6179199516773224e-01;9.2160001397132874e-02;0.0000000000000000e+00;8.9142229413767529e-07;1.3423865222435332e-15;7.8044063097263983e-08;1.3423865222435332e-15;4.5472465251736833e-08
8388608;1.6588799655437469e-01;9.0112000703811646e-02;1.6588799655437469e-01;9.1136001050472260e-02;1.7100800573825836e-01;9.7280003130435944e-02;0.0000000000000000e+00;1.3528535466771954e-07;4.3536529618310693e-16;6.1328585109765937e-08;0.0000000000000000e+00;1.3528535466771954e-07
8912896;1.7510400712490082e-01;9.5232002437114716e-02;1.7510400712490082e-01;9.6256002783775330e-02;1.8124799430370331e-01;1.0137599706649780e-01;0.0000000000000000e+00;1.2969286218094447e-07;4.4946213405011071e-16;6.3203083926830648e-08;7.8655873458769370e-16;5.1284497181767415e-08
9437184;1.8432000279426575e-01;9.9327996373176575e-02;1.8534399569034576e-01;1.0035199671983719e-01;1.9046400487422943e-01;1.0649599879980087e-01;0.0000000000000000e+00;5.8933053257979672e-07;3.6942941641305654e-16;1.2477217648297112e-07;6.1571569402176087e-16;2.7012506749386017e-07
9961472;1.9353599846363068e-01;1.0444799810647964e-01;1.9353599846363068e-01;1.0547199845314026e-01;1.9865599274635315e-01;1.1059200018644333e-01;0.0000000000000000e+00;5.1827593797986165e-08;4.7125738572190966e-16;1.3401271019603945e-07;1.1781434643047741e-16;1.3792569304645691e-07
10485760;2.0275199413299561e-01;1.0956799983978271e-01;2.0377600193023682e-01;1.0956799983978271e-01;2.0889599621295929e-01;1.1571200191974640e-01;0.0000000000000000e+00;2.0697993953466129e-07;2.9865764756476212e-15;1.1209679934475804e-07;4.2665378223537449e-16;1.0086829576540033e-06
11010048;2.1299199759960175e-01;1.1468800157308578e-01;2.1299199759960175e-01;1.1468800157308578e-01;2.1811200678348541e-01;1.2083200365304947e-01;0.0000000000000000e+00;1.3378774390512916e-06;3.5404459733582401e-15;5.1849644593426528e-07;2.8848078301437514e-15;1.2674788294733816e-06
11534336;2.2220799326896667e-01;1.1878400295972824e-01;2.2118400037288666e-01;1.1980800330638885e-01;2.2732800245285034e-01;1.2492799758911133e-01;0.0000000000000000e+00;4.1156781811437491e-07;6.3307600049976750e-16;1.0181807045227530e-07;8.4410133399969006e-16;6.0807245114649304e-07
12058624;2.3142400383949280e-01;1.2390399724245071e-01;2.3142400383949280e-01;1.2390399724245071e-01;2.3756800591945648e-01;1.3004800677299500e-01;0.0000000000000000e+00;4.6068575002441821e-06;1.8861747484346572e-14;1.5316742901044019e-06;1.2574498322897715e-15;4.8443778353350116e-06
