Vector Size;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
59000000;0.0000000000000000e+00;6.1827839861083279e-07;1.8943319746791658e-16;1.7251061929620747e-08;5.1657551326526887e-07;3.1572359553800010e-16;2.6565199584562994e-08
61000000;0.0000000000000000e+00;6.1338427459993718e-07;2.4429484997173668e-16;1.6861975170200608e-08;5.4780545732591357e-07;6.1071449873889165e-16;3.2128500028452084e-08
63000000;0.0000000000000000e+00;7.3722856899968987e-07;1.1827660302527225e-16;1.2239035930582615e-08;7.0989867386514709e-07;8.8706852378445203e-16;2.9969009415314761e-08
65000000;0.0000000000000000e+00;6.0450652682465122e-07;1.1462958917368519e-16;1.6130772541911987e-08;6.0450860474964213e-07;8.0241927247331132e-16;4.2814358507071632e-08
67000000;0.0000000000000000e+00;6.2703241788696510e-07;1.1120851807367154e-16;2.2907603199687377e-08;6.4252570273547516e-07;5.5603942658665977e-16;2.4425889762671673e-08
69000000;0.0000000000000000e+00;4.7598385297733420e-07;3.2395239633228064e-16;2.7733359038648389e-08;4.6024629991936456e-07;6.4794159550285597e-16;3.1752099999572021e-08
71000000;0.0000000000000000e+00;1.9336691658351933e-07;4.1978887793150047e-16;2.4341573834989442e-08;1.7923481897669903e-07;9.4452180639937070e-16;3.1337232444179511e-08
73000000;0.0000000000000000e+00;3.6831071841946475e-07;2.0414151923464458e-16;2.4634582671139675e-08;3.5584324085047485e-07;1.2248338827717528e-15;2.4634582671139675e-08
75000000;0.0000000000000000e+00;3.1877846391215965e-07;2.9803458633100295e-16;3.4166061821753394e-08;3.2848071755302786e-07;5.9610659021607833e-16;3.7841823827681165e-08
77000000;0.0000000000000000e+00;6.3303598654543883e-07;1.9354080789349014e-16;3.4651402557938193e-08;7.0531127651891131e-07;1.7418012068109069e-15;3.9912676698508920e-08
79000000;0.0000000000000000e+00;3.6033679573917074e-07;1.8864160486987385e-16;3.9974698321973134e-08;5.1021770517357967e-07;8.4883465223219038e-16;4.9855125987572901e-08
