Num rows;TRSV multi-kernel fp64;TRSV single kernel fp64;TRSV fp64;CUBLAS TRSV fp64
8900;+5.2379198074340820e+00;+3.2443199157714844e+00;+1.0100799798965454e+00;+1.5271680355072021e+00
8950;+5.2710080146789551e+00;+3.2544319629669189e+00;+1.0153599977493286e+00;+1.5399359464645386e+00
9000;+5.3020157814025879e+00;+3.2767360210418701e+00;+1.0190720558166504e+00;+1.5511360168457031e+00
9050;+5.3259201049804688e+00;+3.2927999496459961e+00;+1.0264320373535156e+00;+1.5601600408554077e+00
9100;+5.3700799942016602e+00;+3.3209280967712402e+00;+1.0389440059661865e+00;+1.5627839565277100e+00
9150;+5.3945279121398926e+00;+3.3397119045257568e+00;+1.0417920351028442e+00;+1.5824960470199585e+00
9200;+5.4183039665222168e+00;+3.3476159572601318e+00;+1.0398080348968506e+00;+1.5592639446258545e+00
9250;+5.4665918350219727e+00;+3.3823359012603760e+00;+1.0551040172576904e+00;+1.6192959547042847e+00
9300;+5.5066881179809570e+00;+3.4063038825988770e+00;+1.0765119791030884e+00;+1.6109759807586670e+00
9350;+5.5227198600769043e+00;+3.4150719642639160e+00;+1.0607359409332275e+00;+1.6430720090866089e+00
9400;+5.5592641830444336e+00;+3.4332480430603027e+00;+1.0743039846420288e+00;+1.6136959791183472e+00
9450;+5.6062078475952148e+00;+3.4686720371246338e+00;+1.0875519514083862e+00;+1.6730560064315796e+00
9500;+5.6055040359497070e+00;+3.4715199470520020e+00;+1.0799360275268555e+00;+1.6823359727859497e+00
9550;+5.6537599563598633e+00;+3.5046079158782959e+00;+1.1023360490798950e+00;+1.7014720439910889e+00
9600;+5.6618561744689941e+00;+3.5011200904846191e+00;+1.0906879901885986e+00;+1.6381440162658691e+00
9650;+5.7223358154296875e+00;+3.5447359085083008e+00;+1.1147199869155884e+00;+1.7261439561843872e+00
9700;+5.7679681777954102e+00;+3.5697920322418213e+00;+1.1250560283660889e+00;+1.7504639625549316e+00
9750;+5.7922239303588867e+00;+3.5833599567413330e+00;+1.1340479850769043e+00;+1.7171200513839722e+00
9800;+5.8359041213989258e+00;+3.6071040630340576e+00;+1.1366720199584961e+00;+1.7596800327301025e+00
9850;+5.8539199829101562e+00;+3.6218559741973877e+00;+1.1444159746170044e+00;+1.7723840475082397e+00
9900;+5.8857917785644531e+00;+3.6478080749511719e+00;+1.1517440080642700e+00;+1.8046400547027588e+00
9950;+5.9208960533142090e+00;+3.6665918827056885e+00;+1.1677119731903076e+00;+1.8087040185928345e+00
