Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
323000000;3.4611198902130127e+00;1.8124799728393555e+00;3.4754559993743896e+00;1.8114559650421143e+00;3.6096000671386719e+00;1.9865599870681763e+00;0.0000000000000000e+00;1.1390437165914452e-07;4.0048285570355583e-16;3.4845650437299123e-08;2.0024142785177792e-16;1.4039499475507390e-06
325000000;3.4836480617523193e+00;1.8237440586090088e+00;3.4928638935089111e+00;1.8247679471969604e+00;3.6341760158538818e+00;1.9947520494461060e+00;0.0000000000000000e+00;8.4226264434447251e-07;2.3451839368788459e-15;3.6873512948672725e-08;2.1319853971625870e-15;1.2180190558371760e-06
327000000;3.5031039714813232e+00;1.8350080251693726e+00;3.5174400806427002e+00;1.8370560407638550e+00;3.6628479957580566e+00;2.0121600627899170e+00;0.0000000000000000e+00;1.9471487335929832e-06;9.4082183869432914e-16;3.6275058019431588e-08;1.5053149419109267e-15;1.1844705135369337e-06
329000000;3.5235838890075684e+00;1.8472959995269775e+00;3.5409920215606689e+00;1.8472959995269775e+00;3.6802558898925781e+00;2.0223999023437500e+00;0.0000000000000000e+00;3.5789423784949527e-07;7.1816350344879356e-16;3.2164822061094574e-08;5.0271445241415551e-15;1.0879598686317632e-06
331000000;3.5440640449523926e+00;1.8544640541076660e+00;3.5604479312896729e+00;1.8585599660873413e+00;3.7017600536346436e+00;2.0367360115051270e+00;0.0000000000000000e+00;3.7948198029679578e-07;1.8581878775342345e-15;2.9625829633578711e-08;1.8581878775342345e-15;1.4768497028238595e-06
333000000;3.5676159858703613e+00;1.8667520284652710e+00;3.5819520950317383e+00;1.8677760362625122e+00;3.7212159633636475e+00;2.0490241050720215e+00;0.0000000000000000e+00;9.5281524763240610e-08;1.8295079972056404e-16;2.7163405387222673e-08;7.3180319888225617e-16;1.6668169279169775e-06
335000000;3.5880959033966064e+00;1.8769919872283936e+00;3.6034560203552246e+00;1.8790400028228760e+00;3.7498879432678223e+00;2.0643839836120605e+00;0.0000000000000000e+00;1.5951808286813377e-08;5.8966038808612122e-16;3.0730824713824863e-08;7.8621385078149492e-16;1.7043331966711858e-06
337000000;3.6106240749359131e+00;1.8892799615859985e+00;3.6239359378814697e+00;1.8882559537887573e+00;3.7672960758209229e+00;2.0715520381927490e+00;0.0000000000000000e+00;1.4292354526461386e-06;5.2801487391313551e-15;3.4291815712412993e-08;8.1233057525097770e-16;2.0834104378168543e-06
339000000;3.6341760158538818e+00;1.9005440473556519e+00;3.6474881172180176e+00;1.9036159515380859e+00;3.7949440479278564e+00;2.0858879089355469e+00;0.0000000000000000e+00;5.6678086968794510e-07;1.7799516557322051e-15;3.9403801594213127e-08;2.8924214405648334e-15;1.8222298021342022e-06
341000000;3.6556799411773682e+00;1.9118080139160156e+00;3.6679680347442627e+00;1.9159040451049805e+00;3.8154239654541016e+00;2.0961279869079590e+00;0.0000000000000000e+00;1.6440747164861635e-06;1.8077435451225277e-15;4.4933370814168276e-08;6.5078767624410994e-15;1.7734780399171028e-06
