Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
315000000;3.3720319271087646e+00;1.7715200185775757e+00;3.3894400596618652e+00;1.7756160497665405e+00;1.7715200185775757e+00;3.5266559123992920e+00;1.9415040016174316e+00;0.0000000000000000e+00;2.0079607358220523e-07;3.7846533340298370e-16;2.3909551222386828e-09;5.0557661663887106e-07;7.5693066680596741e-16;2.3909551222386828e-09
317000000;3.3945600986480713e+00;1.7807359695434570e+00;3.4088959693908691e+00;1.7868800163269043e+00;1.7827839851379395e+00;3.5502080917358398e+00;1.9476480484008789e+00;0.0000000000000000e+00;7.2137131934895261e-07;1.8803788414402962e-16;1.4706826892263979e-08;6.2041924899799705e-07;2.2564546097283551e-15;1.4706826892263979e-08
319000000;3.4160640239715576e+00;1.7899520397186279e+00;3.4283521175384521e+00;1.7930239439010620e+00;1.7930239439010620e+00;3.5706880092620850e+00;1.9619840383529663e+00;0.0000000000000000e+00;5.2319970323717304e-07;7.4743796080821693e-16;2.1602578634013441e-08;4.2288027831654112e-07;1.1211569412123254e-15;2.1602578634013441e-08
321000000;3.4344959259033203e+00;1.8001919984817505e+00;3.4539520740509033e+00;1.8053120374679565e+00;1.8042880296707153e+00;3.5911679267883301e+00;1.9773440361022949e+00;0.0000000000000000e+00;3.0905617327213875e-07;3.7139126897865959e-16;9.9724193440233194e-09;6.0813992720025420e-07;2.2283476138719573e-15;9.9724193440233194e-09
323000000;3.4580481052398682e+00;1.8104319572448730e+00;3.4723839759826660e+00;1.8135039806365967e+00;1.8145279884338379e+00;3.6136960983276367e+00;1.9886080026626587e+00;0.0000000000000000e+00;4.3283130517831215e-07;1.8454592420122834e-16;3.6521950651126838e-08;3.3375396654651584e-07;3.6909184840245671e-15;6.2555387980669488e-08
325000000;3.4816000461578369e+00;1.8227200508117676e+00;3.4938879013061523e+00;1.8278399705886841e+00;1.8247679471969604e+00;3.6280319690704346e+00;2.0039680004119873e+00;0.0000000000000000e+00;1.2373618443066086e-06;1.8341134179092134e-16;4.2724942093054797e-08;1.1388936299681729e-06;1.4672907343273707e-15;5.5743272245380851e-08
327000000;3.5031039714813232e+00;1.8380800485610962e+00;3.5174400806427002e+00;1.8370560407638550e+00;1.8380800485610962e+00;3.6587519645690918e+00;2.0131840705871582e+00;0.0000000000000000e+00;1.9103180752975256e-06;1.8228918018555443e-16;4.6997092981493310e-08;1.7145865584696237e-06;1.8228918018555444e-15;4.6997092981493310e-08
329000000;3.5235838890075684e+00;1.8472959995269775e+00;3.5338239669799805e+00;1.8493440151214600e+00;1.8483200073242188e+00;3.6853759288787842e+00;2.0213758945465088e+00;0.0000000000000000e+00;2.1266160023641432e-06;1.8118050193262153e-16;1.3335906437910840e-08;2.0293454610549591e-06;7.2472200773048613e-16;8.3934634871273441e-08
331000000;3.5471360683441162e+00;1.8575359582901001e+00;3.5573759078979492e+00;1.8636800050735474e+00;1.8606079816818237e+00;3.7089281082153320e+00;2.0336639881134033e+00;0.0000000000000000e+00;1.7217193045968521e-06;1.8008596695109662e-16;1.8573207081015849e-08;1.8184022219122891e-06;5.4025790085328985e-16;1.1525612439645296e-07
333000000;3.5676159858703613e+00;1.8636800050735474e+00;3.5809280872344971e+00;1.8688000440597534e+00;1.8698240518569946e+00;3.7222399711608887e+00;2.0469760894775391e+00;0.0000000000000000e+00;9.3107302357519153e-07;0.0000000000000000e+00;2.9947070342484014e-08;9.3107302357519153e-07;5.3701182487477108e-16;2.9947070342484014e-08
335000000;3.5921919345855713e+00;1.8780159950256348e+00;3.6055040359497070e+00;1.8821120262145996e+00;1.8790400028228760e+00;3.7498879432678223e+00;2.0592639446258545e+00;0.0000000000000000e+00;1.4222675948938479e-06;0.0000000000000000e+00;1.0658442898204470e-08;1.4222675948938479e-06;5.3380654670002032e-16;8.4869959621265687e-08
