Vector Size;DOT fp64;DOT fp32;DOT Acc<fp64, fp64>;DOT Acc<fp64, fp32>;DOT Acc<fp32, fp32>;CUBLAS DOT fp64;CUBLAS DOT fp32;Error DOT fp64;Error DOT fp32;Error DOT Acc<fp64, fp64>;Error DOT Acc<fp64, fp32>;Error DOT Acc<fp32, fp32>;Error CUBLAS DOT fp64;Error CUBLAS DOT fp32
95000000;1.7213439941406250e+00;8.7347197532653809e-01;1.7203199863433838e+00;9.1238397359848022e-01;8.7551999092102051e-01;1.7213439941406250e+00;8.8166397809982300e-01;0.0000000000000000e+00;7.5788866964181800e-07;3.1372316061675416e-16;6.6383820786505177e-13;4.2103099093013942e-07;6.2744632123350831e-16;4.1107459458773911e-11
97000000;1.7571840286254883e+00;8.9190399646759033e-01;1.7561600208282471e+00;9.2979198694229126e-01;8.9497601985931396e-01;1.7561600208282471e+00;9.0316802263259888e-01;0.0000000000000000e+00;1.3416840606257544e-07;1.5362581076758733e-16;3.6378591989764678e-13;1.1326328133802666e-07;3.0725162153517466e-16;3.0786052204492632e-08
99000000;1.7930239439010620e+00;9.1033601760864258e-01;1.7920000553131104e+00;9.4720000028610229e-01;9.1443198919296265e-01;1.7930239439010620e+00;9.2159998416900635e-01;0.0000000000000000e+00;6.3312415070123800e-07;1.0536729869728246e-15;4.2342601605065078e-13;7.9474882997719923e-07;1.3547224118222030e-15;6.7437773235373511e-08
101000000;1.8278399705886841e+00;9.2876797914505005e-01;1.8268159627914429e+00;9.6460801362991333e-01;9.3081599473953247e-01;1.8268159627914429e+00;9.3593597412109375e-01;0.0000000000000000e+00;3.1453819100816038e-07;1.1803425356013312e-15;3.1264322911740263e-13;3.9374963770324529e-07;1.4754281695016641e-15;2.3075957721792029e-09
103000000;1.8636800050735474e+00;9.4515198469161987e-01;1.8616319894790649e+00;9.8303997516632080e-01;9.4822400808334351e-01;1.8647040128707886e+00;9.5539200305938721e-01;0.0000000000000000e+00;2.6279528056478116e-07;1.4467927084283215e-16;1.1529491093465294e-12;3.4046937264966747e-07;2.8935854168566431e-16;2.9773004310122227e-08
105000000;1.9005440473556519e+00;9.6460801362991333e-01;1.8984960317611694e+00;9.9839997291564941e-01;9.6563202142715454e-01;1.8974720239639282e+00;9.7382402420043945e-01;0.0000000000000000e+00;3.6852447170224943e-07;2.8384883138280728e-16;1.0319324264921959e-12;2.9232938121493842e-07;1.8450174039882475e-15;1.2450980734305507e-08
107000000;1.9353599548339844e+00;9.8201602697372437e-01;1.9343359470367432e+00;1.0188800096511841e+00;9.8303997516632080e-01;1.9353599548339844e+00;9.9532800912857056e-01;0.0000000000000000e+00;1.3896675917038453e-06;1.3926779538146012e-16;1.4482458041718038e-12;1.3896675917038453e-06;3.2031592937735827e-15;3.0940146350958485e-08
109000000;1.9711999893188477e+00;9.9942398071289062e-01;1.9691519737243652e+00;1.0352640151977539e+00;1.0024960041046143e+00;1.9732480049133301e+00;1.0127359628677368e+00;0.0000000000000000e+00;6.8234183174998047e-07;4.1014344074854017e-16;1.5324326091167956e-12;3.8874972096933146e-07;8.2028688149708034e-16;2.1759582493520263e-08
111000000;2.0070400238037109e+00;1.0178560018539429e+00;2.0060160160064697e+00;1.0526720285415649e+00;1.0209280252456665e+00;2.0080640316009521e+00;1.0301439762115479e+00;0.0000000000000000e+00;1.1056328481600012e-07;5.3699788278506833e-16;1.4230443893804310e-12;3.3585986720444246e-08;1.2082452362664037e-15;1.1056328481600012e-07
113000000;2.0428800582885742e+00;1.0362880229949951e+00;2.0408320426940918e+00;1.0711040496826172e+00;1.0393600463867188e+00;2.0418560504913330e+00;1.0455039739608765e+00;0.0000000000000000e+00;9.3598823712233656e-07;0.0000000000000000e+00;7.0446675492277313e-13;7.9439044259254637e-07;7.9123933536814643e-16;8.6401469943595247e-08
